season,metro,team_name,league,conference,division,league_position,conference_position,division_position
1992,Tampa Bay,Tampa Bay Lightning,NHL,Campbell,Norris,,,LAST
1993,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Atlantic,,,LAST
1994,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Atlantic,,,
1995,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Atlantic,,,
1996,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Atlantic,,,
1997,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Atlantic,LAST,LAST,LAST
1998,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Southeast,LAST,LAST,LAST
1999,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Southeast,,,
2000,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Southeast,,,LAST
2001,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Southeast,,,
2002,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Southeast,,,FIRST
2003,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Southeast,,FIRST,FIRST
2005,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Southeast,,,
2006,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Southeast,,,
2007,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Southeast,LAST,LAST,LAST
2008,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Southeast,,,LAST
2009,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Southeast,,,
2010,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Southeast,,,
2011,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Southeast,,,
2012,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Southeast,,,
2013,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Atlantic,,,
2014,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Atlantic,,,
2015,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Atlantic,,,
2016,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Atlantic,,,
2017,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Atlantic,,FIRST,FIRST
2018,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Atlantic,FIRST,FIRST,FIRST
2019,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Atlantic,,,
2020,Tampa Bay,Tampa Bay Lightning,NHL,,Central,,,
2021,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Atlantic,,,
2022,Tampa Bay,Tampa Bay Lightning,NHL,Eastern,Atlantic,,,
