season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1926,Toronto,Toronto St. Patricks,NHL,Canadian,,,LAST,,false,,,
1927,Toronto,Toronto Maple Leafs,NHL,Canadian,,,,,false,,,
1928,Toronto,Toronto Maple Leafs,NHL,Canadian,,,,,true,1,,
1929,Toronto,Toronto Maple Leafs,NHL,Canadian,,,,,false,,,
1930,Toronto,Toronto Maple Leafs,NHL,Canadian,,,,,true,0,,
1931,Toronto,Toronto Maple Leafs,NHL,Canadian,,,,,true,3,true,true
1932,Toronto,Toronto Maple Leafs,NHL,Canadian,,,FIRST,,true,1,true,
1933,Toronto,Toronto Maple Leafs,NHL,Canadian,,FIRST,FIRST,,true,0,,
1934,Toronto,Toronto Maple Leafs,NHL,Canadian,,FIRST,FIRST,,true,1,true,
1935,Toronto,Toronto Maple Leafs,NHL,Canadian,,,,,true,2,true,
1936,Toronto,Toronto Maple Leafs,NHL,Canadian,,,,,true,0,,
1937,Toronto,Toronto Maple Leafs,NHL,Canadian,,,FIRST,,true,1,true,
1938,Toronto,Toronto Maple Leafs,NHL,,,,,,true,2,true,
1939,Toronto,Toronto Maple Leafs,NHL,,,,,,true,2,true,
1940,Toronto,Toronto Maple Leafs,NHL,,,,,,true,0,,
1941,Toronto,Toronto Maple Leafs,NHL,,,,,,true,2,true,true
1942,Toronto,Toronto Maple Leafs,NHL,,,,,,true,0,,
1943,Toronto,Toronto Maple Leafs,NHL,,,,,,true,0,,
1944,Toronto,Toronto Maple Leafs,NHL,,,,,,true,2,true,true
1945,Toronto,Toronto Maple Leafs,NHL,,,,,,false,,,
1946,Toronto,Toronto Maple Leafs,NHL,,,,,,true,2,true,true
1947,Toronto,Toronto Maple Leafs,NHL,,,FIRST,,,true,2,true,true
1948,Toronto,Toronto Maple Leafs,NHL,,,,,,true,2,true,true
1949,Toronto,Toronto Maple Leafs,NHL,,,,,,true,0,,
1950,Toronto,Toronto Maple Leafs,NHL,,,,,,true,2,true,true
1951,Toronto,Toronto Maple Leafs,NHL,,,,,,true,0,,
1952,Toronto,Toronto Maple Leafs,NHL,,,,,,false,,,
1953,Toronto,Toronto Maple Leafs,NHL,,,,,,true,0,,
1954,Toronto,Toronto Maple Leafs,NHL,,,,,,true,0,,
1955,Toronto,Toronto Maple Leafs,NHL,,,,,,true,0,,
1956,Toronto,Toronto Maple Leafs,NHL,,,,,,false,,,
1957,Toronto,Toronto Maple Leafs,NHL,,,LAST,,,false,,,
1958,Toronto,Toronto Maple Leafs,NHL,,,,,,true,1,true,
1959,Toronto,Toronto Maple Leafs,NHL,,,,,,true,1,true,
1960,Toronto,Toronto Maple Leafs,NHL,,,,,,true,0,,
1961,Toronto,Toronto Maple Leafs,NHL,,,,,,true,2,true,true
1962,Toronto,Toronto Maple Leafs,NHL,,,FIRST,,,true,2,true,true
1963,Toronto,Toronto Maple Leafs,NHL,,,,,,true,2,true,true
1964,Toronto,Toronto Maple Leafs,NHL,,,,,,true,0,,
1965,Toronto,Toronto Maple Leafs,NHL,,,,,,true,0,,
1966,Toronto,Toronto Maple Leafs,NHL,,,,,,true,2,true,true
1967,Toronto,Toronto Maple Leafs,NHL,East,,,,,false,,,
1968,Toronto,Toronto Maple Leafs,NHL,East,,,,,true,0,,
1969,Toronto,Toronto Maple Leafs,NHL,East,,,LAST,,false,,,
1970,Toronto,Toronto Maple Leafs,NHL,East,,,,,true,0,,
1971,Toronto,Toronto Maple Leafs,NHL,East,,,,,true,0,,
