season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1970,Vancouver,Vancouver Canucks,NHL,East,,,,,false,,,
1971,Vancouver,Vancouver Canucks,NHL,East,,LAST,LAST,,false,,,
1972,Vancouver,Vancouver Canucks,NHL,East,,,,,false,,,
1973,Vancouver,Vancouver Canucks,NHL,East,,,,,false,,,
1974,Vancouver,Vancouver Canucks,NHL,Campbell,Smythe,,,FIRST,true,0,,
1975,Vancouver,Vancouver Canucks,NHL,Campbell,Smythe,,,,true,0,,
1976,Vancouver,Vancouver Canucks,NHL,Campbell,Smythe,,,,false,,,
1977,Vancouver,Vancouver Canucks,NHL,Campbell,Smythe,,,,false,,,
1978,Vancouver,Vancouver Canucks,NHL,Campbell,Smythe,,,,true,0,,
1979,Vancouver,Vancouver Canucks,NHL,Campbell,Smythe,,,,true,0,,
1980,Vancouver,Vancouver Canucks,NHL,Campbell,Smythe,,,,true,0,,
1981,Vancouver,Vancouver Canucks,NHL,Campbell,Smythe,,,,true,3,true,
1982,Vancouver,Vancouver Canucks,NHL,Campbell,Smythe,,,,true,0,,
1983,Vancouver,Vancouver Canucks,NHL,Campbell,Smythe,,,,true,0,,
1984,Vancouver,Vancouver Canucks,NHL,Campbell,Smythe,,,LAST,false,,,
1985,Vancouver,Vancouver Canucks,NHL,Campbell,Smythe,,,,true,0,,
1986,Vancouver,Vancouver Canucks,NHL,Campbell,Smythe,,LAST,LAST,false,,,
1987,Vancouver,Vancouver Canucks,NHL,Campbell,Smythe,,,LAST,false,,,
1988,Vancouver,Vancouver Canucks,NHL,Campbell,Smythe,,,,true,0,,
1989,Vancouver,Vancouver Canucks,NHL,Campbell,Smythe,,LAST,LAST,false,,,
1990,Vancouver,Vancouver Canucks,NHL,Campbell,Smythe,,,,true,0,,
1991,Vancouver,Vancouver Canucks,NHL,Campbell,Smythe,,,FIRST,true,1,,
1992,Vancouver,Vancouver Canucks,NHL,Campbell,Smythe,,,FIRST,true,1,,
1993,Vancouver,Vancouver Canucks,NHL,Western,Pacific,,,,true,3,true,
1994,Vancouver,Vancouver Canucks,NHL,Western,Pacific,,,,true,1,,
1995,Vancouver,Vancouver Canucks,NHL,Western,Pacific,,,,true,0,,
1996,Vancouver,Vancouver Canucks,NHL,Western,Pacific,,,,false,,,
1997,Vancouver,Vancouver Canucks,NHL,Western,Pacific,,LAST,LAST,false,,,
1998,Vancouver,Vancouver Canucks,NHL,Western,Northwest,,LAST,LAST,false,,,
1999,Vancouver,Vancouver Canucks,NHL,Western,Northwest,,,,false,,,
2000,Vancouver,Vancouver Canucks,NHL,Western,Northwest,,,,true,0,,
2001,Vancouver,Vancouver Canucks,NHL,Western,Northwest,,,,true,0,,
2002,Vancouver,Vancouver Canucks,NHL,Western,Northwest,,,,true,1,,
2003,Vancouver,Vancouver Canucks,NHL,Western,Northwest,,,FIRST,true,0,,
2005,Vancouver,Vancouver Canucks,NHL,Western,Northwest,,,,false,,,
2006,Vancouver,Vancouver Canucks,NHL,Western,Northwest,,,FIRST,true,1,,
2007,Vancouver,Vancouver Canucks,NHL,Western,Northwest,,,LAST,false,,,
2008,Vancouver,Vancouver Canucks,NHL,Western,Northwest,,,FIRST,true,1,,
2009,Vancouver,Vancouver Canucks,NHL,Western,Northwest,,,FIRST,true,1,,
2010,Vancouver,Vancouver Canucks,NHL,Western,Northwest,FIRST,FIRST,FIRST,true,3,true,
2011,Vancouver,Vancouver Canucks,NHL,Western,Northwest,FIRST,FIRST,FIRST,true,0,,
2012,Vancouver,Vancouver Canucks,NHL,Western,Northwest,,,FIRST,true,0,,
2013,Vancouver,Vancouver Canucks,NHL,Western,Pacific,,,,false,,,
2014,Vancouver,Vancouver Canucks,NHL,Western,Pacific,,,,true,0,,
2015,Vancouver,Vancouver Canucks,NHL,Western,Pacific,,,,false,,,
2016,Vancouver,Vancouver Canucks,NHL,Western,Pacific,,,LAST,false,,,
2017,Vancouver,Vancouver Canucks,NHL,Western,Pacific,,,,false,,,
2018,Vancouver,Vancouver Canucks,NHL,Western,Pacific,,,,false,,,
2019,Vancouver,Vancouver Canucks,NHL,Western,Pacific,,,,true,2,,
2020,Vancouver,Vancouver Canucks,NHL,,North,,,LAST,false,,,
2021,Vancouver,Vancouver Canucks,NHL,Western,Pacific,,,,false,,,
2022,Vancouver,Vancouver Canucks,NHL,Western,Pacific,,,,false,,,
