franchise,name,metro,start_year,end_year,conference,division
Arizona Diamondbacks,Arizona Diamondbacks,Phoenix,1998,,NL,NL West
Atlanta Braves,Boston Red Stockings,Boston,1871,1875,,
Atlanta Braves,Boston Red Caps,Boston,1876,1882,,
Atlanta Braves,Boston Beaneaters,Boston,1883,1902,,
Atlanta Braves,Boston Beaneaters,Boston,1903,1906,NL,
Atlanta Braves,Boston Doves,Boston,1907,1910,NL,
Atlanta Braves,Boston Rustlers,Boston,1911,1911,NL,
Atlanta Braves,Boston Braves,Boston,1912,1935,NL,
Atlanta Braves,Boston Bees,Boston,1936,1940,NL,
Atlanta Braves,Boston Braves,Boston,1941,1952,NL,
Atlanta Braves,Milwaukee Braves,Milwaukee,1953,1965,NL,
Atlanta Braves,Atlanta Braves,Atlanta,1966,1968,NL,
Atlanta Braves,Atlanta Braves,Atlanta,1969,1993,NL,NL West
Atlanta Braves,Atlanta Braves,Atlanta,1994,,NL,NL East
Baltimore Orioles,Milwaukee Brewers,Milwaukee,1894,1901,,
Baltimore Orioles,St. Louis Browns,St. Louis,1902,1953,AL,
Baltimore Orioles,Baltimore Orioles,Baltimore,1954,1968,AL,
Baltimore Orioles,Baltimore Orioles,Baltimore,1969,,AL,AL East
Boston Red Sox,Boston Americans,Boston,1901,1907,AL,
Boston Red Sox,Boston Red Sox,Boston,1908,1968,AL,
Boston Red Sox,Boston Red Sox,Boston,1969,,AL,AL East
Chicago Cubs,Chicago White Stockings,Chicago,1876,1889,,
Chicago Cubs,Chicago Colts,Chicago,1890,1897,,
Chicago Cubs,Chicago Orphans,Chicago,1898,1902,,
Chicago Cubs,Chicago Cubs,Chicago,1903,1968,NL,
Chicago Cubs,Chicago Cubs,Chicago,1969,1993,NL,NL East
Chicago Cubs,Chicago Cubs,Chicago,1994,,NL,NL Central
Chicago White Sox,Sioux City Cornhuskers,Sioux City,1894,1894,,
Chicago White Sox,St. Paul Saints,Minneapolis,1895,1899,,
Chicago White Sox,Chicago White Stockings,Chicago,1900,1903,AL,
Chicago White Sox,Chicago White Sox,Chicago,1904,1968,AL,
Chicago White Sox,Chicago White Sox,Chicago,1969,1993,AL,AL West
Chicago White Sox,Chicago White Sox,Chicago,1994,,AL,AL Central
Cincinnati Reds,Cincinnati Red Stockings,Cincinnati,1881,1889,,
Cincinnati Reds,Cincinnati Reds,Cincinnati,1890,1952,NL,
Cincinnati Reds,Cincinnati Redlegs,Cincinnati,1953,1958,NL,
Cincinnati Reds,Cincinnati Reds,Cincinnati,1959,1968,NL,
Cincinnati Reds,Cincinnati Reds,Cincinnati,1969,1993,NL,NL West
Cincinnati Reds,Cincinnati Reds,Cincinnati,1994,,NL,NL Central
Cleveland Guardians,Grand Rapids Rustlers,Grand Rapids,1894,1899,,
Cleveland Guardians,Cleveland Lake Shores,Cleveland,1900,1900,,
