franchise_id,season_id,metro_id,team_name,league_id,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
4,1,5,Boston Americans,1,AL,,FIRST,FIRST,,true,1,true,true
20,1,39,Philadelphia Athletics,1,AL,,,,,false,,,
8,1,11,Cleveland Naps,1,AL,,,,,false,,,
19,1,35,New York Highlanders,1,AL,,,,,false,,,
10,1,16,Detroit Tigers,1,AL,,,,,false,,,
3,1,56,St. Louis Browns,1,AL,,,,,false,,,
6,1,9,Chicago White Stockings,1,AL,,,,,false,,,
17,1,63,Washington Senators,1,AL,,LAST_TIED,LAST,,false,,,
22,1,41,Pittsburgh Pirates,1,NL,,,FIRST,,true,0,true,false
24,1,35,New York Giants,1,NL,,,,,false,,,
5,1,9,Chicago Cubs,1,NL,,,,,false,,,
7,1,10,Cincinnati Reds,1,NL,,,,,false,,,
14,1,35,Brooklyn Superbas,1,NL,,,,,false,,,
2,1,5,Boston Beaneaters,1,NL,,,,,false,,,
21,1,39,Philadelphia Phillies,1,NL,,,,,false,,,
26,1,56,St. Louis Cardinals,1,NL,,LAST_TIED,LAST,,false,,,
4,2,5,Boston Americans,1,AL,,,FIRST,,,,,
19,2,35,New York Highlanders,1,AL,,,,,,,,
6,2,9,Chicago White Sox,1,AL,,,,,,,,
8,2,11,Cleveland Naps,1,AL,,,,,,,,
20,2,39,Philadelphia Athletics,1,AL,,,,,,,,
3,2,56,St. Louis Browns,1,AL,,,,,,,,
10,2,16,Detroit Tigers,1,AL,,,,,,,,
17,2,63,Washington Senators,1,AL,,LAST,LAST,,,,,
24,2,35,New York Giants,1,NL,,FIRST,FIRST,,,,,
5,2,9,Chicago Cubs,1,NL,,,,,,,,
7,2,10,Cincinnati Reds,1,NL,,,,,,,,
22,2,41,Pittsburgh Pirates,1,NL,,,,,,,,
26,2,56,St. Louis Cardinals,1,NL,,,,,,,,
14,2,35,Brooklyn Superbas,1,NL,,,,,,,,
2,2,5,Boston Beaneaters,1,NL,,,,,,,,
21,2,39,Philadelphia Phillies,1,NL,,,LAST,,,,,
20,3,39,Philadelphia Athletics,1,AL,,,FIRST,,true,0,true,false
6,3,9,Chicago White Sox,1,AL,,,,,false,,,
10,3,16,Detroit Tigers,1,AL,,,,,false,,,
4,3,5,Boston Americans,1,AL,,,,,false,,,
8,3,11,Cleveland Naps,1,AL,,,,,false,,,
19,3,35,New York Highlanders,1,AL,,,,,false,,,
17,3,63,Washington Senators,1,AL,,,,,false,,,
3,3,56,St. Louis Browns,1,AL,,,LAST,,false,,,
24,3,35,New York Giants,1,NL,,FIRST,FIRST,,true,1,true,true
22,3,41,Pittsburgh Pirates,1,NL,,,,,false,,,
5,3,9,Chicago Cubs,1,NL,,,,,false,,,
21,3,39,Philadelphia Phillies,1,NL,,,,,false,,,
7,3,10,Cincinnati Reds,1,NL,,,,,false,,,
26,3,56,St. Louis Cardinals,1,NL,,,,,false,,,
2,3,5,Boston Beaneaters,1,NL,,,,,false,,,
14,3,35,Brooklyn Superbas,1,NL,,LAST,LAST,,false,,,
6,4,9,Chicago White Sox,1,AL,,,FIRST,,true,1,true,true
19,4,35,New York Highlanders,1,AL,,,,,false,,,
8,4,11,Cleveland Naps,1,AL,,,,,false,,,
20,4,39,Philadelphia Athletics,1,AL,,,,,false,,,
3,4,56,St. Louis Browns,1,AL,,,,,false,,,
10,4,16,Detroit Tigers,1,AL,,,,,false,,,
17,4,63,Washington Senators,1,AL,,,,,false,,,
4,4,5,Boston Americans,1,AL,,LAST,LAST,,false,,,
5,4,9,Chicago Cubs,1,NL,,FIRST,FIRST,,true,0,true,false
24,4,35,New York Giants,1,NL,,,,,false,,,
22,4,41,Pittsburgh Pirates,1,NL,,,,,false,,,
21,4,39,Philadelphia Phillies,1,NL,,,,,false,,,
14,4,35,Brooklyn Superbas,1,NL,,,,,false,,,
7,4,10,Cincinnati Reds,1,NL,,,,,false,,,
26,4,56,St. Louis Cardinals,1,NL,,,,,false,,,
2,4,5,Boston Beaneaters,1,NL,,,LAST,,false,,,
10,5,16,Detroit Tigers,1,AL,,,FIRST,,true,0,true,false
20,5,39,Philadelphia Athletics,1,AL,,,,,false,,,
6,5,9,Chicago White Sox,1,AL,,,,,false,,,
8,5,11,Cleveland Naps,1,AL,,,,,false,,,
19,5,35,New York Highlanders,1,AL,,,,,false,,,
3,5,56,St. Louis Browns,1,AL,,,,,false,,,
4,5,5,Boston Americans,1,AL,,,,,false,,,
17,5,63,Washington Senators,1,AL,,LAST,LAST,,false,,,
5,5,9,Chicago Cubs,1,NL,,FIRST,FIRST,,true,1,true,true
22,5,41,Pittsburgh Pirates,1,NL,,,,,false,,,
21,5,39,Philadelphia Phillies,1,NL,,,,,false,,,
24,5,35,New York Giants,1,NL,,,,,false,,,
14,5,35,Brooklyn Superbas,1,NL,,,,,false,,,
7,5,10,Cincinnati Reds,1,NL,,,,,false,,,
2,5,5,Boston Doves,1,NL,,,,,false,,,
26,5,56,St. Louis Cardinals,1,NL,,,LAST,,false,,,
10,6,16,Detroit Tigers,1,AL,,,FIRST,,true,0,true,false
8,6,11,Cleveland Naps,1,AL,,,,,false,,,
6,6,9,Chicago White Sox,1,AL,,,,,false,,,
3,6,56,St. Louis Browns,1,AL,,,,,false,,,
4,6,5,Boston Red Sox,1,AL,,,,,false,,,
20,6,39,Philadelphia Athletics,1,AL,,,,,false,,,
17,6,63,Washington Senators,1,AL,,,,,false,,,
19,6,35,New York Highlanders,1,AL,,,LAST,,false,,,
5,6,9,Chicago Cubs,1,NL,,FIRST,FIRST,,true,1,true,true
24,6,35,New York Giants,1,NL,,,,,false,,,
22,6,41,Pittsburgh Pirates,1,NL,,,,,false,,,
21,6,39,Philadelphia Phillies,1,NL,,,,,false,,,
7,6,10,Cincinnati Reds,1,NL,,,,,false,,,
2,6,5,Boston Doves,1,NL,,,,,false,,,
14,6,35,Brooklyn Superbas,1,NL,,,,,false,,,
26,6,56,St. Louis Cardinals,1,NL,,LAST,LAST,,false,,,
10,7,16,Detroit Tigers,1,AL,,,FIRST,,true,0,true,false
20,7,39,Philadelphia Athletics,1,AL,,,,,false,,,
4,7,5,Boston Red Sox,1,AL,,,,,false,,,
6,7,9,Chicago White Sox,1,AL,,,,,false,,,
19,7,35,New York Highlanders,1,AL,,,,,false,,,
8,7,11,Cleveland Naps,1,AL,,,,,false,,,
3,7,56,St. Louis Browns,1,AL,,,,,false,,,
17,7,63,Washington Senators,1,AL,,LAST,LAST,,false,,,
22,7,41,Pittsburgh Pirates,1,NL,,FIRST,FIRST,,true,1,true,true
5,7,9,Chicago Cubs,1,NL,,,,,false,,,
24,7,35,New York Giants,1,NL,,,,,false,,,
7,7,10,Cincinnati Reds,1,NL,,,,,false,,,
21,7,39,Philadelphia Phillies,1,NL,,,,,false,,,
14,7,35,Brooklyn Superbas,1,NL,,,,,false,,,
26,7,56,St. Louis Cardinals,1,NL,,,,,false,,,
2,7,5,Boston Doves,1,NL,,,LAST,,false,,,
20,8,39,Philadelphia Athletics,1,AL,,FIRST,FIRST,,true,1,true,true
19,8,35,New York Highlanders,1,AL,,,,,false,,,
10,8,16,Detroit Tigers,1,AL,,,,,false,,,
4,8,5,Boston Red Sox,1,AL,,,,,false,,,
8,8,11,Cleveland Naps,1,AL,,,,,false,,,
6,8,9,Chicago White Sox,1,AL,,,,,false,,,
17,8,63,Washington Senators,1,AL,,,,,false,,,
3,8,56,St. Louis Browns,1,AL,,LAST,LAST,,false,,,
5,8,9,Chicago Cubs,1,NL,,,FIRST,,true,0,true,false
24,8,35,New York Giants,1,NL,,,,,false,,,
22,8,41,Pittsburgh Pirates,1,NL,,,,,false,,,
21,8,39,Philadelphia Phillies,1,NL,,,,,false,,,
7,8,10,Cincinnati Reds,1,NL,,,,,false,,,
14,8,35,Brooklyn Superbas,1,NL,,,,,false,,,
26,8,56,St. Louis Cardinals,1,NL,,,,,false,,,
2,8,5,Boston Doves,1,NL,,,LAST,,false,,,
20,9,39,Philadelphia Athletics,1,AL,,FIRST,FIRST,,true,1,true,true
10,9,16,Detroit Tigers,1,AL,,,,,false,,,
8,9,11,Cleveland Naps,1,AL,,,,,false,,,
4,9,5,Boston Red Sox,1,AL,,,,,false,,,
6,9,9,Chicago White Sox,1,AL,,,,,false,,,
19,9,35,New York Highlanders,1,AL,,,,,false,,,
17,9,63,Washington Senators,1,AL,,,,,false,,,
3,9,56,St. Louis Browns,1,AL,,,LAST,,false,,,
24,9,35,New York Giants,1,NL,,,FIRST,,true,0,true,false
5,9,9,Chicago Cubs,1,NL,,,,,false,,,
22,9,41,Pittsburgh Pirates,1,NL,,,,,false,,,
21,9,39,Philadelphia Phillies,1,NL,,,,,false,,,
26,9,56,St. Louis Cardinals,1,NL,,,,,false,,,
7,9,10,Cincinnati Reds,1,NL,,,,,false,,,
14,9,35,Brooklyn Trolley Dodgers,1,NL,,,,,false,,,
2,9,5,Boston Rustlers,1,NL,,LAST,LAST,,false,,,
4,10,5,Boston Red Sox,1,AL,,FIRST,FIRST,,true,1,true,true
17,10,63,Washington Senators,1,AL,,,,,false,,,
20,10,39,Philadelphia Athletics,1,AL,,,,,false,,,
6,10,9,Chicago White Sox,1,AL,,,,,false,,,
8,10,11,Cleveland Naps,1,AL,,,,,false,,,
10,10,16,Detroit Tigers,1,AL,,,,,false,,,
3,10,56,St. Louis Browns,1,AL,,,,,false,,,
19,10,35,New York Highlanders,1,AL,,LAST,LAST,,false,,,
24,10,35,New York Giants,1,NL,,,FIRST,,true,0,true,false
22,10,41,Pittsburgh Pirates,1,NL,,,,,false,,,
5,10,9,Chicago Cubs,1,NL,,,,,false,,,
7,10,10,Cincinnati Reds,1,NL,,,,,false,,,
21,10,39,Philadelphia Phillies,1,NL,,,,,false,,,
26,10,56,St. Louis Cardinals,1,NL,,,,,false,,,
14,10,35,Brooklyn Trolley Dodgers,1,NL,,,,,false,,,
2,10,5,Boston Braves,1,NL,,,LAST,,false,,,
20,11,39,Philadelphia Athletics,1,AL,,,FIRST,,true,1,true,true
17,11,63,Washington Senators,1,AL,,,,,false,,,
8,11,11,Cleveland Naps,1,AL,,,,,false,,,
4,11,5,Boston Red Sox,1,AL,,,,,false,,,
6,11,9,Chicago White Sox,1,AL,,,,,false,,,
10,11,16,Detroit Tigers,1,AL,,,,,false,,,
19,11,35,New York Yankees,1,AL,,,,,false,,,
3,11,56,St. Louis Browns,1,AL,,,LAST,,false,,,
24,11,35,New York Giants,1,NL,,FIRST,FIRST,,true,0,true,false
21,11,39,Philadelphia Phillies,1,NL,,,,,false,,,
5,11,9,Chicago Cubs,1,NL,,,,,false,,,
22,11,41,Pittsburgh Pirates,1,NL,,,,,false,,,
2,11,5,Boston Braves,1,NL,,,,,false,,,
14,11,35,Brooklyn Dodgers,1,NL,,,,,false,,,
7,11,10,Cincinnati Reds,1,NL,,,,,false,,,
26,11,56,St. Louis Cardinals,1,NL,,LAST,LAST,,false,,,
20,12,39,Philadelphia Athletics,1,AL,,FIRST,FIRST,,true,0,true,false
4,12,5,Boston Red Sox,1,AL,,,,,false,,,
17,12,63,Washington Senators,1,AL,,,,,false,,,
10,12,16,Detroit Tigers,1,AL,,,,,false,,,
3,12,56,St. Louis Browns,1,AL,,,,,false,,,
6,12,9,Chicago White Sox,1,AL,,,,,false,,,
19,12,35,New York Yankees,1,AL,,,,,false,,,
8,12,11,Cleveland Naps,1,AL,,LAST,LAST,,false,,,
2,12,5,Boston Braves,1,NL,,,FIRST,,true,1,true,true
