season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1998,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,LAST,false,,,
1999,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,FIRST,true,0,false,false
2000,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,,false,,,
2001,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,FIRST,true,3,true,true
2002,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,FIRST,true,0,false,false
2003,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,,false,,,
2004,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,LAST,LAST,LAST,false,,,
2005,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,,false,,,
2006,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,,false,,,
2007,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,FIRST,FIRST,true,1,false,false
2008,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,,false,,,
2009,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,LAST,false,,,
2010,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,LAST,false,,,
2011,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,FIRST,true,0,false,false
2012,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,,false,,,
2013,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,,false,,,
2014,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,LAST,LAST,LAST,false,,,
2015,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,,false,,,
2016,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,,false,,,
2017,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,,true,1,false,false
2018,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,,false,,,
2019,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,,false,,,
2020,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,LAST,false,,,
2021,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,LAST_TIED,LAST,LAST,false,,,
2022,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,,false,,,
2023,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,,true,3,true,false
2024,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,,false,,,
