season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1903,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1904,St. Louis,St. Louis Browns,MLB,AL,,,,,,,,
1905,St. Louis,St. Louis Browns,MLB,AL,,,LAST,,false,,,
1906,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1907,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1908,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1909,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1910,St. Louis,St. Louis Browns,MLB,AL,,LAST,LAST,,false,,,
1911,St. Louis,St. Louis Browns,MLB,AL,,,LAST,,false,,,
1912,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1913,St. Louis,St. Louis Browns,MLB,AL,,,LAST,,false,,,
1914,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1915,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1916,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1917,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1918,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1919,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1920,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1921,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1922,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1923,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1924,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1925,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1926,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1927,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1928,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1929,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1930,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1931,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1932,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1933,St. Louis,St. Louis Browns,MLB,AL,,LAST,LAST,,false,,,
1934,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1935,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1936,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1937,St. Louis,St. Louis Browns,MLB,AL,,LAST,LAST,,false,,,
1938,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1939,St. Louis,St. Louis Browns,MLB,AL,,LAST,LAST,,false,,,
1940,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1941,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1942,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1943,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1944,St. Louis,St. Louis Browns,MLB,AL,,,FIRST,,true,0,true,false
1945,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1946,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1947,St. Louis,St. Louis Browns,MLB,AL,,LAST,LAST,,false,,,
1948,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1949,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1950,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1951,St. Louis,St. Louis Browns,MLB,AL,,LAST,LAST,,false,,,
1952,St. Louis,St. Louis Browns,MLB,AL,,,,,false,,,
1953,St. Louis,St. Louis Browns,MLB,AL,,,LAST,,false,,,
1954,Baltimore,Baltimore Orioles,MLB,AL,,,,,false,,,
1955,Baltimore,Baltimore Orioles,MLB,AL,,,,,false,,,
1956,Baltimore,Baltimore Orioles,MLB,AL,,,,,false,,,
1957,Baltimore,Baltimore Orioles,MLB,AL,,,,,false,,,
1958,Baltimore,Baltimore Orioles,MLB,AL,,,,,false,,,
1959,Baltimore,Baltimore Orioles,MLB,AL,,,,,false,,,
1960,Baltimore,Baltimore Orioles,MLB,AL,,,,,false,,,
1961,Baltimore,Baltimore Orioles,MLB,AL,,,,,false,,,
1962,Baltimore,Baltimore Orioles,MLB,AL,,,,,false,,,
1963,Baltimore,Baltimore Orioles,MLB,AL,,,,,false,,,
1964,Baltimore,Baltimore Orioles,MLB,AL,,,,,false,,,
1965,Baltimore,Baltimore Orioles,MLB,AL,,,,,false,,,
1966,Baltimore,Baltimore Orioles,MLB,AL,,FIRST,FIRST,,true,1,true,true
1967,Baltimore,Baltimore Orioles,MLB,AL,,,,,false,,,
1968,Baltimore,Baltimore Orioles,MLB,AL,,,,,false,,,
1969,Baltimore,Baltimore Orioles,MLB,AL,AL East,FIRST,FIRST,FIRST,true,1,true,false
1970,Baltimore,Baltimore Orioles,MLB,AL,AL East,FIRST,FIRST,FIRST,true,2,true,true
1971,Baltimore,Baltimore Orioles,MLB,AL,AL East,FIRST,FIRST,FIRST,true,1,true,false
1972,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,false,,,
1973,Baltimore,Baltimore Orioles,MLB,AL,AL East,,FIRST,FIRST,true,0,false,false
1974,Baltimore,Baltimore Orioles,MLB,AL,AL East,,FIRST,FIRST,true,0,false,false
1975,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,false,,,
1976,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,false,,,
1977,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,false,,,
1978,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,false,,,
1979,Baltimore,Baltimore Orioles,MLB,AL,AL East,FIRST,FIRST,FIRST,true,1,true,false
1980,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,false,,,
1981,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,false,,,
1982,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,false,,,
1983,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,FIRST,true,2,true,true
1984,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,false,,,
1985,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,false,,,
1986,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,LAST,false,,,
1987,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,false,,,
1988,Baltimore,Baltimore Orioles,MLB,AL,AL East,LAST,LAST,LAST,false,,,
1989,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,false,,,
1990,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,false,,,
1991,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,false,,,
1992,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,false,,,
1993,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,false,,,
1994,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,,,,
1995,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,false,,,
1996,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,true,1,false,false
1997,Baltimore,Baltimore Orioles,MLB,AL,AL East,,FIRST,FIRST,true,1,false,false
1998,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,false,,,
1999,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,false,,,
2000,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,false,,,
2001,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,false,,,
2002,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,false,,,
2003,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,false,,,
2004,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,false,,,
2005,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,false,,,
2006,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,false,,,
2007,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,false,,,
2008,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,LAST,false,,,
2009,Baltimore,Baltimore Orioles,MLB,AL,AL East,,LAST,LAST,false,,,
2010,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,LAST,false,,,
2011,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,LAST,false,,,
2012,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,true,1,false,false
2013,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,false,,,
2014,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,FIRST,true,1,false,false
2015,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,false,,,
2016,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,true,0,false,false
2017,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,LAST,false,,,
2018,Baltimore,Baltimore Orioles,MLB,AL,AL East,LAST,LAST,LAST,false,,,
2019,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,LAST,false,,,
2020,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,false,,,
2021,Baltimore,Baltimore Orioles,MLB,AL,AL East,LAST_TIED,LAST,LAST,false,,,
2022,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,false,,,
2023,Baltimore,Baltimore Orioles,MLB,AL,AL East,,FIRST,FIRST,true,0,false,false
2024,Baltimore,Baltimore Orioles,MLB,AL,AL East,,,,true,0,false,false
