season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1903,Boston,Boston Americans,MLB,AL,,FIRST,FIRST,,true,1,true,true
1904,Boston,Boston Americans,MLB,AL,,,FIRST,,,,,
1905,Boston,Boston Americans,MLB,AL,,,,,false,,,
1906,Boston,Boston Americans,MLB,AL,,LAST,LAST,,false,,,
1907,Boston,Boston Americans,MLB,AL,,,,,false,,,
1908,Boston,Boston Red Sox,MLB,AL,,,,,false,,,
1909,Boston,Boston Red Sox,MLB,AL,,,,,false,,,
1910,Boston,Boston Red Sox,MLB,AL,,,,,false,,,
1911,Boston,Boston Red Sox,MLB,AL,,,,,false,,,
1912,Boston,Boston Red Sox,MLB,AL,,FIRST,FIRST,,true,1,true,true
1913,Boston,Boston Red Sox,MLB,AL,,,,,false,,,
1914,Boston,Boston Red Sox,MLB,AL,,,,,false,,,
1915,Boston,Boston Red Sox,MLB,AL,,FIRST,FIRST,,true,1,true,true
1916,Boston,Boston Red Sox,MLB,AL,,,FIRST,,true,1,true,true
1917,Boston,Boston Red Sox,MLB,AL,,,,,false,,,
1918,Boston,Boston Red Sox,MLB,AL,,,FIRST,,true,1,true,true
1919,Boston,Boston Red Sox,MLB,AL,,,,,false,,,
1920,Boston,Boston Red Sox,MLB,AL,,,,,false,,,
1921,Boston,Boston Red Sox,MLB,AL,,,,,false,,,
1922,Boston,Boston Red Sox,MLB,AL,,,LAST,,false,,,
1923,Boston,Boston Red Sox,MLB,AL,,,LAST,,false,,,
1924,Boston,Boston Red Sox,MLB,AL,,,,,false,,,
1925,Boston,Boston Red Sox,MLB,AL,,LAST,LAST,,false,,,
1926,Boston,Boston Red Sox,MLB,AL,,LAST,LAST,,false,,,
1927,Boston,Boston Red Sox,MLB,AL,,LAST_TIED,LAST,,false,,,
1928,Boston,Boston Red Sox,MLB,AL,,,LAST,,false,,,
1929,Boston,Boston Red Sox,MLB,AL,,,LAST,,false,,,
1930,Boston,Boston Red Sox,MLB,AL,,LAST_TIED,LAST,,false,,,
1931,Boston,Boston Red Sox,MLB,AL,,,,,false,,,
1932,Boston,Boston Red Sox,MLB,AL,,LAST,LAST,,false,,,
1933,Boston,Boston Red Sox,MLB,AL,,,,,false,,,
1934,Boston,Boston Red Sox,MLB,AL,,,,,false,,,
1935,Boston,Boston Red Sox,MLB,AL,,,,,false,,,
1936,Boston,Boston Red Sox,MLB,AL,,,,,false,,,
1937,Boston,Boston Red Sox,MLB,AL,,,,,false,,,
1938,Boston,Boston Red Sox,MLB,AL,,,,,false,,,
1939,Boston,Boston Red Sox,MLB,AL,,,,,false,,,
1940,Boston,Boston Red Sox,MLB,AL,,,,,false,,,
1941,Boston,Boston Red Sox,MLB,AL,,,,,false,,,
1942,Boston,Boston Red Sox,MLB,AL,,,,,false,,,
1943,Boston,Boston Red Sox,MLB,AL,,,,,false,,,
1944,Boston,Boston Red Sox,MLB,AL,,,,,false,,,
