season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1903,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1904,Cincinnati,Cincinnati Reds,MLB,NL,,,,,,,,
1905,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1906,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1907,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1908,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1909,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1910,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1911,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1912,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1913,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1914,Cincinnati,Cincinnati Reds,MLB,NL,,,LAST,,false,,,
1915,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1916,Cincinnati,Cincinnati Reds,MLB,NL,,,LAST_TIED,,false,,,
1917,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1918,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1919,Cincinnati,Cincinnati Reds,MLB,NL,,FIRST,FIRST,,true,1,true,true
1920,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1921,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1922,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1923,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1924,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1925,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1926,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1927,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1928,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1929,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1930,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1931,Cincinnati,Cincinnati Reds,MLB,NL,,,LAST,,false,,,
1932,Cincinnati,Cincinnati Reds,MLB,NL,,,LAST,,false,,,
1933,Cincinnati,Cincinnati Reds,MLB,NL,,,LAST,,false,,,
1934,Cincinnati,Cincinnati Reds,MLB,NL,,LAST,LAST,,false,,,
1935,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1936,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1937,Cincinnati,Cincinnati Reds,MLB,NL,,,LAST,,false,,,
1938,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1939,Cincinnati,Cincinnati Reds,MLB,NL,,,FIRST,,true,0,true,false
1940,Cincinnati,Cincinnati Reds,MLB,NL,,FIRST,FIRST,,true,1,true,true
1941,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1942,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1943,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1944,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1945,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1946,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1947,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1948,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1949,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1950,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1951,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1952,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1953,Cincinnati,Cincinnati Redlegs,MLB,NL,,,,,false,,,
1954,Cincinnati,Cincinnati Redlegs,MLB,NL,,,,,false,,,
1955,Cincinnati,Cincinnati Redlegs,MLB,NL,,,,,false,,,
1956,Cincinnati,Cincinnati Redlegs,MLB,NL,,,,,false,,,
1957,Cincinnati,Cincinnati Redlegs,MLB,NL,,,,,false,,,
1958,Cincinnati,Cincinnati Redlegs,MLB,NL,,,,,false,,,
1959,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1960,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1961,Cincinnati,Cincinnati Reds,MLB,NL,,,FIRST,,true,0,true,false
1962,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1963,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1964,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1965,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1966,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1967,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1968,Cincinnati,Cincinnati Reds,MLB,NL,,,,,false,,,
1969,Cincinnati,Cincinnati Reds,MLB,NL,NL West,,,,false,,,
1970,Cincinnati,Cincinnati Reds,MLB,NL,NL West,,FIRST,FIRST,true,1,true,false
1971,Cincinnati,Cincinnati Reds,MLB,NL,NL West,,,,false,,,
1972,Cincinnati,Cincinnati Reds,MLB,NL,NL West,,,FIRST,true,1,true,false
1973,Cincinnati,Cincinnati Reds,MLB,NL,NL West,FIRST,FIRST,FIRST,true,0,false,false
1974,Cincinnati,Cincinnati Reds,MLB,NL,NL West,,,,false,,,
1975,Cincinnati,Cincinnati Reds,MLB,NL,NL West,FIRST,FIRST,FIRST,true,2,true,true
1976,Cincinnati,Cincinnati Reds,MLB,NL,NL West,FIRST,FIRST,FIRST,true,2,true,true
1977,Cincinnati,Cincinnati Reds,MLB,NL,NL West,,,,false,,,
1978,Cincinnati,Cincinnati Reds,MLB,NL,NL West,,,,false,,,
1979,Cincinnati,Cincinnati Reds,MLB,NL,NL West,,,FIRST,true,0,false,false
1980,Cincinnati,Cincinnati Reds,MLB,NL,NL West,,,,false,,,
1981,Cincinnati,Cincinnati Reds,MLB,NL,NL West,FIRST,FIRST,FIRST,false,,,
1982,Cincinnati,Cincinnati Reds,MLB,NL,NL West,,LAST,LAST,false,,,
1983,Cincinnati,Cincinnati Reds,MLB,NL,NL West,,,LAST,false,,,
1984,Cincinnati,Cincinnati Reds,MLB,NL,NL West,,,,false,,,
1985,Cincinnati,Cincinnati Reds,MLB,NL,NL West,,,,false,,,
1986,Cincinnati,Cincinnati Reds,MLB,NL,NL West,,,,false,,,
1987,Cincinnati,Cincinnati Reds,MLB,NL,NL West,,,,false,,,
1988,Cincinnati,Cincinnati Reds,MLB,NL,NL West,,,,false,,,
1989,Cincinnati,Cincinnati Reds,MLB,NL,NL West,,,,false,,,
1990,Cincinnati,Cincinnati Reds,MLB,NL,NL West,,,FIRST,true,2,true,true
1991,Cincinnati,Cincinnati Reds,MLB,NL,NL West,,,,false,,,
1992,Cincinnati,Cincinnati Reds,MLB,NL,NL West,,,,false,,,
1993,Cincinnati,Cincinnati Reds,MLB,NL,NL West,,,,false,,,
1994,Cincinnati,Cincinnati Reds,MLB,NL,NL Central,,,FIRST,,,,
1995,Cincinnati,Cincinnati Reds,MLB,NL,NL Central,,,FIRST,true,1,false,false
1996,Cincinnati,Cincinnati Reds,MLB,NL,NL Central,,,,false,,,
1997,Cincinnati,Cincinnati Reds,MLB,NL,NL Central,,,,false,,,
1998,Cincinnati,Cincinnati Reds,MLB,NL,NL Central,,,,false,,,
1999,Cincinnati,Cincinnati Reds,MLB,NL,NL Central,,,,false,,,
2000,Cincinnati,Cincinnati Reds,MLB,NL,NL Central,,,,false,,,
2001,Cincinnati,Cincinnati Reds,MLB,NL,NL Central,,,,false,,,
2002,Cincinnati,Cincinnati Reds,MLB,NL,NL Central,,,,false,,,
2003,Cincinnati,Cincinnati Reds,MLB,NL,NL Central,,,,false,,,
2004,Cincinnati,Cincinnati Reds,MLB,NL,NL Central,,,,false,,,
2005,Cincinnati,Cincinnati Reds,MLB,NL,NL Central,,,,false,,,
2006,Cincinnati,Cincinnati Reds,MLB,NL,NL Central,,,,false,,,
2007,Cincinnati,Cincinnati Reds,MLB,NL,NL Central,,,,false,,,
2008,Cincinnati,Cincinnati Reds,MLB,NL,NL Central,,,,false,,,
2009,Cincinnati,Cincinnati Reds,MLB,NL,NL Central,,,,false,,,
2010,Cincinnati,Cincinnati Reds,MLB,NL,NL Central,,,FIRST,true,0,false,false
2011,Cincinnati,Cincinnati Reds,MLB,NL,NL Central,,,,false,,,
2012,Cincinnati,Cincinnati Reds,MLB,NL,NL Central,,,FIRST,true,0,false,false
2013,Cincinnati,Cincinnati Reds,MLB,NL,NL Central,,,,true,0,false,false
2014,Cincinnati,Cincinnati Reds,MLB,NL,NL Central,,,,false,,,
2015,Cincinnati,Cincinnati Reds,MLB,NL,NL Central,,,LAST,false,,,
2016,Cincinnati,Cincinnati Reds,MLB,NL,NL Central,,LAST_TIED,LAST,false,,,
2017,Cincinnati,Cincinnati Reds,MLB,NL,NL Central,,,LAST,false,,,
2018,Cincinnati,Cincinnati Reds,MLB,NL,NL Central,,,LAST,false,,,
2019,Cincinnati,Cincinnati Reds,MLB,NL,NL Central,,,,false,,,
2020,Cincinnati,Cincinnati Reds,MLB,NL,NL Central,,,,true,0,false,false
2021,Cincinnati,Cincinnati Reds,MLB,NL,NL Central,,,,false,,,
2022,Cincinnati,Cincinnati Reds,MLB,NL,NL Central,,,LAST_TIED,false,,,
2023,Cincinnati,Cincinnati Reds,MLB,NL,NL Central,,,,false,,,
2024,Cincinnati,Cincinnati Reds,MLB,NL,NL Central,,,,false,,,
