season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1903,Cleveland,Cleveland Naps,MLB,AL,,,,,false,,,
1904,Cleveland,Cleveland Naps,MLB,AL,,,,,,,,
1905,Cleveland,Cleveland Naps,MLB,AL,,,,,false,,,
1906,Cleveland,Cleveland Naps,MLB,AL,,,,,false,,,
1907,Cleveland,Cleveland Naps,MLB,AL,,,,,false,,,
1908,Cleveland,Cleveland Naps,MLB,AL,,,,,false,,,
1909,Cleveland,Cleveland Naps,MLB,AL,,,,,false,,,
1910,Cleveland,Cleveland Naps,MLB,AL,,,,,false,,,
1911,Cleveland,Cleveland Naps,MLB,AL,,,,,false,,,
1912,Cleveland,Cleveland Naps,MLB,AL,,,,,false,,,
1913,Cleveland,Cleveland Naps,MLB,AL,,,,,false,,,
1914,Cleveland,Cleveland Naps,MLB,AL,,LAST,LAST,,false,,,
1915,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1916,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1917,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1918,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1919,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1920,Cleveland,Cleveland Indians,MLB,AL,,FIRST,FIRST,,true,1,true,true
1921,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1922,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1923,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1924,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1925,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1926,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1927,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1928,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1929,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1930,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1931,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1932,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1933,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1934,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1935,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1936,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1937,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1938,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1939,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1940,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1941,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1942,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1943,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1944,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1945,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1946,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1947,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1948,Cleveland,Cleveland Indians,MLB,AL,,FIRST,FIRST,,true,1,true,true
1949,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1950,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1951,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1952,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1953,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1954,Cleveland,Cleveland Indians,MLB,AL,,FIRST,FIRST,,true,0,true,false
1955,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1956,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1957,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1958,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1959,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1960,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1961,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1962,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1963,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1964,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1965,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1966,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1967,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1968,Cleveland,Cleveland Indians,MLB,AL,,,,,false,,,
1969,Cleveland,Cleveland Indians,MLB,AL,AL East,,LAST,LAST,false,,,
1970,Cleveland,Cleveland Indians,MLB,AL,AL East,,,,false,,,
1971,Cleveland,Cleveland Indians,MLB,AL,AL East,LAST,LAST,LAST,false,,,
1972,Cleveland,Cleveland Indians,MLB,AL,AL East,,,,false,,,
1973,Cleveland,Cleveland Indians,MLB,AL,AL East,,,LAST,false,,,
1974,Cleveland,Cleveland Indians,MLB,AL,AL East,,,,false,,,
1975,Cleveland,Cleveland Indians,MLB,AL,AL East,,,,false,,,
1976,Cleveland,Cleveland Indians,MLB,AL,AL East,,,,false,,,
1977,Cleveland,Cleveland Indians,MLB,AL,AL East,,,,false,,,
1978,Cleveland,Cleveland Indians,MLB,AL,AL East,,,,false,,,
1979,Cleveland,Cleveland Indians,MLB,AL,AL East,,,,false,,,
1980,Cleveland,Cleveland Indians,MLB,AL,AL East,,,,false,,,
1981,Cleveland,Cleveland Indians,MLB,AL,AL East,,,,false,,,
1982,Cleveland,Cleveland Indians,MLB,AL,AL East,,,LAST_TIED,false,,,
1983,Cleveland,Cleveland Indians,MLB,AL,AL East,,,LAST,false,,,
1984,Cleveland,Cleveland Indians,MLB,AL,AL East,,,,false,,,
1985,Cleveland,Cleveland Indians,MLB,AL,AL East,,LAST,LAST,false,,,
1986,Cleveland,Cleveland Indians,MLB,AL,AL East,,,,false,,,
1987,Cleveland,Cleveland Indians,MLB,AL,AL East,LAST,LAST,LAST,false,,,
1988,Cleveland,Cleveland Indians,MLB,AL,AL East,,,,false,,,
1989,Cleveland,Cleveland Indians,MLB,AL,AL East,,,,false,,,
1990,Cleveland,Cleveland Indians,MLB,AL,AL East,,,,false,,,
1991,Cleveland,Cleveland Indians,MLB,AL,AL East,LAST,LAST,LAST,false,,,
1992,Cleveland,Cleveland Indians,MLB,AL,AL East,,,,false,,,
1993,Cleveland,Cleveland Indians,MLB,AL,AL East,,,,false,,,
1994,Cleveland,Cleveland Indians,MLB,AL,AL Central,,,,,,,
1995,Cleveland,Cleveland Indians,MLB,AL,AL Central,FIRST,FIRST,FIRST,true,2,true,false
1996,Cleveland,Cleveland Indians,MLB,AL,AL Central,FIRST,FIRST,FIRST,true,0,false,false
1997,Cleveland,Cleveland Indians,MLB,AL,AL Central,,,FIRST,true,2,true,false
1998,Cleveland,Cleveland Indians,MLB,AL,AL Central,,,FIRST,true,1,false,false
1999,Cleveland,Cleveland Indians,MLB,AL,AL Central,,,FIRST,true,0,false,false
2000,Cleveland,Cleveland Indians,MLB,AL,AL Central,,,,false,,,
2001,Cleveland,Cleveland Indians,MLB,AL,AL Central,,,FIRST,true,0,false,false
2002,Cleveland,Cleveland Indians,MLB,AL,AL Central,,,,false,,,
2003,Cleveland,Cleveland Indians,MLB,AL,AL Central,,,,false,,,
2004,Cleveland,Cleveland Indians,MLB,AL,AL Central,,,,false,,,
2005,Cleveland,Cleveland Indians,MLB,AL,AL Central,,,,false,,,
2006,Cleveland,Cleveland Indians,MLB,AL,AL Central,,,,false,,,
2007,Cleveland,Cleveland Indians,MLB,AL,AL Central,FIRST_TIED,FIRST_TIED,FIRST,true,1,false,false
2008,Cleveland,Cleveland Indians,MLB,AL,AL Central,,,,false,,,
2009,Cleveland,Cleveland Indians,MLB,AL,AL Central,,,LAST_TIED,false,,,
2010,Cleveland,Cleveland Indians,MLB,AL,AL Central,,,,false,,,
2011,Cleveland,Cleveland Indians,MLB,AL,AL Central,,,,false,,,
2012,Cleveland,Cleveland Indians,MLB,AL,AL Central,,,,false,,,
2013,Cleveland,Cleveland Indians,MLB,AL,AL Central,,,,true,0,false,false
2014,Cleveland,Cleveland Indians,MLB,AL,AL Central,,,,false,,,
2015,Cleveland,Cleveland Indians,MLB,AL,AL Central,,,,false,,,
2016,Cleveland,Cleveland Indians,MLB,AL,AL Central,,,FIRST,true,2,true,false
2017,Cleveland,Cleveland Indians,MLB,AL,AL Central,,FIRST,FIRST,true,0,false,false
2018,Cleveland,Cleveland Indians,MLB,AL,AL Central,,,FIRST,true,0,false,false
2019,Cleveland,Cleveland Indians,MLB,AL,AL Central,,,,false,,,
2020,Cleveland,Cleveland Indians,MLB,AL,AL Central,,,,true,0,false,false
2021,Cleveland,Cleveland Indians,MLB,AL,AL Central,,,,false,,,
2022,Cleveland,Cleveland Guardians,MLB,AL,AL Central,,,FIRST,true,1,false,false
2023,Cleveland,Cleveland Guardians,MLB,AL,AL Central,,,,false,,,
2024,Cleveland,Cleveland Guardians,MLB,AL,AL Central,,,FIRST,true,1,false,false
