season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1903,New York,Brooklyn Superbas,MLB,NL,,,,,false,,,
1904,New York,Brooklyn Superbas,MLB,NL,,,,,,,,
1905,New York,Brooklyn Superbas,MLB,NL,,LAST,LAST,,false,,,
1906,New York,Brooklyn Superbas,MLB,NL,,,,,false,,,
1907,New York,Brooklyn Superbas,MLB,NL,,,,,false,,,
1908,New York,Brooklyn Superbas,MLB,NL,,,,,false,,,
1909,New York,Brooklyn Superbas,MLB,NL,,,,,false,,,
1910,New York,Brooklyn Superbas,MLB,NL,,,,,false,,,
1911,New York,Brooklyn Trolley Dodgers,MLB,NL,,,,,false,,,
1912,New York,Brooklyn Trolley Dodgers,MLB,NL,,,,,false,,,
1913,New York,Brooklyn Dodgers,MLB,NL,,,,,false,,,
1914,New York,Brooklyn Robins,MLB,NL,,,,,false,,,
1915,New York,Brooklyn Robins,MLB,NL,,,,,false,,,
1916,New York,Brooklyn Robins,MLB,NL,,FIRST,FIRST,,true,0,true,false
1917,New York,Brooklyn Robins,MLB,NL,,,,,false,,,
1918,New York,Brooklyn Robins,MLB,NL,,,,,false,,,
1919,New York,Brooklyn Robins,MLB,NL,,,,,false,,,
1920,New York,Brooklyn Robins,MLB,NL,,,FIRST,,true,0,true,false
1921,New York,Brooklyn Robins,MLB,NL,,,,,false,,,
1922,New York,Brooklyn Robins,MLB,NL,,,,,false,,,
1923,New York,Brooklyn Robins,MLB,NL,,,,,false,,,
1924,New York,Brooklyn Robins,MLB,NL,,,,,false,,,
1925,New York,Brooklyn Robins,MLB,NL,,,,,false,,,
1926,New York,Brooklyn Robins,MLB,NL,,,,,false,,,
1927,New York,Brooklyn Robins,MLB,NL,,,,,false,,,
1928,New York,Brooklyn Robins,MLB,NL,,,,,false,,,
1929,New York,Brooklyn Robins,MLB,NL,,,,,false,,,
1930,New York,Brooklyn Robins,MLB,NL,,,,,false,,,
1931,New York,Brooklyn Robins,MLB,NL,,,,,false,,,
1932,New York,Brooklyn Dodgers,MLB,NL,,,,,false,,,
1933,New York,Brooklyn Dodgers,MLB,NL,,,,,false,,,
1934,New York,Brooklyn Dodgers,MLB,NL,,,,,false,,,
1935,New York,Brooklyn Dodgers,MLB,NL,,,,,false,,,
1936,New York,Brooklyn Dodgers,MLB,NL,,,,,false,,,
1937,New York,Brooklyn Dodgers,MLB,NL,,,,,false,,,
1938,New York,Brooklyn Dodgers,MLB,NL,,,,,false,,,
1939,New York,Brooklyn Dodgers,MLB,NL,,,,,false,,,
1940,New York,Brooklyn Dodgers,MLB,NL,,,,,false,,,
1941,New York,Brooklyn Dodgers,MLB,NL,,,FIRST,,true,0,true,false
1942,New York,Brooklyn Dodgers,MLB,NL,,,,,false,,,
1943,New York,Brooklyn Dodgers,MLB,NL,,,,,false,,,
1944,New York,Brooklyn Dodgers,MLB,NL,,,,,false,,,
1945,New York,Brooklyn Dodgers,MLB,NL,,,,,false,,,
1946,New York,Brooklyn Dodgers,MLB,NL,,,,,false,,,
1947,New York,Brooklyn Dodgers,MLB,NL,,,FIRST,,true,0,true,false
1948,New York,Brooklyn Dodgers,MLB,NL,,,,,false,,,
1949,New York,Brooklyn Dodgers,MLB,NL,,FIRST_TIED,FIRST,,true,0,true,false
1950,New York,Brooklyn Dodgers,MLB,NL,,,,,false,,,
1951,New York,Brooklyn Dodgers,MLB,NL,,,,,false,,,
1952,New York,Brooklyn Dodgers,MLB,NL,,FIRST,FIRST,,true,0,true,false
1953,New York,Brooklyn Dodgers,MLB,NL,,FIRST,FIRST,,true,0,true,false
1954,New York,Brooklyn Dodgers,MLB,NL,,,,,false,,,
1955,New York,Brooklyn Dodgers,MLB,NL,,FIRST,FIRST,,true,1,true,true
1956,New York,Brooklyn Dodgers,MLB,NL,,,FIRST,,true,0,true,false
1957,New York,Brooklyn Dodgers,MLB,NL,,,,,false,,,
1958,Los Angeles,Los Angeles Dodgers,MLB,NL,,,,,false,,,
1959,Los Angeles,Los Angeles Dodgers,MLB,NL,,,FIRST,,true,1,true,true
1960,Los Angeles,Los Angeles Dodgers,MLB,NL,,,,,false,,,
1961,Los Angeles,Los Angeles Dodgers,MLB,NL,,,,,false,,,
1962,Los Angeles,Los Angeles Dodgers,MLB,NL,,,,,false,,,
1963,Los Angeles,Los Angeles Dodgers,MLB,NL,,,FIRST,,true,1,true,true
1964,Los Angeles,Los Angeles Dodgers,MLB,NL,,,,,false,,,
1965,Los Angeles,Los Angeles Dodgers,MLB,NL,,,FIRST,,true,1,true,true
1966,Los Angeles,Los Angeles Dodgers,MLB,NL,,,FIRST,,true,0,true,false
1967,Los Angeles,Los Angeles Dodgers,MLB,NL,,,,,false,,,
1968,Los Angeles,Los Angeles Dodgers,MLB,NL,,,,,false,,,
1969,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,,false,,,
1970,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,,false,,,
1971,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,,false,,,
1972,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,,false,,,
1973,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,,false,,,
1974,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,FIRST,FIRST,FIRST,true,1,true,false
1975,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,,false,,,
1976,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,,false,,,
1977,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,FIRST,true,1,true,false
1978,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,FIRST,FIRST,true,1,true,false
1979,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,,false,,,
1980,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,,false,,,
1981,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,,true,3,true,true
1982,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,,false,,,
1983,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,FIRST,FIRST,true,0,false,false
1984,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,,false,,,
1985,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,FIRST,true,0,false,false
1986,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,,false,,,
1987,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,,false,,,
1988,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,FIRST,true,2,true,true
1989,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,,false,,,
1990,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,,false,,,
1991,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,,false,,,
1992,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,LAST,LAST,LAST,false,,,
1993,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,,false,,,
1994,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,FIRST,,,,
1995,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,FIRST,true,0,false,false
1996,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,,true,0,false,false
1997,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,,false,,,
1998,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,,false,,,
1999,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,,false,,,
2000,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,,false,,,
2001,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,,false,,,
2002,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,,false,,,
2003,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,,false,,,
2004,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,FIRST,true,0,false,false
2005,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,,false,,,
2006,Los Angeles,Los Angeles Dodgers,MLB,NL,NL West,,,,true,0,false,false
