season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1993,Miami,Florida Marlins,MLB,NL,NL East,,,,false,,,
1994,Miami,Florida Marlins,MLB,NL,NL East,,,LAST,,,,
1995,Miami,Florida Marlins,MLB,NL,NL East,,,,false,,,
1996,Miami,Florida Marlins,MLB,NL,NL East,,,,false,,,
1997,Miami,Florida Marlins,MLB,NL,NL East,,,,true,3,true,true
1998,Miami,Florida Marlins,MLB,NL,NL East,LAST,LAST,LAST,false,,,
1999,Miami,Florida Marlins,MLB,NL,NL East,,LAST,LAST,false,,,
2000,Miami,Florida Marlins,MLB,NL,NL East,,,,false,,,
2001,Miami,Florida Marlins,MLB,NL,NL East,,,,false,,,
2002,Miami,Florida Marlins,MLB,NL,NL East,,,,false,,,
2003,Miami,Florida Marlins,MLB,NL,NL East,,,,true,3,true,true
2004,Miami,Florida Marlins,MLB,NL,NL East,,,,false,,,
2005,Miami,Florida Marlins,MLB,NL,NL East,,,,false,,,
2006,Miami,Florida Marlins,MLB,NL,NL East,,,,false,,,
2007,Miami,Florida Marlins,MLB,NL,NL East,,,LAST,false,,,
2008,Miami,Florida Marlins,MLB,NL,NL East,,,,false,,,
2009,Miami,Florida Marlins,MLB,NL,NL East,,,,false,,,
2010,Miami,Florida Marlins,MLB,NL,NL East,,,,false,,,
2011,Miami,Florida Marlins,MLB,NL,NL East,,,LAST,false,,,
2012,Miami,Miami Marlins,MLB,NL,NL East,,,LAST,false,,,
2013,Miami,Miami Marlins,MLB,NL,NL East,,LAST,LAST,false,,,
2014,Miami,Miami Marlins,MLB,NL,NL East,,,,false,,,
2015,Miami,Miami Marlins,MLB,NL,NL East,,,,false,,,
2016,Miami,Miami Marlins,MLB,NL,NL East,,,,false,,,
2017,Miami,Miami Marlins,MLB,NL,NL East,,,,false,,,
2018,Miami,Miami Marlins,MLB,NL,NL East,,LAST,LAST,false,,,
2019,Miami,Miami Marlins,MLB,NL,NL East,,LAST,LAST,false,,,
2020,Miami,Miami Marlins,MLB,NL,NL East,,,,true,1,false,false
2021,Miami,Miami Marlins,MLB,NL,NL East,,,,false,,,
2022,Miami,Miami Marlins,MLB,NL,NL East,,,,false,,,
2023,Miami,Miami Marlins,MLB,NL,NL East,,,,true,0,false,false
2024,Miami,Miami Marlins,MLB,NL,NL East,,,LAST,false,,,
