season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1969,Seattle,Seattle Pilots,MLB,AL,AL West,,,LAST,false,,,
1970,Milwaukee,Milwaukee Brewers,MLB,AL,AL West,,,,false,,,
1971,Milwaukee,Milwaukee Brewers,MLB,AL,AL West,,,LAST,false,,,
1972,Milwaukee,Milwaukee Brewers,MLB,AL,AL East,,,LAST,false,,,
1973,Milwaukee,Milwaukee Brewers,MLB,AL,AL East,,,,false,,,
1974,Milwaukee,Milwaukee Brewers,MLB,AL,AL East,,,,false,,,
1975,Milwaukee,Milwaukee Brewers,MLB,AL,AL East,,,,false,,,
1976,Milwaukee,Milwaukee Brewers,MLB,AL,AL East,,,LAST,false,,,
1977,Milwaukee,Milwaukee Brewers,MLB,AL,AL East,,,,false,,,
1978,Milwaukee,Milwaukee Brewers,MLB,AL,AL East,,,,false,,,
1979,Milwaukee,Milwaukee Brewers,MLB,AL,AL East,,,,false,,,
1980,Milwaukee,Milwaukee Brewers,MLB,AL,AL East,,,,false,,,
1981,Milwaukee,Milwaukee Brewers,MLB,AL,AL East,,,FIRST,true,0,false,false
1982,Milwaukee,Milwaukee Brewers,MLB,AL,AL East,FIRST,FIRST,FIRST,true,1,true,false
1983,Milwaukee,Milwaukee Brewers,MLB,AL,AL East,,,,false,,,
1984,Milwaukee,Milwaukee Brewers,MLB,AL,AL East,,LAST,LAST,false,,,
1985,Milwaukee,Milwaukee Brewers,MLB,AL,AL East,,,,false,,,
1986,Milwaukee,Milwaukee Brewers,MLB,AL,AL East,,,,false,,,
1987,Milwaukee,Milwaukee Brewers,MLB,AL,AL East,,,,false,,,
1988,Milwaukee,Milwaukee Brewers,MLB,AL,AL East,,,,false,,,
1989,Milwaukee,Milwaukee Brewers,MLB,AL,AL East,,,,false,,,
1990,Milwaukee,Milwaukee Brewers,MLB,AL,AL East,,,,false,,,
1991,Milwaukee,Milwaukee Brewers,MLB,AL,AL East,,,,false,,,
1992,Milwaukee,Milwaukee Brewers,MLB,AL,AL East,,,,false,,,
1993,Milwaukee,Milwaukee Brewers,MLB,AL,AL East,,,LAST,false,,,
1994,Milwaukee,Milwaukee Brewers,MLB,AL,AL Central,,,LAST,,,,
1995,Milwaukee,Milwaukee Brewers,MLB,AL,AL Central,,,,false,,,
1996,Milwaukee,Milwaukee Brewers,MLB,AL,AL Central,,,,false,,,
1997,Milwaukee,Milwaukee Brewers,MLB,AL,AL Central,,,,false,,,
1998,Milwaukee,Milwaukee Brewers,MLB,NL,NL Central,,,,false,,,
1999,Milwaukee,Milwaukee Brewers,MLB,NL,NL Central,,,,false,,,
2000,Milwaukee,Milwaukee Brewers,MLB,NL,NL Central,,,,false,,,
2001,Milwaukee,Milwaukee Brewers,MLB,NL,NL Central,,,,false,,,
2002,Milwaukee,Milwaukee Brewers,MLB,NL,NL Central,,LAST,LAST,false,,,
2003,Milwaukee,Milwaukee Brewers,MLB,NL,NL Central,,,LAST,false,,,
2004,Milwaukee,Milwaukee Brewers,MLB,NL,NL Central,,,LAST,false,,,
2005,Milwaukee,Milwaukee Brewers,MLB,NL,NL Central,,,,false,,,
2006,Milwaukee,Milwaukee Brewers,MLB,NL,NL Central,,,,false,,,
2007,Milwaukee,Milwaukee Brewers,MLB,NL,NL Central,,,,false,,,
2008,Milwaukee,Milwaukee Brewers,MLB,NL,NL Central,,,,true,0,false,false
2009,Milwaukee,Milwaukee Brewers,MLB,NL,NL Central,,,,false,,,
2010,Milwaukee,Milwaukee Brewers,MLB,NL,NL Central,,,,false,,,
2011,Milwaukee,Milwaukee Brewers,MLB,NL,NL Central,,,FIRST,true,1,false,false
2012,Milwaukee,Milwaukee Brewers,MLB,NL,NL Central,,,,false,,,
2013,Milwaukee,Milwaukee Brewers,MLB,NL,NL Central,,,,false,,,
2014,Milwaukee,Milwaukee Brewers,MLB,NL,NL Central,,,,false,,,
2015,Milwaukee,Milwaukee Brewers,MLB,NL,NL Central,,,,false,,,
2016,Milwaukee,Milwaukee Brewers,MLB,NL,NL Central,,,,false,,,
2017,Milwaukee,Milwaukee Brewers,MLB,NL,NL Central,,,,false,,,
2018,Milwaukee,Milwaukee Brewers,MLB,NL,NL Central,,FIRST,FIRST,true,1,false,false
2019,Milwaukee,Milwaukee Brewers,MLB,NL,NL Central,,,,true,0,false,false
2020,Milwaukee,Milwaukee Brewers,MLB,NL,NL Central,,,,true,0,false,false
2021,Milwaukee,Milwaukee Brewers,MLB,NL,NL Central,,,FIRST,true,0,false,false
2022,Milwaukee,Milwaukee Brewers,MLB,NL,NL Central,,,,false,,,
2023,Milwaukee,Milwaukee Brewers,MLB,NL,NL Central,,,FIRST,true,0,false,false
2024,Milwaukee,Milwaukee Brewers,MLB,NL,NL Central,,,FIRST,true,0,false,false
