season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1962,New York,New York Mets,MLB,NL,,LAST,LAST,,false,,,
1963,New York,New York Mets,MLB,NL,,LAST,LAST,,false,,,
1964,New York,New York Mets,MLB,NL,,LAST,LAST,,false,,,
1965,New York,New York Mets,MLB,NL,,LAST,LAST,,false,,,
1966,New York,New York Mets,MLB,NL,,,,,false,,,
1967,New York,New York Mets,MLB,NL,,LAST,LAST,,false,,,
1968,New York,New York Mets,MLB,NL,,,,,false,,,
1969,New York,New York Mets,MLB,NL,NL East,,FIRST,FIRST,true,2,true,true
1970,New York,New York Mets,MLB,NL,NL East,,,,false,,,
1971,New York,New York Mets,MLB,NL,NL East,,,,false,,,
1972,New York,New York Mets,MLB,NL,NL East,,,,false,,,
1973,New York,New York Mets,MLB,NL,NL East,,,FIRST,true,1,true,false
1974,New York,New York Mets,MLB,NL,NL East,,,,false,,,
1975,New York,New York Mets,MLB,NL,NL East,,,,false,,,
1976,New York,New York Mets,MLB,NL,NL East,,,,false,,,
1977,New York,New York Mets,MLB,NL,NL East,,,LAST,false,,,
1978,New York,New York Mets,MLB,NL,NL East,,LAST,LAST,false,,,
1979,New York,New York Mets,MLB,NL,NL East,,LAST,LAST,false,,,
1980,New York,New York Mets,MLB,NL,NL East,,,,false,,,
1981,New York,New York Mets,MLB,NL,NL East,,,,false,,,
1982,New York,New York Mets,MLB,NL,NL East,,,LAST,false,,,
1983,New York,New York Mets,MLB,NL,NL East,,LAST,LAST,false,,,
1984,New York,New York Mets,MLB,NL,NL East,,,,false,,,
1985,New York,New York Mets,MLB,NL,NL East,,,,false,,,
1986,New York,New York Mets,MLB,NL,NL East,FIRST,FIRST,FIRST,true,2,true,true
1987,New York,New York Mets,MLB,NL,NL East,,,,false,,,
1988,New York,New York Mets,MLB,NL,NL East,,FIRST,FIRST,true,0,false,false
1989,New York,New York Mets,MLB,NL,NL East,,,,false,,,
1990,New York,New York Mets,MLB,NL,NL East,,,,false,,,
1991,New York,New York Mets,MLB,NL,NL East,,,,false,,,
1992,New York,New York Mets,MLB,NL,NL East,,,,false,,,
1993,New York,New York Mets,MLB,NL,NL East,LAST,LAST,LAST,false,,,
1994,New York,New York Mets,MLB,NL,NL East,,,,,,,
1995,New York,New York Mets,MLB,NL,NL East,,,,false,,,
1996,New York,New York Mets,MLB,NL,NL East,,,,false,,,
1997,New York,New York Mets,MLB,NL,NL East,,,,false,,,
1998,New York,New York Mets,MLB,NL,NL East,,,,false,,,
1999,New York,New York Mets,MLB,NL,NL East,,,,true,1,false,false
2000,New York,New York Mets,MLB,NL,NL East,,,,true,2,true,false
2001,New York,New York Mets,MLB,NL,NL East,,,,false,,,
2002,New York,New York Mets,MLB,NL,NL East,,,LAST,false,,,
2003,New York,New York Mets,MLB,NL,NL East,,,LAST,false,,,
2004,New York,New York Mets,MLB,NL,NL East,,,,false,,,
2005,New York,New York Mets,MLB,NL,NL East,,,,false,,,
2006,New York,New York Mets,MLB,NL,NL East,FIRST_TIED,FIRST,FIRST,true,1,false,false
2007,New York,New York Mets,MLB,NL,NL East,,,,false,,,
2008,New York,New York Mets,MLB,NL,NL East,,,,false,,,
2009,New York,New York Mets,MLB,NL,NL East,,,,false,,,
2010,New York,New York Mets,MLB,NL,NL East,,,,false,,,
2011,New York,New York Mets,MLB,NL,NL East,,,,false,,,
2012,New York,New York Mets,MLB,NL,NL East,,,,false,,,
2013,New York,New York Mets,MLB,NL,NL East,,,,false,,,
2014,New York,New York Mets,MLB,NL,NL East,,,,false,,,
2015,New York,New York Mets,MLB,NL,NL East,,,FIRST,true,2,true,false
2016,New York,New York Mets,MLB,NL,NL East,,,,true,0,false,false
2017,New York,New York Mets,MLB,NL,NL East,,,,false,,,
2018,New York,New York Mets,MLB,NL,NL East,,,,false,,,
2019,New York,New York Mets,MLB,NL,NL East,,,,false,,,
2020,New York,New York Mets,MLB,NL,NL East,,,LAST_TIED,false,,,
2021,New York,New York Mets,MLB,NL,NL East,,,,false,,,
2022,New York,New York Mets,MLB,NL,NL East,,,,true,0,false,false
2023,New York,New York Mets,MLB,NL,NL East,,,,false,,,
2024,New York,New York Mets,MLB,NL,NL East,,,,true,2,false,false
