season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1969,San Diego,San Diego Padres,MLB,NL,NL West,LAST_TIED,LAST_TIED,LAST,false,,,
1970,San Diego,San Diego Padres,MLB,NL,NL West,,LAST,LAST,false,,,
1971,San Diego,San Diego Padres,MLB,NL,NL West,,LAST,LAST,false,,,
1972,San Diego,San Diego Padres,MLB,NL,NL West,,LAST,LAST,false,,,
1973,San Diego,San Diego Padres,MLB,NL,NL West,,LAST,LAST,false,,,
1974,San Diego,San Diego Padres,MLB,NL,NL West,LAST,LAST,LAST,false,,,
1975,San Diego,San Diego Padres,MLB,NL,NL West,,,,false,,,
1976,San Diego,San Diego Padres,MLB,NL,NL West,,,,false,,,
1977,San Diego,San Diego Padres,MLB,NL,NL West,,,,false,,,
1978,San Diego,San Diego Padres,MLB,NL,NL West,,,,false,,,
1979,San Diego,San Diego Padres,MLB,NL,NL West,,,,false,,,
1980,San Diego,San Diego Padres,MLB,NL,NL West,,,LAST,false,,,
1981,San Diego,San Diego Padres,MLB,NL,NL West,,,LAST,false,,,
1982,San Diego,San Diego Padres,MLB,NL,NL West,,,,false,,,
1983,San Diego,San Diego Padres,MLB,NL,NL West,,,,false,,,
1984,San Diego,San Diego Padres,MLB,NL,NL West,,,FIRST,true,1,true,false
1985,San Diego,San Diego Padres,MLB,NL,NL West,,,,false,,,
1986,San Diego,San Diego Padres,MLB,NL,NL West,,,,false,,,
1987,San Diego,San Diego Padres,MLB,NL,NL West,,LAST,LAST,false,,,
1988,San Diego,San Diego Padres,MLB,NL,NL West,,,,false,,,
1989,San Diego,San Diego Padres,MLB,NL,NL West,,,,false,,,
1990,San Diego,San Diego Padres,MLB,NL,NL West,,,,false,,,
1991,San Diego,San Diego Padres,MLB,NL,NL West,,,,false,,,
1992,San Diego,San Diego Padres,MLB,NL,NL West,,,,false,,,
1993,San Diego,San Diego Padres,MLB,NL,NL West,,,LAST,false,,,
1994,San Diego,San Diego Padres,MLB,NL,NL West,LAST,LAST,LAST,,,,
1995,San Diego,San Diego Padres,MLB,NL,NL West,,,,false,,,
1996,San Diego,San Diego Padres,MLB,NL,NL West,,,FIRST,true,0,false,false
1997,San Diego,San Diego Padres,MLB,NL,NL West,,,LAST,false,,,
1998,San Diego,San Diego Padres,MLB,NL,NL West,,,FIRST,true,2,true,false
1999,San Diego,San Diego Padres,MLB,NL,NL West,,,,false,,,
2000,San Diego,San Diego Padres,MLB,NL,NL West,,,LAST,false,,,
2001,San Diego,San Diego Padres,MLB,NL,NL West,,,,false,,,
2002,San Diego,San Diego Padres,MLB,NL,NL West,,,LAST,false,,,
2003,San Diego,San Diego Padres,MLB,NL,NL West,,LAST,LAST,false,,,
2004,San Diego,San Diego Padres,MLB,NL,NL West,,,,false,,,
2005,San Diego,San Diego Padres,MLB,NL,NL West,,,FIRST,true,0,false,false
2006,San Diego,San Diego Padres,MLB,NL,NL West,,,FIRST,true,0,false,false
2007,San Diego,San Diego Padres,MLB,NL,NL West,,,,false,,,
2008,San Diego,San Diego Padres,MLB,NL,NL West,,,LAST,false,,,
2009,San Diego,San Diego Padres,MLB,NL,NL West,,,,false,,,
2010,San Diego,San Diego Padres,MLB,NL,NL West,,,,false,,,
2011,San Diego,San Diego Padres,MLB,NL,NL West,,,LAST,false,,,
2012,San Diego,San Diego Padres,MLB,NL,NL West,,,,false,,,
2013,San Diego,San Diego Padres,MLB,NL,NL West,,,,false,,,
2014,San Diego,San Diego Padres,MLB,NL,NL West,,,,false,,,
2015,San Diego,San Diego Padres,MLB,NL,NL West,,,,false,,,
2016,San Diego,San Diego Padres,MLB,NL,NL West,,LAST_TIED,LAST,false,,,
2017,San Diego,San Diego Padres,MLB,NL,NL West,,,,false,,,
2018,San Diego,San Diego Padres,MLB,NL,NL West,,,LAST,false,,,
2019,San Diego,San Diego Padres,MLB,NL,NL West,,,LAST,false,,,
2020,San Diego,San Diego Padres,MLB,NL,NL West,,,,true,1,false,false
2021,San Diego,San Diego Padres,MLB,NL,NL West,,,,false,,,
2022,San Diego,San Diego Padres,MLB,NL,NL West,,,,true,2,false,false
2023,San Diego,San Diego Padres,MLB,NL,NL West,,,,false,,,
2024,San Diego,San Diego Padres,MLB,NL,NL West,,,,true,1,false,false
