season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1903,New York,New York Giants,MLB,NL,,,,,false,,,
1904,New York,New York Giants,MLB,NL,,FIRST,FIRST,,,,,
1905,New York,New York Giants,MLB,NL,,FIRST,FIRST,,true,1,true,true
1906,New York,New York Giants,MLB,NL,,,,,false,,,
1907,New York,New York Giants,MLB,NL,,,,,false,,,
1908,New York,New York Giants,MLB,NL,,,,,false,,,
1909,New York,New York Giants,MLB,NL,,,,,false,,,
1910,New York,New York Giants,MLB,NL,,,,,false,,,
1911,New York,New York Giants,MLB,NL,,,FIRST,,true,0,true,false
1912,New York,New York Giants,MLB,NL,,,FIRST,,true,0,true,false
1913,New York,New York Giants,MLB,NL,,FIRST,FIRST,,true,0,true,false
1914,New York,New York Giants,MLB,NL,,,,,false,,,
1915,New York,New York Giants,MLB,NL,,,LAST,,false,,,
1916,New York,New York Giants,MLB,NL,,,,,false,,,
1917,New York,New York Giants,MLB,NL,,,FIRST,,true,0,true,false
1918,New York,New York Giants,MLB,NL,,,,,false,,,
1919,New York,New York Giants,MLB,NL,,,,,false,,,
1920,New York,New York Giants,MLB,NL,,,,,false,,,
1921,New York,New York Giants,MLB,NL,,,FIRST,,true,1,true,true
1922,New York,New York Giants,MLB,NL,,,FIRST,,true,1,true,true
1923,New York,New York Giants,MLB,NL,,,FIRST,,true,0,true,false
1924,New York,New York Giants,MLB,NL,,FIRST,FIRST,,true,0,true,false
1925,New York,New York Giants,MLB,NL,,,,,false,,,
1926,New York,New York Giants,MLB,NL,,,,,false,,,
1927,New York,New York Giants,MLB,NL,,,,,false,,,
1928,New York,New York Giants,MLB,NL,,,,,false,,,
1929,New York,New York Giants,MLB,NL,,,,,false,,,
1930,New York,New York Giants,MLB,NL,,,,,false,,,
1931,New York,New York Giants,MLB,NL,,,,,false,,,
1932,New York,New York Giants,MLB,NL,,,,,false,,,
1933,New York,New York Giants,MLB,NL,,,FIRST,,true,1,true,true
1934,New York,New York Giants,MLB,NL,,,,,false,,,
1935,New York,New York Giants,MLB,NL,,,,,false,,,
1936,New York,New York Giants,MLB,NL,,,FIRST,,true,0,true,false
1937,New York,New York Giants,MLB,NL,,,FIRST,,true,0,true,false
1938,New York,New York Giants,MLB,NL,,,,,false,,,
1939,New York,New York Giants,MLB,NL,,,,,false,,,
1940,New York,New York Giants,MLB,NL,,,,,false,,,
1941,New York,New York Giants,MLB,NL,,,,,false,,,
1942,New York,New York Giants,MLB,NL,,,,,false,,,
1943,New York,New York Giants,MLB,NL,,,LAST,,false,,,
1944,New York,New York Giants,MLB,NL,,,,,false,,,
1945,New York,New York Giants,MLB,NL,,,,,false,,,
1946,New York,New York Giants,MLB,NL,,,LAST,,false,,,
1947,New York,New York Giants,MLB,NL,,,,,false,,,
1948,New York,New York Giants,MLB,NL,,,,,false,,,
1949,New York,New York Giants,MLB,NL,,,,,false,,,
1950,New York,New York Giants,MLB,NL,,,,,false,,,
1951,New York,New York Giants,MLB,NL,,,FIRST,,true,0,true,false
1952,New York,New York Giants,MLB,NL,,,,,false,,,
1953,New York,New York Giants,MLB,NL,,,,,false,,,
1954,New York,New York Giants,MLB,NL,,,FIRST,,true,1,true,true
1955,New York,New York Giants,MLB,NL,,,,,false,,,
1956,New York,New York Giants,MLB,NL,,,,,false,,,
1957,New York,New York Giants,MLB,NL,,,,,false,,,
1958,San Francisco Bay,San Francisco Giants,MLB,NL,,,,,false,,,
