season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
2012,Montreal,Montreal Impact,MLS,East,,,,,false,,,
2013,Montreal,Montreal Impact,MLS,East,,,,,true,0,false,false
2014,Montreal,Montreal Impact,MLS,East,,LAST,LAST,,false,,,
2015,Montreal,Montreal Impact,MLS,East,,,,,true,1,false,false
2016,Montreal,Montreal Impact,MLS,East,,,,,true,2,false,false
2017,Montreal,Montreal Impact,MLS,East,,,,,false,,,
2018,Montreal,Montreal Impact,MLS,East,,,,,false,,,
2019,Montreal,Montreal Impact,MLS,East,,,,,false,,,
2020,Montreal,CF Montreal,MLS,East,,,,,true,0,false,false
2021,Montreal,CF Montreal,MLS,East,,,,,false,,,
2022,Montreal,CF Montreal,MLS,East,,,,,true,1,false,false
2023,Montreal,CF Montreal,MLS,East,,,,,false,,,
2024,Montreal,CF Montreal,MLS,East,,,,,true,0,false,false
