season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1998,Chicago,Chicago Fire,MLS,West,,,,,true,3,true,true
1999,Chicago,Chicago Fire,MLS,West,,,,,true,0,,
2000,Chicago,Chicago Fire,MLS,Central,,FIRST_TIED,FIRST_TIED,,true,2,true,
2001,Chicago,Chicago Fire,MLS,Central,,FIRST_TIED,FIRST_TIED,,true,1,,
2002,Chicago,Chicago Fire,MLS,East,,,,,true,0,,
2003,Chicago,Chicago Fire,MLS,East,,FIRST,FIRST,,true,2,true,
2004,Chicago,Chicago Fire,MLS,East,,LAST_TIED,LAST_TIED,,,,,
2005,Chicago,Chicago Fire,MLS,East,,,,,true,1,,
2006,Chicago,Chicago Fire,MLS,East,,,,,true,0,,
2007,Chicago,Chicago Fire,MLS,East,,,,,true,1,,
2008,Chicago,Chicago Fire,MLS,East,,,,,true,1,,
2009,Chicago,Chicago Fire,MLS,East,,,,,true,1,,
2010,Chicago,Chicago Fire,MLS,East,,,,,,,,
2011,Chicago,Chicago Fire,MLS,East,,,,,,,,
2012,Chicago,Chicago Fire,MLS,East,,,,,true,0,,
2013,Chicago,Chicago Fire,MLS,East,,,,,,,,
2014,Chicago,Chicago Fire,MLS,East,,,,,,,,
2015,Chicago,Chicago Fire,MLS,East,,LAST,LAST,,,,,
2016,Chicago,Chicago Fire,MLS,East,,LAST,LAST,,,,,
2017,Chicago,Chicago Fire,MLS,East,,,,,true,0,,
2018,Chicago,Chicago Fire,MLS,East,,,,,,,,
2019,Chicago,Chicago Fire,MLS,East,,,,,,,,
2020,Chicago,Chicago Fire,MLS,East,,,,,,,,
2021,Chicago,Chicago Fire,MLS,East,,,,,,,,
2022,Chicago,Chicago Fire,MLS,East,,,,,,,,
2023,Chicago,Chicago Fire,MLS,East,,,,,,,,
2024,Chicago,Chicago Fire,MLS,East,,,LAST,,,,,
