season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1996,Denver,Colorado Rapids,MLS,West,,LAST,LAST,,false,,,
1997,Denver,Colorado Rapids,MLS,West,,,,,true,2,true,false
1998,Denver,Colorado Rapids,MLS,West,,,,,true,0,false,false
1999,Denver,Colorado Rapids,MLS,West,,,,,true,0,false,false
2000,Denver,Colorado Rapids,MLS,West,,,,,true,0,false,false
2001,Denver,Colorado Rapids,MLS,West,,,LAST,,false,,,
2002,Denver,Colorado Rapids,MLS,West,,,,,true,1,false,false
2003,Denver,Colorado Rapids,MLS,West,,,,,true,0,false,false
2004,Denver,Colorado Rapids,MLS,West,,,,,true,0,false,false
2005,Denver,Colorado Rapids,MLS,West,,,,,true,1,false,false
2006,Denver,Colorado Rapids,MLS,West,,,,,true,1,false,false
2007,Denver,Colorado Rapids,MLS,West,,,,,false,,,
2008,Denver,Colorado Rapids,MLS,West,,,,,false,,,
2009,Denver,Colorado Rapids,MLS,West,,,,,false,,,
2010,Denver,Colorado Rapids,MLS,West,,,,,true,3,true,true
2011,Denver,Colorado Rapids,MLS,West,,,,,true,1,false,false
2012,Denver,Colorado Rapids,MLS,West,,,,,false,,,
2013,Denver,Colorado Rapids,MLS,West,,,,,true,0,false,false
2014,Denver,Colorado Rapids,MLS,West,,,,,false,,,
2015,Denver,Colorado Rapids,MLS,West,,,LAST,,false,,,
2016,Denver,Colorado Rapids,MLS,West,,,,,true,1,false,false
2017,Denver,Colorado Rapids,MLS,West,,,,,false,,,
2018,Denver,Colorado Rapids,MLS,West,,,,,false,,,
2019,Denver,Colorado Rapids,MLS,West,,,,,false,,,
2020,Denver,Colorado Rapids,MLS,West,,,,,true,0,false,false
2021,Denver,Colorado Rapids,MLS,West,,,FIRST,,true,0,false,false
2022,Denver,Colorado Rapids,MLS,West,,,,,false,,,
2023,Denver,Colorado Rapids,MLS,West,,,LAST,,false,,,
2024,Denver,Colorado Rapids,MLS,West,,,,,true,0,false,false
