season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1996,Columbus,Columbus Crew,MLS,East,,,,,true,0,,
1997,Columbus,Columbus Crew,MLS,East,,,,,true,1,,
1998,Columbus,Columbus Crew,MLS,East,,,,,true,1,,
1999,Columbus,Columbus Crew,MLS,East,,,,,true,1,,
2000,Columbus,Columbus Crew,MLS,Central,,,LAST,,,,,
2001,Columbus,Columbus Crew,MLS,Central,,,,,true,0,,
2002,Columbus,Columbus Crew,MLS,East,,,FIRST_TIED,,true,1,,
2003,Columbus,Columbus Crew,MLS,East,,,LAST,,,,,
2004,Columbus,Columbus Crew,MLS,East,,FIRST_TIED,FIRST,,true,0,,
2005,Columbus,Columbus Crew,MLS,East,,,LAST,,,,,
2006,Columbus,Columbus Crew,MLS,East,,LAST,LAST,,,,,
2007,Columbus,Columbus Crew,MLS,East,,,,,,,,
2008,Columbus,Columbus Crew,MLS,East,,FIRST,FIRST,,true,3,true,true
2009,Columbus,Columbus Crew,MLS,East,,FIRST,FIRST,,true,0,,
2010,Columbus,Columbus Crew,MLS,East,,,,,true,0,,
2011,Columbus,Columbus Crew,MLS,East,,,,,true,0,,
2012,Columbus,Columbus Crew,MLS,East,,,,,,,,
2013,Columbus,Columbus Crew,MLS,East,,,,,,,,
2014,Columbus,Columbus Crew,MLS,East,,,,,true,0,,
2015,Columbus,Columbus Crew,MLS,East,,,,,true,2,true,
2016,Columbus,Columbus Crew,MLS,East,,,,,,,,
2017,Columbus,Columbus Crew,MLS,East,,,,,true,2,,
2018,Columbus,Columbus Crew,MLS,East,,,,,true,1,,
2019,Columbus,Columbus Crew,MLS,East,,,,,,,,
2020,Columbus,Columbus Crew,MLS,East,,,,,true,4,true,true
2021,Columbus,Columbus Crew,MLS,East,,,,,,,,
2022,Columbus,Columbus Crew,MLS,East,,,,,,,,
2023,Columbus,Columbus Crew,MLS,East,,,,,true,4,true,true
