season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1996,Washington,DC United,MLS,East,,,,,true,3,true,true
1997,Washington,DC United,MLS,East,,FIRST,FIRST,,true,3,true,true
1998,Washington,DC United,MLS,East,,,FIRST,,true,2,true,false
1999,Washington,DC United,MLS,East,,FIRST,FIRST,,true,3,true,true
2000,Washington,DC United,MLS,East,,,LAST,,false,,,
2001,Washington,DC United,MLS,East,,,LAST,,false,,,
2002,Washington,DC United,MLS,East,,LAST,LAST,,false,,,
2003,Washington,DC United,MLS,East,,,,,true,0,false,false
2004,Washington,DC United,MLS,East,,,,,true,3,true,true
2005,Washington,DC United,MLS,East,,,,,true,0,false,false
2006,Washington,DC United,MLS,East,,FIRST,FIRST,,true,1,false,false
2007,Washington,DC United,MLS,East,,FIRST,FIRST,,true,0,false,false
2008,Washington,DC United,MLS,East,,,,,false,,,
2009,Washington,DC United,MLS,East,,,,,false,,,
2010,Washington,DC United,MLS,East,,LAST,LAST,,false,,,
2011,Washington,DC United,MLS,East,,,,,false,,,
2012,Washington,DC United,MLS,East,,,,,true,1,false,false
2013,Washington,DC United,MLS,East,,LAST,LAST,,false,,,
2014,Washington,DC United,MLS,East,,,FIRST,,true,0,false,false
2015,Washington,DC United,MLS,East,,,,,true,1,false,false
2016,Washington,DC United,MLS,East,,,,,true,0,false,false
2017,Washington,DC United,MLS,East,,LAST_TIED,LAST,,false,,,
2018,Washington,DC United,MLS,East,,,,,true,0,false,false
2019,Washington,DC United,MLS,East,,,,,true,0,false,false
2020,Washington,DC United,MLS,East,,,,,false,,,
2021,Washington,DC United,MLS,East,,,,,false,,,
2022,Washington,DC United,MLS,East,,LAST,LAST,,false,,,
2023,Washington,DC United,MLS,East,,,,,false,,,
2024,Washington,DC United,MLS,East,,,,,false,,,
