season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1996,Boston,New England Revolution,MLS,East,,,LAST,,,,,
1997,Boston,New England Revolution,MLS,East,,,,,true,0,,
1998,Boston,New England Revolution,MLS,East,,LAST,LAST,,,,,
1999,Boston,New England Revolution,MLS,East,,,,,,,,
2000,Boston,New England Revolution,MLS,East,,,,,true,0,,
2001,Boston,New England Revolution,MLS,East,,,,,,,,
2002,Boston,New England Revolution,MLS,East,,,FIRST_TIED,,true,2,true,
2003,Boston,New England Revolution,MLS,East,,,,,true,1,,
2004,Boston,New England Revolution,MLS,East,,LAST_TIED,LAST_TIED,,true,1,,
2005,Boston,New England Revolution,MLS,East,,,FIRST,,true,2,true,
2006,Boston,New England Revolution,MLS,East,,,,,true,2,true,
2007,Boston,New England Revolution,MLS,East,,,,,true,2,true,
2008,Boston,New England Revolution,MLS,East,,,,,true,0,,
2009,Boston,New England Revolution,MLS,East,,,,,true,0,,
2010,Boston,New England Revolution,MLS,East,,,,,,,,
2011,Boston,New England Revolution,MLS,East,,LAST_TIED,LAST,,,,,
2012,Boston,New England Revolution,MLS,East,,,,,,,,
2013,Boston,New England Revolution,MLS,East,,,,,true,0,,
2014,Boston,New England Revolution,MLS,East,,,,,true,2,true,
2015,Boston,New England Revolution,MLS,East,,,,,true,0,,
2016,Boston,New England Revolution,MLS,East,,,,,,,,
2017,Boston,New England Revolution,MLS,East,,,,,,,,
2018,Boston,New England Revolution,MLS,East,,,,,,,,
2019,Boston,New England Revolution,MLS,East,,,,,true,0,,
2020,Boston,New England Revolution,MLS,East,,,,,true,2,,
2021,Boston,New England Revolution,MLS,East,,FIRST,FIRST,,true,0,,
2022,Boston,New England Revolution,MLS,East,,,,,,,,
2023,Boston,New England Revolution,MLS,East,,,,,true,0,,
