season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
2010,Philadelphia,Philadelphia Union,MLS,East,,,,,false,,,
2011,Philadelphia,Philadelphia Union,MLS,East,,,,,true,0,false,false
2012,Philadelphia,Philadelphia Union,MLS,East,,,,,false,,,
2013,Philadelphia,Philadelphia Union,MLS,East,,,,,false,,,
2014,Philadelphia,Philadelphia Union,MLS,East,,,,,false,,,
2015,Philadelphia,Philadelphia Union,MLS,East,,,,,false,,,
2016,Philadelphia,Philadelphia Union,MLS,East,,,,,true,0,false,false
2017,Philadelphia,Philadelphia Union,MLS,East,,,,,false,,,
2018,Philadelphia,Philadelphia Union,MLS,East,,,,,true,0,false,false
2019,Philadelphia,Philadelphia Union,MLS,East,,,,,true,1,false,false
2020,Philadelphia,Philadelphia Union,MLS,East,,FIRST,FIRST,,true,0,false,false
2021,Philadelphia,Philadelphia Union,MLS,East,,,,,true,2,false,false
2022,Philadelphia,Philadelphia Union,MLS,East,,FIRST_TIED,FIRST,,true,2,true,false
2023,Philadelphia,Philadelphia Union,MLS,East,,,,,true,1,false,false
2024,Philadelphia,Philadelphia Union,MLS,East,,,,,false,,,
