season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
2011,Portland,Portland Timbers,MLS,West,,,,,false,,,
2012,Portland,Portland Timbers,MLS,West,,,,,false,,,
2013,Portland,Portland Timbers,MLS,West,,,FIRST,,true,1,false,false
2014,Portland,Portland Timbers,MLS,West,,,,,false,,,
2015,Portland,Portland Timbers,MLS,West,,,,,true,4,true,true
2016,Portland,Portland Timbers,MLS,West,,,,,false,,,
2017,Portland,Portland Timbers,MLS,West,,,FIRST_TIED,,true,0,false,false
2018,Portland,Portland Timbers,MLS,West,,,,,true,3,true,false
2019,Portland,Portland Timbers,MLS,West,,,,,true,0,false,false
2020,Portland,Portland Timbers,MLS,West,,,FIRST_TIED,,true,0,false,false
2021,Portland,Portland Timbers,MLS,West,,,,,true,3,true,false
2022,Portland,Portland Timbers,MLS,West,,,,,false,,,
2023,Portland,Portland Timbers,MLS,West,,,,,false,,,
2024,Portland,Portland Timbers,MLS,West,,,,,true,0,false,false
