season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
2005,Salt Lake City,Real Salt Lake,MLS,West,,,,,,,,
2006,Salt Lake City,Real Salt Lake,MLS,West,,,LAST,,,,,
2007,Salt Lake City,Real Salt Lake,MLS,West,,,LAST,,,,,
2008,Salt Lake City,Real Salt Lake,MLS,West,,,,,true,1,,
2009,Salt Lake City,Real Salt Lake,MLS,West,,,,,true,3,true,true
2010,Salt Lake City,Real Salt Lake,MLS,West,,,,,true,1,,
2011,Salt Lake City,Real Salt Lake,MLS,West,,,,,true,1,,
2012,Salt Lake City,Real Salt Lake,MLS,West,,,,,true,0,,
2013,Salt Lake City,Real Salt Lake,MLS,West,,,,,true,2,true,
2014,Salt Lake City,Real Salt Lake,MLS,West,,,,,true,0,,
2015,Salt Lake City,Real Salt Lake,MLS,West,,,,,,,,
2016,Salt Lake City,Real Salt Lake,MLS,West,,,,,true,0,,
2017,Salt Lake City,Real Salt Lake,MLS,West,,,,,,,,
2018,Salt Lake City,Real Salt Lake,MLS,West,,,,,true,1,,
2019,Salt Lake City,Real Salt Lake,MLS,West,,,,,true,1,,
2020,Salt Lake City,Real Salt Lake,MLS,West,,,,,,,,
2021,Salt Lake City,Real Salt Lake,MLS,West,,,,,true,2,,
2022,Salt Lake City,Real Salt Lake,MLS,West,,,,,true,0,,
2023,Salt Lake City,Real Salt Lake,MLS,West,,,,,true,0,,
