season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1996,New York,New York/New Jersey MetroStars,MLS,East,,,,,true,0,,
1997,New York,New York/New Jersey MetroStars,MLS,East,,,LAST,,,,,
1998,New York,MetroStars,MLS,East,,,,,true,0,,
1999,New York,MetroStars,MLS,East,,LAST,LAST,,,,,
2000,New York,MetroStars,MLS,East,,,FIRST,,true,1,,
2001,New York,MetroStars,MLS,East,,,,,true,0,,
2002,New York,MetroStars,MLS,East,,,,,,,,
2003,New York,MetroStars,MLS,East,,,,,true,0,,
2004,New York,MetroStars,MLS,East,,,,,true,0,,
2005,New York,MetroStars,MLS,East,,,,,true,0,,
2006,New York,New York Red Bulls,MLS,East,,,,,true,0,,
2007,New York,New York Red Bulls,MLS,East,,,,,true,0,,
2008,New York,New York Red Bulls,MLS,East,,,,,true,2,true,
2009,New York,New York Red Bulls,MLS,East,,LAST,LAST,,,,,
2010,New York,New York Red Bulls,MLS,East,,,FIRST,,true,0,,
2011,New York,New York Red Bulls,MLS,East,,,,,true,1,,
2012,New York,New York Red Bulls,MLS,East,,,,,true,0,,
2013,New York,New York Red Bulls,MLS,East,,FIRST,FIRST,,true,0,,
2014,New York,New York Red Bulls,MLS,East,,,,,true,2,,
2015,New York,New York Red Bulls,MLS,East,,FIRST_TIED,FIRST,,true,1,,
2016,New York,New York Red Bulls,MLS,East,,,FIRST,,true,0,,
2017,New York,New York Red Bulls,MLS,East,,,,,true,1,,
2018,New York,New York Red Bulls,MLS,East,,FIRST,FIRST,,true,1,,
2019,New York,New York Red Bulls,MLS,East,,,,,true,0,,
2020,New York,New York Red Bulls,MLS,East,,,,,true,0,,
2021,New York,New York Red Bulls,MLS,East,,,,,true,0,,
2022,New York,New York Red Bulls,MLS,East,,,,,true,0,,
2023,New York,New York Red Bulls,MLS,East,,,,,true,0,,
2024,New York,New York Red Bulls,MLS,East,,,,,true,3,true,
