season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
2007,Toronto,Toronto FC,MLS,East,,LAST,LAST,,false,,,
2008,Toronto,Toronto FC,MLS,East,,,LAST,,false,,,
2009,Toronto,Toronto FC,MLS,East,,,,,false,,,
2010,Toronto,Toronto FC,MLS,East,,,,,false,,,
2011,Toronto,Toronto FC,MLS,East,,,,,false,,,
2012,Toronto,Toronto FC,MLS,East,,LAST,LAST,,false,,,
2013,Toronto,Toronto FC,MLS,East,,,,,false,,,
2014,Toronto,Toronto FC,MLS,East,,,,,false,,,
2015,Toronto,Toronto FC,MLS,East,,,,,true,0,false,false
2016,Toronto,Toronto FC,MLS,East,,,,,true,3,true,false
2017,Toronto,Toronto FC,MLS,East,,FIRST,FIRST,,true,3,true,true
2018,Toronto,Toronto FC,MLS,East,,,,,false,,,
2019,Toronto,Toronto FC,MLS,East,,,,,true,3,true,false
2020,Toronto,Toronto FC,MLS,East,,,,,true,0,false,false
2021,Toronto,Toronto FC,MLS,East,,,,,false,,,
2022,Toronto,Toronto FC,MLS,East,,,,,false,,,
2023,Toronto,Toronto FC,MLS,East,,LAST,LAST,,false,,,
2024,Toronto,Toronto FC,MLS,East,,,,,false,,,
