season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
2011,Vancouver,Vancouver Whitecaps,MLS,West,,LAST_TIED,LAST,,false,,,
2012,Vancouver,Vancouver Whitecaps,MLS,West,,,,,true,0,false,false
2013,Vancouver,Vancouver Whitecaps,MLS,West,,,,,false,,,
2014,Vancouver,Vancouver Whitecaps,MLS,West,,,,,true,0,false,false
2015,Vancouver,Vancouver Whitecaps,MLS,West,,,,,true,0,false,false
2016,Vancouver,Vancouver Whitecaps,MLS,West,,,,,false,,,
2017,Vancouver,Vancouver Whitecaps,MLS,West,,,,,true,1,false,false
2018,Vancouver,Vancouver Whitecaps,MLS,West,,,,,false,,,
2019,Vancouver,Vancouver Whitecaps,MLS,West,,,LAST,,false,,,
2020,Vancouver,Vancouver Whitecaps,MLS,West,,,,,false,,,
2021,Vancouver,Vancouver Whitecaps,MLS,West,,,,,true,0,false,false
2022,Vancouver,Vancouver Whitecaps,MLS,West,,,,,false,,,
2023,Vancouver,Vancouver Whitecaps,MLS,West,,,,,true,0,false,false
2024,Vancouver,Vancouver Whitecaps,MLS,West,,,,,true,1,false,false
