franchise_id,season_id,metro_id,team_name,league_id,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
162,278,58,Tampa Bay Mutiny,6,East,,FIRST,FIRST,,true,1,false,false
140,278,63,DC United,6,East,,,,,true,3,true,true
156,278,35,New York/New Jersey MetroStars,6,East,,,,,true,0,false,false
139,278,12,Columbus Crew,6,East,,,,,true,0,false,false
150,278,5,New England Revolution,6,East,,,LAST,,false,,,
145,278,27,LA Galaxy,6,West,,,FIRST,,true,2,true,false
142,278,13,Dallas Burn,6,West,,,,,true,0,false,false
160,278,25,Kansas City Wiz,6,West,,,,,true,1,false,false
158,278,52,San Jose Clash,6,West,,,,,true,0,false,false
138,278,15,Colorado Rapids,6,West,,LAST,LAST,,false,,,
140,284,63,DC United,6,East,,FIRST,FIRST,,true,3,true,true
162,284,58,Tampa Bay Mutiny,6,East,,,,,true,0,false,false
139,284,12,Columbus Crew,6,East,,,,,true,1,false,false
150,284,5,New England Revolution,6,East,,,,,true,0,false,false
156,284,35,New York/New Jersey MetroStars,6,East,,,LAST,,false,,,
160,284,25,Kansas City Wizards,6,West,,,FIRST,,true,0,false,false
145,284,27,LA Galaxy,6,West,,,,,true,0,false,false
142,284,13,Dallas Burn,6,West,,,,,true,1,false,false
138,284,15,Colorado Rapids,6,West,,,,,true,2,true,false
158,284,52,San Jose Clash,6,West,,LAST,LAST,,false,,,
140,290,63,DC United,6,East,,,FIRST,,true,2,true,false
139,290,12,Columbus Crew,6,East,,,,,true,1,false,false
156,290,35,MetroStars,6,East,,,,,true,0,false,false
147,290,29,Miami Fusion,6,East,,,,,true,0,false,false
162,290,58,Tampa Bay Mutiny,6,East,,,,,false,,,
150,290,5,New England Revolution,6,East,,LAST,LAST,,false,,,
145,290,27,LA Galaxy,6,West,,FIRST,FIRST,,true,1,false,false
136,290,9,Chicago Fire,6,West,,,,,true,3,true,true
138,290,15,Colorado Rapids,6,West,,,,,true,0,false,false
142,290,13,Dallas Burn,6,West,,,,,true,0,false,false
158,290,52,San Jose Clash,6,West,,,,,false,,,
160,290,25,Kansas City Wizards,6,West,,,LAST,,false,,,
140,296,63,DC United,6,East,,FIRST,FIRST,,true,3,true,true
139,296,12,Columbus Crew,6,East,,,,,true,1,false,false
162,296,58,Tampa Bay Mutiny,6,East,,,,,true,0,false,false
147,296,29,Miami Fusion,6,East,,,,,true,0,false,false
150,296,5,New England Revolution,6,East,,,,,false,,,
156,296,35,MetroStars,6,East,,LAST,LAST,,false,,,
145,296,27,LA Galaxy,6,West,,,FIRST,,true,2,true,false
142,296,13,Dallas Burn,6,West,,,,,true,1,false,false
136,296,9,Chicago Fire,6,West,,,,,true,0,false,false
138,296,15,Colorado Rapids,6,West,,,,,true,0,false,false
158,296,52,San Jose Clash,6,West,,,,,false,,,
160,296,25,Kansas City Wizards,6,West,,,LAST,,false,,,
156,302,35,MetroStars,6,East,,,FIRST,,true,1,false,false
150,302,5,New England Revolution,6,East,,,,,true,0,false,false
147,302,29,Miami Fusion,6,East,,,,,false,,,
140,302,63,DC United,6,East,,,LAST,,false,,,
136,302,9,Chicago Fire,6,Central,,FIRST_TIED,FIRST,,true,2,true,false
162,302,58,Tampa Bay Mutiny,6,Central,,,,,true,0,false,false
142,302,13,Dallas Burn,6,Central,,,,,true,0,false,false
139,302,12,Columbus Crew,6,Central,,,LAST,,false,,,
160,302,25,Kansas City Wizards,6,West,,FIRST_TIED,FIRST,,true,3,true,true
145,302,27,LA Galaxy,6,West,,,,,true,1,false,false
138,302,15,Colorado Rapids,6,West,,,,,true,0,false,false
158,302,52,San Jose Earthquakes,6,West,,LAST,LAST,,false,,,
147,308,29,Miami Fusion,6,East,,FIRST_TIED,FIRST,,true,1,false,false
156,308,35,MetroStars,6,East,,,,,true,0,false,false
150,308,5,New England Revolution,6,East,,,,,false,,,
140,308,63,DC United,6,East,,,LAST,,false,,,
136,308,9,Chicago Fire,6,Central,,FIRST_TIED,FIRST,,true,1,false,false
139,308,12,Columbus Crew,6,Central,,,,,true,0,false,false
142,308,13,Dallas Burn,6,Central,,,,,true,0,false,false
162,308,58,Tampa Bay Mutiny,6,Central,,LAST,LAST,,false,,,
145,308,27,LA Galaxy,6,West,,,FIRST,,true,2,true,false
158,308,52,San Jose Earthquakes,6,West,,,,,true,3,true,true
160,308,25,Kansas City Wizards,6,West,,,,,true,0,false,false
138,308,15,Colorado Rapids,6,West,,,LAST,,false,,,
150,314,5,New England Revolution,6,East,,,FIRST_TIED,,true,2,true,false
139,314,12,Columbus Crew,6,East,,,FIRST_TIED,,true,1,false,false
136,314,9,Chicago Fire,6,East,,,,,true,0,false,false
156,314,35,MetroStars,6,East,,,,,false,,,
140,314,63,DC United,6,East,,LAST,LAST,,false,,,
145,314,27,LA Galaxy,6,West,,FIRST,FIRST,,true,3,true,true
158,314,52,San Jose Earthquakes,6,West,,,,,true,0,false,false
142,314,13,Dallas Burn,6,West,,,,,true,0,false,false
138,314,15,Colorado Rapids,6,West,,,,,true,1,false,false
160,314,25,Kansas City Wizards,6,West,,,LAST,,true,0,false,false
136,320,9,Chicago Fire,6,East,,FIRST,FIRST,,true,2,true,false
150,320,5,New England Revolution,6,East,,,,,true,1,false,false
156,320,35,MetroStars,6,East,,,,,true,0,false,false
140,320,63,DC United,6,East,,,,,true,0,false,false
139,320,12,Columbus Crew,6,East,,,LAST,,false,,,
158,320,52,San Jose Earthquakes,6,West,,,FIRST,,true,3,true,true
160,320,25,Kansas City Wizards,6,West,,,,,true,1,false,false
138,320,15,Colorado Rapids,6,West,,,,,true,0,false,false
145,320,27,LA Galaxy,6,West,,,,,true,0,false,false
142,320,13,Dallas Burn,6,West,,LAST,LAST,,false,,,
139,326,12,Columbus Crew,6,East,,FIRST_TIED,FIRST,,true,0,false,false
140,326,63,DC United,6,East,,,,,true,3,true,true
156,326,35,MetroStars,6,East,,,,,true,0,false,false
150,326,5,New England Revolution,6,East,,LAST_TIED,LAST_TIED,,true,1,false,false
136,326,9,Chicago Fire,6,East,,LAST_TIED,LAST_TIED,,false,,,
160,326,25,Kansas City Wizards,6,West,,FIRST_TIED,FIRST,,true,2,true,false
