id,name,start_year,end_year,league_id,total_major_divisions,total_minor_divisions,postseason_rounds
278,1996 MLS Season,1996,1996,6,2,0,3
284,1997 MLS Season,1997,1997,6,2,0,3
290,1998 MLS Season,1998,1998,6,2,0,3
296,1999 MLS Season,1999,1999,6,2,0,3
302,2000 MLS Season,2000,2000,6,3,0,3
308,2001 MLS Season,2001,2001,6,3,0,3
314,2002 MLS Season,2002,2002,6,2,0,3
320,2003 MLS Season,2003,2003,6,2,0,3
326,2004 MLS Season,2004,2004,6,2,0,3
331,2005 MLS Season,2005,2005,6,2,0,3
337,2006 MLS Season,2006,2006,6,2,0,3
343,2007 MLS Season,2007,2007,6,2,0,3
349,2008 MLS Season,2008,2008,6,2,0,3
355,2009 MLS Season,2009,2009,6,2,0,3
361,2010 MLS Season,2010,2010,6,2,0,3
367,2011 MLS Season,2011,2011,6,2,0,4
373,2012 MLS Season,2012,2012,6,2,0,4
379,2013 MLS Season,2013,2013,6,2,0,4
385,2014 MLS Season,2014,2014,6,2,0,4
391,2015 MLS Season,2015,2015,6,2,0,4
397,2016 MLS Season,2016,2016,6,2,0,4
403,2017 MLS Season,2017,2017,6,2,0,4
409,2018 MLS Season,2018,2018,6,2,0,4
415,2019 MLS Season,2019,2019,6,2,0,4
421,2020 MLS Season,2020,2020,6,2,0,5
427,2021 MLS Season,2021,2021,6,2,0,4
433,2022 MLS Season,2022,2022,6,2,0,4
439,2023 MLS Season,2023,2023,6,2,0,5
445,2024 MLS Season,2024,2024,6,2,0,5
451,2025 MLS Season,2025,2025,6,2,0,5
