franchise_id,season_id,metro_id,team_name,league_id,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
72,80,63,Washington Capitols,3,Eastern,,FIRST,FIRST,,true,0,false,false
45,80,39,Philadelphia Warriors,3,Eastern,,,,,true,3,true,true
57,80,35,New York Knicks,3,Eastern,,,,,true,1,false,false
64,80,44,Providence Steamrollers,3,Eastern,,,,,false,,,
34,80,5,Boston Celtics,3,Eastern,,,LAST_TIED,,false,,,
69,80,59,Toronto Huskies,3,Eastern,,,LAST_TIED,,false,,,
38,80,9,Chicago Stags,3,Western,,,FIRST,,true,1,true,false
68,80,56,St. Louis Bombers,3,Western,,,,,true,0,false,false
40,80,11,Cleveland Rebels,3,Western,,,,,true,0,false,false
74,80,16,Detroit Falcons,3,Western,,,,,false,,,
62,80,41,Pittsburgh Ironmen,3,Western,,LAST,LAST,,false,,,
45,84,39,Philadelphia Warriors,3,Eastern,,,FIRST,,true,1,true,false
57,84,35,New York Knicks,3,Eastern,,,,,true,0,false,false
34,84,5,Boston Celtics,3,Eastern,,,,,true,0,false,false
64,84,44,Providence Steamrollers,3,Eastern,,LAST,LAST,,false,,,
68,84,56,St. Louis Bombers,3,Western,,FIRST,FIRST,,true,0,false,false
33,84,4,Baltimore Bullets,3,Western,,,LAST_TIED,,true,3,true,true
38,84,9,Chicago Stags,3,Western,,,LAST_TIED,,true,1,false,false
72,84,63,Washington Capitols,3,Western,,,LAST_TIED,,false,,,
72,88,63,Washington Capitols,3,Eastern,,,FIRST,,true,2,true,false
57,88,35,New York Knicks,3,Eastern,,,,,true,1,false,false
33,88,4,Baltimore Bullets,3,Eastern,,,,,true,0,false,false
45,88,39,Philadelphia Warriors,3,Eastern,,,,,true,0,false,false
34,88,5,Boston Celtics,3,Eastern,,,,,false,,,
64,88,44,Providence Steamrollers,3,Eastern,,LAST,LAST,,false,,,
65,88,47,Rochester Royals,3,Western,,FIRST,FIRST,,true,1,false,false
51,88,31,Minneapolis Lakers,3,Western,,,,,true,3,true,true
