id,name,start_year,end_year,league_id,total_major_divisions,total_minor_divisions,postseason_rounds
80,1946-47 BAA Season,1946,1947,3,2,0,3
84,1947-48 BAA Season,1947,1948,3,2,0,3
88,1948-49 BAA Season,1948,1949,3,2,0,3
92,1949-50 NBA Season,1949,1950,3,3,0,4
96,1950-51 NBA Season,1950,1951,3,2,0,3
100,1951-52 NBA Season,1951,1952,3,2,0,3
104,1952-53 NBA Season,1952,1953,3,2,0,3
108,1953-54 NBA Season,1953,1954,3,2,0,3
112,1954-55 NBA Season,1954,1955,3,2,0,3
116,1955-56 NBA Season,1955,1956,3,2,0,3
120,1956-57 NBA Season,1956,1957,3,2,0,3
124,1957-58 NBA Season,1957,1958,3,2,0,3
128,1958-59 NBA Season,1958,1959,3,2,0,3
132,1959-60 NBA Season,1959,1960,3,2,0,3
136,1960-61 NBA Season,1960,1961,3,2,0,3
140,1961-62 NBA Season,1961,1962,3,2,0,3
144,1962-63 NBA Season,1962,1963,3,2,0,3
148,1963-64 NBA Season,1963,1964,3,2,0,3
152,1964-65 NBA Season,1964,1965,3,2,0,3
156,1965-66 NBA Season,1965,1966,3,2,0,3
160,1966-67 NBA Season,1966,1967,3,2,0,3
164,1967-68 NBA Season,1967,1968,3,2,0,3
168,1968-69 NBA Season,1968,1969,3,2,0,3
172,1969-70 NBA Season,1969,1970,3,2,0,3
176,1970-71 NBA Season,1970,1971,3,2,4,3
180,1971-72 NBA Season,1971,1972,3,2,4,3
184,1972-73 NBA Season,1972,1973,3,2,4,3
188,1973-74 NBA Season,1973,1974,3,2,4,3
192,1974-75 NBA Season,1974,1975,3,2,4,4
196,1975-76 NBA Season,1975,1976,3,2,4,4
200,1976-77 NBA Season,1976,1977,3,2,4,4
204,1977-78 NBA Season,1977,1978,3,2,4,4
208,1978-79 NBA Season,1978,1979,3,2,4,4
212,1979-80 NBA Season,1979,1980,3,2,4,4
216,1980-81 NBA Season,1980,1981,3,2,4,4
220,1981-82 NBA Season,1981,1982,3,2,4,4
224,1982-83 NBA Season,1982,1983,3,2,4,4
228,1983-84 NBA Season,1983,1984,3,2,4,4
232,1984-85 NBA Season,1984,1985,3,2,4,4
236,1985-86 NBA Season,1985,1986,3,2,4,4
240,1986-87 NBA Season,1986,1987,3,2,4,4
244,1987-88 NBA Season,1987,1988,3,2,4,4
248,1988-89 NBA Season,1988,1989,3,2,4,4
252,1989-90 NBA Season,1989,1990,3,2,4,4
256,1990-91 NBA Season,1990,1991,3,2,4,4
260,1991-92 NBA Season,1991,1992,3,2,4,4
264,1992-93 NBA Season,1992,1993,3,2,4,4
268,1993-94 NBA Season,1993,1994,3,2,4,4
272,1994-95 NBA Season,1994,1995,3,2,4,4
276,1995-96 NBA Season,1995,1996,3,2,4,4
281,1996-97 NBA Season,1996,1997,3,2,4,4
287,1997-98 NBA Season,1997,1998,3,2,4,4
293,1998-99 NBA Season,1998,1999,3,2,4,4
299,1999-00 NBA Season,1999,2000,3,2,4,4
305,2000-01 NBA Season,2000,2001,3,2,4,4
311,2001-02 NBA Season,2001,2002,3,2,4,4
317,2002-03 NBA Season,2002,2003,3,2,4,4
323,2003-04 NBA Season,2003,2004,3,2,4,4
328,2004-05 NBA Season,2004,2005,3,2,6,4
334,2005-06 NBA Season,2005,2006,3,2,6,4
340,2006-07 NBA Season,2006,2007,3,2,6,4
346,2007-08 NBA Season,2007,2008,3,2,6,4
352,2008-09 NBA Season,2008,2009,3,2,6,4
358,2009-10 NBA Season,2009,2010,3,2,6,4
364,2010-11 NBA Season,2010,2011,3,2,6,4
370,2011-12 NBA Season,2011,2012,3,2,6,4
376,2012-13 NBA Season,2012,2013,3,2,6,4
382,2013-14 NBA Season,2013,2014,3,2,6,4
388,2014-15 NBA Season,2014,2015,3,2,6,4
394,2015-16 NBA Season,2015,2016,3,2,6,4
400,2016-17 NBA Season,2016,2017,3,2,6,4
406,2017-18 NBA Season,2017,2018,3,2,6,4
412,2018-19 NBA Season,2018,2019,3,2,6,4
418,2019-20 NBA Season,2019,2020,3,2,6,4
424,2020-21 NBA Season,2020,2021,3,2,6,4
430,2021-22 NBA Season,2021,2022,3,2,6,4
436,2022-23 NBA Season,2022,2023,3,2,6,4
442,2023-24 NBA Season,2023,2024,3,2,6,4
448,2024-25 NBA Season,2024,2025,3,2,6,4
