season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1946,Boston,Boston Celtics,NBA,Eastern,,,,,false,,,
1947,Boston,Boston Celtics,NBA,Eastern,,,,,true,0,false,false
1948,Boston,Boston Celtics,NBA,Eastern,,,,,false,,,
1949,Boston,Boston Celtics,NBA,Eastern,,,LAST,,false,,,
1950,Boston,Boston Celtics,NBA,Eastern,,,,,true,0,false,false
1951,Boston,Boston Celtics,NBA,Eastern,,,,,true,0,false,false
1952,Boston,Boston Celtics,NBA,Eastern,,,,,true,1,false,false
1953,Boston,Boston Celtics,NBA,Eastern,,,,,true,1,false,false
1954,Boston,Boston Celtics,NBA,Eastern,,,,,true,1,false,false
1955,Boston,Boston Celtics,NBA,Eastern,,,,,true,0,false,false
1956,Boston,Boston Celtics,NBA,Eastern,,FIRST,FIRST,,true,2,true,true
1957,Boston,Boston Celtics,NBA,Eastern,,FIRST,FIRST,,true,1,true,false
1958,Boston,Boston Celtics,NBA,Eastern,,FIRST,FIRST,,true,2,true,true
1959,Boston,Boston Celtics,NBA,Eastern,,FIRST,FIRST,,true,2,true,true
1960,Boston,Boston Celtics,NBA,Eastern,,FIRST,FIRST,,true,2,true,true
1961,Boston,Boston Celtics,NBA,Eastern,,FIRST,FIRST,,true,2,true,true
1962,Boston,Boston Celtics,NBA,Eastern,,FIRST,FIRST,,true,2,true,true
1963,Boston,Boston Celtics,NBA,Eastern,,FIRST,FIRST,,true,2,true,true
1964,Boston,Boston Celtics,NBA,Eastern,,FIRST,FIRST,,true,2,true,true
1965,Boston,Boston Celtics,NBA,Eastern,,,,,true,3,true,true
1966,Boston,Boston Celtics,NBA,Eastern,,,,,true,1,false,false
1967,Boston,Boston Celtics,NBA,Eastern,,,,,true,3,true,true
1968,Boston,Boston Celtics,NBA,Eastern,,,,,true,3,true,true
1969,Boston,Boston Celtics,NBA,Eastern,,,,,false,,,
1970,Boston,Boston Celtics,NBA,Eastern,Atlantic,,,,false,,,
1971,Boston,Boston Celtics,NBA,Eastern,Atlantic,,FIRST,FIRST,true,1,false,false
1972,Boston,Boston Celtics,NBA,Eastern,Atlantic,FIRST,FIRST,FIRST,true,1,false,false
1973,Boston,Boston Celtics,NBA,Eastern,Atlantic,,FIRST,FIRST,true,3,true,true
1974,Boston,Boston Celtics,NBA,Eastern,Atlantic,FIRST_TIED,FIRST_TIED,FIRST,true,1,false,false
1975,Boston,Boston Celtics,NBA,Eastern,Atlantic,,FIRST,FIRST,true,3,true,true
1976,Boston,Boston Celtics,NBA,Eastern,Atlantic,,,,true,1,false,false
1977,Boston,Boston Celtics,NBA,Eastern,Atlantic,,,,false,,,
1978,Boston,Boston Celtics,NBA,Eastern,Atlantic,,,LAST,false,,,
1979,Boston,Boston Celtics,NBA,Eastern,Atlantic,FIRST,FIRST,FIRST,true,1,false,false
1980,Boston,Boston Celtics,NBA,Eastern,Atlantic,FIRST,FIRST,FIRST,true,3,true,true
1981,Boston,Boston Celtics,NBA,Eastern,Atlantic,FIRST,FIRST,FIRST,true,1,false,false
1982,Boston,Boston Celtics,NBA,Eastern,Atlantic,,,,true,1,false,false
1983,Boston,Boston Celtics,NBA,Eastern,Atlantic,FIRST,FIRST,FIRST,true,4,true,true
1984,Boston,Boston Celtics,NBA,Eastern,Atlantic,FIRST,FIRST,FIRST,true,3,true,false
1985,Boston,Boston Celtics,NBA,Eastern,Atlantic,FIRST,FIRST,FIRST,true,4,true,true
1986,Boston,Boston Celtics,NBA,Eastern,Atlantic,,FIRST,FIRST,true,3,true,false
