season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1970,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,LAST,LAST,LAST,false,,,
1971,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,LAST,false,,,
1972,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,LAST,false,,,
1973,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,LAST,false,,,
1974,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,false,,,
1975,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,FIRST,true,1,false,false
1976,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,true,0,false,false
1977,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,true,0,false,false
1978,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,false,,,
1979,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,false,,,
1980,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,false,,,
1981,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,LAST,LAST,LAST,false,,,
1982,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,false,,,
1983,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,false,,,
1984,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,true,0,false,false
1985,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,false,,,
1986,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,LAST,false,,,
1987,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,true,0,false,false
1988,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,true,0,false,false
1989,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,true,0,false,false
1990,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,false,,,
1991,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,true,2,false,false
1992,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,true,1,false,false
1993,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,true,0,false,false
1994,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,true,0,false,false
1995,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,true,0,false,false
1996,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,false,,,
1997,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,true,0,false,false
1998,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,false,,,
1999,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,false,,,
2000,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,false,,,
2001,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,false,,,
2002,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,LAST_TIED,LAST,LAST,false,,,
2003,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,false,,,
2004,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,false,,,
2005,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,true,1,false,false
2006,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,true,3,true,false
2007,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,true,1,false,false
2008,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,FIRST,FIRST,FIRST,true,2,false,false
2009,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,FIRST,FIRST,FIRST,true,1,false,false
2010,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,LAST,LAST,false,,,
2011,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,LAST,false,,,
2012,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,LAST,false,,,
2013,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,false,,,
2014,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,FIRST,true,3,true,false
2015,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,FIRST,FIRST,true,4,true,true
2016,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,FIRST,true,3,true,false
2017,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,FIRST,true,3,true,false
2018,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,LAST,false,,,
2019,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,LAST,LAST,false,,,
2020,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,false,,,
2021,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,false,,,
2022,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,true,0,false,false
2023,Cleveland,Cleveland Cavaliers,NBA,Eastern,Central,,,,true,1,false,false
