season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1976,Indianapolis,Indiana Pacers,NBA,Western,Midwest,,,,false,,,
1977,Indianapolis,Indiana Pacers,NBA,Western,Midwest,,LAST_TIED,LAST_TIED,false,,,
1978,Indianapolis,Indiana Pacers,NBA,Western,Midwest,,,,false,,,
1979,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,false,,,
1980,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,true,0,false,false
1981,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,false,,,
1982,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,LAST,LAST,false,,,
1983,Indianapolis,Indiana Pacers,NBA,Eastern,Central,LAST,LAST,LAST,false,,,
1984,Indianapolis,Indiana Pacers,NBA,Eastern,Central,LAST_TIED,LAST,LAST,false,,,
1985,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,LAST,false,,,
1986,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,true,0,false,false
1987,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,LAST,false,,,
1988,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,LAST,false,,,
1989,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,true,0,false,false
1990,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,true,0,false,false
1991,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,true,0,false,false
1992,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,true,0,false,false
1993,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,true,2,false,false
1994,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,FIRST,true,2,false,false
1995,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,true,0,false,false
1996,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,false,,,
1997,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,true,2,false,false
1998,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,FIRST_TIED,FIRST,true,2,false,false
1999,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,FIRST,FIRST,true,3,true,false
2000,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,true,0,false,false
2001,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,true,0,false,false
2002,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,true,0,false,false
2003,Indianapolis,Indiana Pacers,NBA,Eastern,Central,FIRST,FIRST,FIRST,true,2,false,false
2004,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,true,1,false,false
2005,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,true,0,false,false
2006,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,false,,,
2007,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,false,,,
2008,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,false,,,
2009,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,false,,,
2010,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,true,0,false,false
2011,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,true,1,false,false
2012,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,FIRST,true,2,false,false
2013,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,FIRST,FIRST,true,2,false,false
2014,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,false,,,
2015,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,true,0,false,false
2016,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,true,0,false,false
2017,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,true,0,false,false
2018,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,true,0,false,false
2019,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,true,0,false,false
2020,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,false,,,
2021,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,false,,,
2022,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,false,,,
2023,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,true,2,false,false
2024,Indianapolis,Indiana Pacers,NBA,Eastern,Central,,,,true,3,true,false
