season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1988,Miami,Miami Heat,NBA,Western,Midwest,LAST,LAST,LAST,false,,,
1989,Miami,Miami Heat,NBA,Eastern,Atlantic,,,,false,,,
1990,Miami,Miami Heat,NBA,Eastern,Atlantic,,LAST,LAST,false,,,
1991,Miami,Miami Heat,NBA,Eastern,Atlantic,,,,true,0,false,false
1992,Miami,Miami Heat,NBA,Eastern,Atlantic,,,,false,,,
1993,Miami,Miami Heat,NBA,Eastern,Atlantic,,,,true,0,false,false
1994,Miami,Miami Heat,NBA,Eastern,Atlantic,,,,false,,,
1995,Miami,Miami Heat,NBA,Eastern,Atlantic,,,,true,0,false,false
1996,Miami,Miami Heat,NBA,Eastern,Atlantic,,,FIRST,true,2,false,false
1997,Miami,Miami Heat,NBA,Eastern,Atlantic,,,FIRST,true,0,false,false
1998,Miami,Miami Heat,NBA,Eastern,Atlantic,,FIRST_TIED,FIRST_TIED,true,0,false,false
1999,Miami,Miami Heat,NBA,Eastern,Atlantic,,,FIRST,true,1,false,false
2000,Miami,Miami Heat,NBA,Eastern,Atlantic,,,,true,0,false,false
2001,Miami,Miami Heat,NBA,Eastern,Atlantic,,,,false,,,
2002,Miami,Miami Heat,NBA,Eastern,Atlantic,,,LAST,false,,,
2003,Miami,Miami Heat,NBA,Eastern,Atlantic,,,,true,1,false,false
2004,Miami,Miami Heat,NBA,Eastern,Southeast,,FIRST,FIRST,true,2,false,false
2005,Miami,Miami Heat,NBA,Eastern,Southeast,,,FIRST,true,4,true,true
2006,Miami,Miami Heat,NBA,Eastern,Southeast,,,FIRST,true,0,false,false
2007,Miami,Miami Heat,NBA,Eastern,Southeast,LAST,LAST,LAST,false,,,
2008,Miami,Miami Heat,NBA,Eastern,Southeast,,,,true,0,false,false
2009,Miami,Miami Heat,NBA,Eastern,Southeast,,,,true,0,false,false
2010,Miami,Miami Heat,NBA,Eastern,Southeast,,,FIRST,true,3,true,false
2011,Miami,Miami Heat,NBA,Eastern,Southeast,,,FIRST,true,4,true,true
2012,Miami,Miami Heat,NBA,Eastern,Southeast,FIRST,FIRST,FIRST,true,4,true,true
2013,Miami,Miami Heat,NBA,Eastern,Southeast,,,FIRST,true,3,true,false
2014,Miami,Miami Heat,NBA,Eastern,Southeast,,,,false,,,
2015,Miami,Miami Heat,NBA,Eastern,Southeast,,,FIRST_TIED,true,1,false,false
2016,Miami,Miami Heat,NBA,Eastern,Southeast,,,,false,,,
2017,Miami,Miami Heat,NBA,Eastern,Southeast,,,FIRST,true,0,false,false
2018,Miami,Miami Heat,NBA,Eastern,Southeast,,,,false,,,
2019,Miami,Miami Heat,NBA,Eastern,Southeast,,,FIRST,true,3,true,false
2020,Miami,Miami Heat,NBA,Eastern,Southeast,,,,true,0,false,false
2021,Miami,Miami Heat,NBA,Eastern,Southeast,,FIRST,FIRST,true,2,false,false
2022,Miami,Miami Heat,NBA,Eastern,Southeast,,,FIRST,true,3,true,false
2023,Miami,Miami Heat,NBA,Eastern,Southeast,,,,true,0,false,false
2024,Miami,Miami Heat,NBA,Eastern,Southeast,,,,true,0,false,false
