season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1968,Milwaukee,Milwaukee Bucks,NBA,Eastern,,,LAST,,false,,,
1969,Milwaukee,Milwaukee Bucks,NBA,Eastern,,,,,true,1,false,false
1970,Milwaukee,Milwaukee Bucks,NBA,Western,Midwest,FIRST,FIRST,FIRST,true,3,true,true
1971,Milwaukee,Milwaukee Bucks,NBA,Western,Midwest,,,FIRST,true,1,false,false
1972,Milwaukee,Milwaukee Bucks,NBA,Western,Midwest,,FIRST_TIED,FIRST,true,0,false,false
1973,Milwaukee,Milwaukee Bucks,NBA,Western,Midwest,FIRST,FIRST,FIRST,true,2,true,false
1974,Milwaukee,Milwaukee Bucks,NBA,Western,Midwest,,,LAST,false,,,
1975,Milwaukee,Milwaukee Bucks,NBA,Western,Midwest,,,FIRST,true,0,false,false
1976,Milwaukee,Milwaukee Bucks,NBA,Western,Midwest,,LAST,LAST,false,,,
1977,Milwaukee,Milwaukee Bucks,NBA,Western,Midwest,,,,true,1,false,false
1978,Milwaukee,Milwaukee Bucks,NBA,Western,Midwest,,,,false,,,
1979,Milwaukee,Milwaukee Bucks,NBA,Western,Midwest,,,FIRST,true,0,false,false
1980,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,FIRST,true,0,false,false
1981,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,FIRST,true,0,false,false
1982,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,FIRST,true,1,false,false
1983,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,FIRST,true,2,false,false
1984,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,FIRST,true,1,false,false
1985,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,FIRST,true,2,false,false
1986,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,,true,1,false,false
1987,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,,true,0,false,false
1988,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,,true,1,false,false
1989,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,,true,0,false,false
1990,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,,true,0,false,false
1991,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,LAST_TIED,false,,,
1992,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,LAST,false,,,
1993,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,LAST_TIED,LAST_TIED,false,,,
1994,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,,false,,,
1995,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,,false,,,
1996,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,,false,,,
1997,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,,false,,,
1998,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,,true,0,false,false
1999,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,,true,0,false,false
2000,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,FIRST,true,2,false,false
2001,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,,false,,,
2002,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,,true,0,false,false
2003,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,,true,0,false,false
2004,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,LAST,false,,,
2005,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,LAST,true,0,false,false
2006,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,LAST,false,,,
2007,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,LAST,false,,,
2008,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,LAST,false,,,
2009,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,,true,0,false,false
2010,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,,false,,,
2011,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,,false,,,
2012,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,,true,0,false,false
2013,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,LAST,LAST,LAST,false,,,
2014,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,,true,0,false,false
2015,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,LAST,false,,,
2016,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,,true,0,false,false
2017,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,,true,0,false,false
2018,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,FIRST,FIRST,FIRST,true,2,false,false
2019,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,FIRST,FIRST,FIRST,true,1,false,false
2020,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,FIRST,true,4,true,true
2021,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,FIRST,true,1,false,false
2022,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,FIRST,FIRST,FIRST,true,0,false,false
2023,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,FIRST,true,0,false,false
2024,Milwaukee,Milwaukee Bucks,NBA,Eastern,Central,,,,true,0,false,false
