season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1989,Orlando,Orlando Magic,NBA,Eastern,Central,,,LAST,false,,,
1990,Orlando,Orlando Magic,NBA,Western,Midwest,,,,false,,,
1991,Orlando,Orlando Magic,NBA,Eastern,Atlantic,,LAST,LAST,false,,,
1992,Orlando,Orlando Magic,NBA,Eastern,Atlantic,,,,false,,,
1993,Orlando,Orlando Magic,NBA,Eastern,Atlantic,,,,true,0,false,false
1994,Orlando,Orlando Magic,NBA,Eastern,Atlantic,,FIRST,FIRST,true,3,true,false
1995,Orlando,Orlando Magic,NBA,Eastern,Atlantic,,,FIRST,true,2,false,false
1996,Orlando,Orlando Magic,NBA,Eastern,Atlantic,,,,true,0,false,false
1997,Orlando,Orlando Magic,NBA,Eastern,Atlantic,,,,false,,,
1998,Orlando,Orlando Magic,NBA,Eastern,Atlantic,,FIRST_TIED,FIRST_TIED,true,0,false,false
1999,Orlando,Orlando Magic,NBA,Eastern,Atlantic,,,,false,,,
2000,Orlando,Orlando Magic,NBA,Eastern,Atlantic,,,,true,0,false,false
2001,Orlando,Orlando Magic,NBA,Eastern,Atlantic,,,,true,0,false,false
2002,Orlando,Orlando Magic,NBA,Eastern,Atlantic,,,,true,0,false,false
2003,Orlando,Orlando Magic,NBA,Eastern,Atlantic,LAST,LAST,LAST,false,,,
2004,Orlando,Orlando Magic,NBA,Eastern,Southeast,,,,false,,,
2005,Orlando,Orlando Magic,NBA,Eastern,Southeast,,,,false,,,
2006,Orlando,Orlando Magic,NBA,Eastern,Southeast,,,,true,0,false,false
2007,Orlando,Orlando Magic,NBA,Eastern,Southeast,,,FIRST,true,1,false,false
2008,Orlando,Orlando Magic,NBA,Eastern,Southeast,,,FIRST,true,3,true,false
2009,Orlando,Orlando Magic,NBA,Eastern,Southeast,,,FIRST,true,2,false,false
2010,Orlando,Orlando Magic,NBA,Eastern,Southeast,,,,true,0,false,false
2011,Orlando,Orlando Magic,NBA,Eastern,Southeast,,,,true,0,false,false
2012,Orlando,Orlando Magic,NBA,Eastern,Southeast,LAST,LAST,LAST,false,,,
2013,Orlando,Orlando Magic,NBA,Eastern,Southeast,,,LAST,false,,,
2014,Orlando,Orlando Magic,NBA,Eastern,Southeast,,,LAST,false,,,
2015,Orlando,Orlando Magic,NBA,Eastern,Southeast,,,LAST,false,,,
2016,Orlando,Orlando Magic,NBA,Eastern,Southeast,,,LAST,false,,,
2017,Orlando,Orlando Magic,NBA,Eastern,Southeast,,,,false,,,
2018,Orlando,Orlando Magic,NBA,Eastern,Southeast,,,FIRST,true,0,false,false
2019,Orlando,Orlando Magic,NBA,Eastern,Southeast,,,,true,0,false,false
2020,Orlando,Orlando Magic,NBA,Eastern,Southeast,,,LAST,false,,,
2021,Orlando,Orlando Magic,NBA,Eastern,Southeast,,LAST,LAST,false,,,
2022,Orlando,Orlando Magic,NBA,Eastern,Southeast,,,,false,,,
2023,Orlando,Orlando Magic,NBA,Eastern,Southeast,,,FIRST,true,0,false,false
