season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1949,Syracuse,Syracuse Nationals,NBA,Eastern,,FIRST,FIRST,,true,2,true,false
1950,Syracuse,Syracuse Nationals,NBA,Eastern,,,,,true,1,false,false
1951,Syracuse,Syracuse Nationals,NBA,Eastern,,,FIRST,,true,1,false,false
1952,Syracuse,Syracuse Nationals,NBA,Eastern,,,,,true,0,false,false
1953,Syracuse,Syracuse Nationals,NBA,Eastern,,,,,true,2,true,false
1954,Syracuse,Syracuse Nationals,NBA,Eastern,,FIRST_TIED,FIRST,,true,2,true,true
1955,Syracuse,Syracuse Nationals,NBA,Eastern,,,LAST_TIED,,true,1,false,false
1956,Syracuse,Syracuse Nationals,NBA,Eastern,,,,,true,1,false,false
1957,Syracuse,Syracuse Nationals,NBA,Eastern,,,,,true,0,false,false
1958,Syracuse,Syracuse Nationals,NBA,Eastern,,,,,true,1,false,false
1959,Syracuse,Syracuse Nationals,NBA,Eastern,,,,,true,0,false,false
1960,Syracuse,Syracuse Nationals,NBA,Eastern,,,,,true,1,false,false
1961,Syracuse,Syracuse Nationals,NBA,Eastern,,,,,true,0,false,false
1962,Syracuse,Syracuse Nationals,NBA,Eastern,,,,,true,0,false,false
1963,Philadelphia,Philadelphia 76ers,NBA,Eastern,,,,,true,0,false,false
1964,Philadelphia,Philadelphia 76ers,NBA,Eastern,,,,,true,1,false,false
1965,Philadelphia,Philadelphia 76ers,NBA,Eastern,,FIRST,FIRST,,true,0,false,false
1966,Philadelphia,Philadelphia 76ers,NBA,Eastern,,FIRST,FIRST,,true,3,true,true
1967,Philadelphia,Philadelphia 76ers,NBA,Eastern,,FIRST,FIRST,,true,1,false,false
1968,Philadelphia,Philadelphia 76ers,NBA,Eastern,,,,,true,0,false,false
1969,Philadelphia,Philadelphia 76ers,NBA,Eastern,,,,,true,0,false,false
1970,Philadelphia,Philadelphia 76ers,NBA,Eastern,Atlantic,,,,true,0,false,false
1971,Philadelphia,Philadelphia 76ers,NBA,Eastern,Atlantic,,,,false,,,
1972,Philadelphia,Philadelphia 76ers,NBA,Eastern,Atlantic,LAST,LAST,LAST,false,,,
1973,Philadelphia,Philadelphia 76ers,NBA,Eastern,Atlantic,LAST,LAST,LAST,false,,,
