season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1968,Phoenix,Phoenix Suns,NBA,Western,,LAST,LAST,,false,,,
1969,Phoenix,Phoenix Suns,NBA,Western,,,,,true,0,false,false
1970,Phoenix,Phoenix Suns,NBA,Western,Midwest,,,,false,,,
1971,Phoenix,Phoenix Suns,NBA,Western,Midwest,,,,false,,,
1972,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,false,,,
1973,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,false,,,
1974,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,false,,,
1975,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,true,2,true,false
1976,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,LAST,false,,,
1977,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,true,0,false,false
1978,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,true,2,false,false
1979,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,true,1,false,false
1980,Phoenix,Phoenix Suns,NBA,Western,Pacific,,FIRST,FIRST,true,0,false,false
1981,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,true,1,false,false
1982,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,true,0,false,false
1983,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,true,2,false,false
1984,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,true,0,false,false
1985,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,false,,,
1986,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,false,,,
1987,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,false,,,
1988,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,true,2,false,false
1989,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,true,2,false,false
1990,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,true,0,false,false
1991,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,true,1,false,false
1992,Phoenix,Phoenix Suns,NBA,Western,Pacific,FIRST,FIRST,FIRST,true,3,true,false
1993,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,true,1,false,false
1994,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,FIRST,true,1,false,false
1995,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,true,0,false,false
1996,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,true,0,false,false
1997,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,true,0,false,false
1998,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,true,0,false,false
1999,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,true,1,false,false
2000,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,true,0,false,false
2001,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,false,,,
2002,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,true,0,false,false
2003,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,false,,,
2004,Phoenix,Phoenix Suns,NBA,Western,Pacific,FIRST,FIRST,FIRST,true,2,false,false
2005,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,FIRST,true,2,false,false
2006,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,FIRST,true,1,false,false
2007,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,true,0,false,false
2008,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,false,,,
2009,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,true,2,false,false
2010,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,false,,,
2011,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,false,,,
2012,Phoenix,Phoenix Suns,NBA,Western,Pacific,,LAST,LAST,false,,,
2013,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,false,,,
2014,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,false,,,
2015,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,false,,,
2016,Phoenix,Phoenix Suns,NBA,Western,Pacific,,LAST,LAST,false,,,
2017,Phoenix,Phoenix Suns,NBA,Western,Pacific,LAST,LAST,LAST,false,,,
2018,Phoenix,Phoenix Suns,NBA,Western,Pacific,,LAST,LAST,false,,,
2019,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,false,,,
2020,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,FIRST,true,3,true,false
2021,Phoenix,Phoenix Suns,NBA,Western,Pacific,FIRST,FIRST,FIRST,true,1,false,false
2022,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,true,1,false,false
2023,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,,true,0,false,false
