season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1970,Portland,Portland Trail Blazers,NBA,Western,Pacific,,LAST,LAST,false,,,
1971,Portland,Portland Trail Blazers,NBA,Western,Pacific,LAST,LAST,LAST,false,,,
1972,Portland,Portland Trail Blazers,NBA,Western,Pacific,,LAST,LAST,false,,,
1973,Portland,Portland Trail Blazers,NBA,Western,Pacific,,LAST,LAST,false,,,
1974,Portland,Portland Trail Blazers,NBA,Western,Pacific,,,,false,,,
1975,Portland,Portland Trail Blazers,NBA,Western,Pacific,,,LAST,false,,,
1976,Portland,Portland Trail Blazers,NBA,Western,Pacific,,,,true,4,true,true
1977,Portland,Portland Trail Blazers,NBA,Western,Pacific,FIRST,FIRST,FIRST,true,0,false,false
1978,Portland,Portland Trail Blazers,NBA,Western,Pacific,,,,true,0,false,false
1979,Portland,Portland Trail Blazers,NBA,Western,Pacific,,,,true,0,false,false
1980,Portland,Portland Trail Blazers,NBA,Western,Pacific,,,,true,0,false,false
1981,Portland,Portland Trail Blazers,NBA,Western,Pacific,,,,false,,,
1982,Portland,Portland Trail Blazers,NBA,Western,Pacific,,,,true,1,false,false
1983,Portland,Portland Trail Blazers,NBA,Western,Pacific,,,,true,0,false,false
1984,Portland,Portland Trail Blazers,NBA,Western,Pacific,,,,true,1,false,false
1985,Portland,Portland Trail Blazers,NBA,Western,Pacific,,,,true,0,false,false
1986,Portland,Portland Trail Blazers,NBA,Western,Pacific,,,,true,0,false,false
1987,Portland,Portland Trail Blazers,NBA,Western,Pacific,,,,true,0,false,false
1988,Portland,Portland Trail Blazers,NBA,Western,Pacific,,,,true,0,false,false
1989,Portland,Portland Trail Blazers,NBA,Western,Pacific,,,,true,3,true,false
1990,Portland,Portland Trail Blazers,NBA,Western,Pacific,FIRST,FIRST,FIRST,true,2,false,false
1991,Portland,Portland Trail Blazers,NBA,Western,Pacific,,FIRST,FIRST,true,3,true,false
1992,Portland,Portland Trail Blazers,NBA,Western,Pacific,,,,true,0,false,false
1993,Portland,Portland Trail Blazers,NBA,Western,Pacific,,,,true,0,false,false
1994,Portland,Portland Trail Blazers,NBA,Western,Pacific,,,,true,0,false,false
1995,Portland,Portland Trail Blazers,NBA,Western,Pacific,,,,true,0,false,false
1996,Portland,Portland Trail Blazers,NBA,Western,Pacific,,,,true,0,false,false
1997,Portland,Portland Trail Blazers,NBA,Western,Pacific,,,,true,0,false,false
1998,Portland,Portland Trail Blazers,NBA,Western,Pacific,,,FIRST,true,2,false,false
1999,Portland,Portland Trail Blazers,NBA,Western,Pacific,,,,true,2,false,false
2000,Portland,Portland Trail Blazers,NBA,Western,Pacific,,,,true,0,false,false
2001,Portland,Portland Trail Blazers,NBA,Western,Pacific,,,,true,0,false,false
2002,Portland,Portland Trail Blazers,NBA,Western,Pacific,,,,true,0,false,false
2003,Portland,Portland Trail Blazers,NBA,Western,Pacific,,,,false,,,
2004,Portland,Portland Trail Blazers,NBA,Western,Northwest,,,,false,,,
2005,Portland,Portland Trail Blazers,NBA,Western,Northwest,LAST,LAST,LAST,false,,,
2006,Portland,Portland Trail Blazers,NBA,Western,Northwest,,,,false,,,
2007,Portland,Portland Trail Blazers,NBA,Western,Northwest,,,,false,,,
2008,Portland,Portland Trail Blazers,NBA,Western,Northwest,,,FIRST_TIED,true,0,false,false
2009,Portland,Portland Trail Blazers,NBA,Western,Northwest,,,,true,0,false,false
2010,Portland,Portland Trail Blazers,NBA,Western,Northwest,,,,true,0,false,false
2011,Portland,Portland Trail Blazers,NBA,Western,Northwest,,,,false,,,
2012,Portland,Portland Trail Blazers,NBA,Western,Northwest,,,,false,,,
2013,Portland,Portland Trail Blazers,NBA,Western,Northwest,,,,true,1,false,false
2014,Portland,Portland Trail Blazers,NBA,Western,Northwest,,,FIRST,true,0,false,false
2015,Portland,Portland Trail Blazers,NBA,Western,Northwest,,,,true,1,false,false
2016,Portland,Portland Trail Blazers,NBA,Western,Northwest,,,,true,0,false,false
2017,Portland,Portland Trail Blazers,NBA,Western,Northwest,,,FIRST,true,0,false,false
2018,Portland,Portland Trail Blazers,NBA,Western,Northwest,,,,true,2,false,false
2019,Portland,Portland Trail Blazers,NBA,Western,Northwest,,,,true,0,false,false
2020,Portland,Portland Trail Blazers,NBA,Western,Northwest,,,,true,0,false,false
2021,Portland,Portland Trail Blazers,NBA,Western,Northwest,,,,false,,,
2022,Portland,Portland Trail Blazers,NBA,Western,Northwest,,,LAST,false,,,
2023,Portland,Portland Trail Blazers,NBA,Western,Northwest,,LAST,LAST,false,,,
2024,Portland,Portland Trail Blazers,NBA,Western,Northwest,,,,false,,,
