season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1976,San Antonio,San Antonio Spurs,NBA,Eastern,Central,,,,true,0,false,false
1977,San Antonio,San Antonio Spurs,NBA,Eastern,Central,,,FIRST,true,0,false,false
1978,San Antonio,San Antonio Spurs,NBA,Eastern,Central,,,FIRST,true,1,false,false
1979,San Antonio,San Antonio Spurs,NBA,Eastern,Central,,,,true,0,false,false
1980,San Antonio,San Antonio Spurs,NBA,Western,Midwest,,,FIRST,true,0,false,false
1981,San Antonio,San Antonio Spurs,NBA,Western,Midwest,,,FIRST,true,1,false,false
1982,San Antonio,San Antonio Spurs,NBA,Western,Midwest,,,FIRST,true,1,false,false
1983,San Antonio,San Antonio Spurs,NBA,Western,Midwest,,,,false,,,
1984,San Antonio,San Antonio Spurs,NBA,Western,Midwest,,,,true,0,false,false
1985,San Antonio,San Antonio Spurs,NBA,Western,Midwest,,,LAST,true,0,false,false
1986,San Antonio,San Antonio Spurs,NBA,Western,Midwest,,,LAST,false,,,
1987,San Antonio,San Antonio Spurs,NBA,Western,Midwest,,,,true,0,false,false
1988,San Antonio,San Antonio Spurs,NBA,Western,Midwest,,,,false,,,
1989,San Antonio,San Antonio Spurs,NBA,Western,Midwest,,,FIRST,true,1,false,false
1990,San Antonio,San Antonio Spurs,NBA,Western,Midwest,,,FIRST,true,0,false,false
1991,San Antonio,San Antonio Spurs,NBA,Western,Midwest,,,,true,0,false,false
1992,San Antonio,San Antonio Spurs,NBA,Western,Midwest,,,,true,1,false,false
1993,San Antonio,San Antonio Spurs,NBA,Western,Midwest,,,,true,0,false,false
1994,San Antonio,San Antonio Spurs,NBA,Western,Midwest,FIRST,FIRST,FIRST,true,2,false,false
1995,San Antonio,San Antonio Spurs,NBA,Western,Midwest,,,FIRST,true,1,false,false
1996,San Antonio,San Antonio Spurs,NBA,Western,Midwest,,,,false,,,
1997,San Antonio,San Antonio Spurs,NBA,Western,Midwest,,,,true,1,false,false
1998,San Antonio,San Antonio Spurs,NBA,Western,Midwest,FIRST_TIED,FIRST_TIED,FIRST_TIED,true,4,true,true
1999,San Antonio,San Antonio Spurs,NBA,Western,Midwest,,,,true,0,false,false
2000,San Antonio,San Antonio Spurs,NBA,Western,Midwest,FIRST,FIRST,FIRST,true,2,false,false
2001,San Antonio,San Antonio Spurs,NBA,Western,Midwest,,,FIRST,true,1,false,false
2002,San Antonio,San Antonio Spurs,NBA,Western,Midwest,FIRST_TIED,FIRST_TIED,FIRST_TIED,true,4,true,true
2003,San Antonio,San Antonio Spurs,NBA,Western,Midwest,,,,true,1,false,false
2004,San Antonio,San Antonio Spurs,NBA,Western,Southwest,,,FIRST,true,4,true,true
2005,San Antonio,San Antonio Spurs,NBA,Western,Southwest,,FIRST,FIRST,true,1,false,false
2006,San Antonio,San Antonio Spurs,NBA,Western,Southwest,,,,true,4,true,true
2007,San Antonio,San Antonio Spurs,NBA,Western,Southwest,,,FIRST_TIED,true,2,false,false
2008,San Antonio,San Antonio Spurs,NBA,Western,Southwest,,,FIRST,true,0,false,false
2009,San Antonio,San Antonio Spurs,NBA,Western,Southwest,,,,true,1,false,false
2010,San Antonio,San Antonio Spurs,NBA,Western,Southwest,,FIRST,FIRST,true,0,false,false
2011,San Antonio,San Antonio Spurs,NBA,Western,Southwest,FIRST_TIED,FIRST,FIRST,true,2,false,false
2012,San Antonio,San Antonio Spurs,NBA,Western,Southwest,,,FIRST,true,3,true,false
2013,San Antonio,San Antonio Spurs,NBA,Western,Southwest,FIRST,FIRST,FIRST,true,4,true,true
2014,San Antonio,San Antonio Spurs,NBA,Western,Southwest,,,,true,0,false,false
2015,San Antonio,San Antonio Spurs,NBA,Western,Southwest,,,FIRST,true,1,false,false
2016,San Antonio,San Antonio Spurs,NBA,Western,Southwest,,,FIRST,true,2,false,false
2017,San Antonio,San Antonio Spurs,NBA,Western,Southwest,,,,true,0,false,false
2018,San Antonio,San Antonio Spurs,NBA,Western,Southwest,,,,true,0,false,false
2019,San Antonio,San Antonio Spurs,NBA,Western,Southwest,,,,false,,,
2020,San Antonio,San Antonio Spurs,NBA,Western,Southwest,,,,false,,,
2021,San Antonio,San Antonio Spurs,NBA,Western,Southwest,,,,false,,,
2022,San Antonio,San Antonio Spurs,NBA,Western,Southwest,,LAST_TIED,LAST_TIED,false,,,
2023,San Antonio,San Antonio Spurs,NBA,Western,Southwest,,,LAST,false,,,
