season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1995,Toronto,Toronto Raptors,NBA,Eastern,Central,,,LAST,false,,,
1996,Toronto,Toronto Raptors,NBA,Eastern,Central,,,LAST,false,,,
1997,Toronto,Toronto Raptors,NBA,Eastern,Central,,LAST,LAST,false,,,
1998,Toronto,Toronto Raptors,NBA,Eastern,Central,,,,false,,,
1999,Toronto,Toronto Raptors,NBA,Eastern,Central,,,,true,0,false,false
2000,Toronto,Toronto Raptors,NBA,Eastern,Central,,,,true,1,false,false
2001,Toronto,Toronto Raptors,NBA,Eastern,Central,,,,true,0,false,false
2002,Toronto,Toronto Raptors,NBA,Eastern,Central,,,,false,,,
2003,Toronto,Toronto Raptors,NBA,Eastern,Central,,,,false,,,
2004,Toronto,Toronto Raptors,NBA,Eastern,Atlantic,,,LAST_TIED,false,,,
2005,Toronto,Toronto Raptors,NBA,Eastern,Atlantic,,,,false,,,
2006,Toronto,Toronto Raptors,NBA,Eastern,Atlantic,,,FIRST,true,0,false,false
2007,Toronto,Toronto Raptors,NBA,Eastern,Atlantic,,,,true,0,false,false
2008,Toronto,Toronto Raptors,NBA,Eastern,Atlantic,,,,false,,,
2009,Toronto,Toronto Raptors,NBA,Eastern,Atlantic,,,,false,,,
2010,Toronto,Toronto Raptors,NBA,Eastern,Atlantic,,,LAST,false,,,
2011,Toronto,Toronto Raptors,NBA,Eastern,Atlantic,,,,false,,,
2012,Toronto,Toronto Raptors,NBA,Eastern,Atlantic,,,LAST_TIED,false,,,
2013,Toronto,Toronto Raptors,NBA,Eastern,Atlantic,,,FIRST,true,0,false,false
2014,Toronto,Toronto Raptors,NBA,Eastern,Atlantic,,,FIRST,true,0,false,false
2015,Toronto,Toronto Raptors,NBA,Eastern,Atlantic,,,FIRST,true,2,false,false
2016,Toronto,Toronto Raptors,NBA,Eastern,Atlantic,,,,true,1,false,false
2017,Toronto,Toronto Raptors,NBA,Eastern,Atlantic,,FIRST,FIRST,true,1,false,false
2018,Toronto,Toronto Raptors,NBA,Eastern,Atlantic,,,FIRST,true,4,true,true
2019,Toronto,Toronto Raptors,NBA,Eastern,Atlantic,,,FIRST,true,1,false,false
2020,Toronto,Toronto Raptors,NBA,Eastern,Atlantic,,,LAST,false,,,
2021,Toronto,Toronto Raptors,NBA,Eastern,Atlantic,,,,true,0,false,false
2022,Toronto,Toronto Raptors,NBA,Eastern,Atlantic,,,LAST,false,,,
2023,Toronto,Toronto Raptors,NBA,Eastern,Atlantic,,,LAST,false,,,
2024,Toronto,Toronto Raptors,NBA,Eastern,Atlantic,,,,false,,,
