season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1961,Chicago,Chicago Packers,NBA,Western,,LAST,LAST,,false,,,
1962,Chicago,Chicago Zephyrs,NBA,Western,,,LAST,,false,,,
1963,Baltimore,Baltimore Bullets,NBA,Western,,,,,false,,,
1964,Baltimore,Baltimore Bullets,NBA,Western,,,,,true,1,false,false
1965,Baltimore,Baltimore Bullets,NBA,Western,,,,,true,0,false,false
1966,Baltimore,Baltimore Bullets,NBA,Eastern,,LAST,LAST,,false,,,
1967,Baltimore,Baltimore Bullets,NBA,Eastern,,,LAST,,false,,,
1968,Baltimore,Baltimore Bullets,NBA,Eastern,,FIRST,FIRST,,true,0,false,false
1969,Baltimore,Baltimore Bullets,NBA,Eastern,,,,,true,0,false,false
1970,Baltimore,Baltimore Bullets,NBA,Eastern,Central,,,FIRST,true,2,true,false
1971,Baltimore,Baltimore Bullets,NBA,Eastern,Central,,,FIRST,true,0,false,false
1972,Baltimore,Baltimore Bullets,NBA,Eastern,Central,,,FIRST,true,0,false,false
1973,Washington,Capital Bullets,NBA,Eastern,Central,,,FIRST,true,0,false,false
1974,Washington,Washington Bullets,NBA,Eastern,Central,FIRST_TIED,FIRST_TIED,FIRST,true,2,true,false
1975,Washington,Washington Bullets,NBA,Eastern,Central,,,,true,0,false,false
1976,Washington,Washington Bullets,NBA,Eastern,Central,,,,true,1,false,false
1977,Washington,Washington Bullets,NBA,Eastern,Central,,,,true,4,true,true
1978,Washington,Washington Bullets,NBA,Eastern,Atlantic,FIRST,FIRST,FIRST,true,2,true,false
1979,Washington,Washington Bullets,NBA,Eastern,Atlantic,,,,true,0,false,false
1980,Washington,Washington Bullets,NBA,Eastern,Atlantic,,,,false,,,
1981,Washington,Washington Bullets,NBA,Eastern,Atlantic,,,,true,1,false,false
1982,Washington,Washington Bullets,NBA,Eastern,Atlantic,,,LAST,false,,,
1983,Washington,Washington Bullets,NBA,Eastern,Atlantic,,,LAST,true,0,false,false
1984,Washington,Washington Bullets,NBA,Eastern,Atlantic,,,,true,0,false,false
1985,Washington,Washington Bullets,NBA,Eastern,Atlantic,,,,true,0,false,false
1986,Washington,Washington Bullets,NBA,Eastern,Atlantic,,,,true,0,false,false
1987,Washington,Washington Bullets,NBA,Eastern,Atlantic,,,,true,0,false,false
1988,Washington,Washington Bullets,NBA,Eastern,Atlantic,,,,false,,,
1989,Washington,Washington Bullets,NBA,Eastern,Atlantic,,,,false,,,
1990,Washington,Washington Bullets,NBA,Eastern,Atlantic,,,,false,,,
1991,Washington,Washington Bullets,NBA,Eastern,Atlantic,,,,false,,,
1992,Washington,Washington Bullets,NBA,Eastern,Atlantic,,LAST,LAST,false,,,
1993,Washington,Washington Bullets,NBA,Eastern,Atlantic,,,LAST,false,,,
1994,Washington,Washington Bullets,NBA,Eastern,Atlantic,,LAST,LAST,false,,,
1995,Washington,Washington Bullets,NBA,Eastern,Atlantic,,,,false,,,
1996,Washington,Washington Bullets,NBA,Eastern,Atlantic,,,,true,0,false,false
1997,Washington,Washington Wizards,NBA,Eastern,Atlantic,,,,false,,,
1998,Washington,Washington Wizards,NBA,Eastern,Atlantic,,,,false,,,
1999,Washington,Washington Wizards,NBA,Eastern,Atlantic,,,LAST,false,,,
2000,Washington,Washington Wizards,NBA,Eastern,Atlantic,,,LAST,false,,,
2001,Washington,Washington Wizards,NBA,Eastern,Atlantic,,,,false,,,
2002,Washington,Washington Wizards,NBA,Eastern,Atlantic,,,,false,,,
2003,Washington,Washington Wizards,NBA,Eastern,Atlantic,,,,false,,,
2004,Washington,Washington Wizards,NBA,Eastern,Southeast,,,,true,1,false,false
2005,Washington,Washington Wizards,NBA,Eastern,Southeast,,,,true,0,false,false
2006,Washington,Washington Wizards,NBA,Eastern,Southeast,,,,true,0,false,false
2007,Washington,Washington Wizards,NBA,Eastern,Southeast,,,,true,0,false,false
2008,Washington,Washington Wizards,NBA,Eastern,Southeast,,LAST,LAST,false,,,
2009,Washington,Washington Wizards,NBA,Eastern,Southeast,,,LAST,false,,,
2010,Washington,Washington Wizards,NBA,Eastern,Southeast,,,LAST,false,,,
2011,Washington,Washington Wizards,NBA,Eastern,Southeast,,,,false,,,
2012,Washington,Washington Wizards,NBA,Eastern,Southeast,,,,false,,,
2013,Washington,Washington Wizards,NBA,Eastern,Southeast,,,,true,1,false,false
2014,Washington,Washington Wizards,NBA,Eastern,Southeast,,,,true,1,false,false
2015,Washington,Washington Wizards,NBA,Eastern,Southeast,,,,false,,,
2016,Washington,Washington Wizards,NBA,Eastern,Southeast,,,FIRST,true,1,false,false
2017,Washington,Washington Wizards,NBA,Eastern,Southeast,,,,true,0,false,false
2018,Washington,Washington Wizards,NBA,Eastern,Southeast,,,,false,,,
2019,Washington,Washington Wizards,NBA,Eastern,Southeast,,,,false,,,
2020,Washington,Washington Wizards,NBA,Eastern,Southeast,,,,true,0,false,false
2021,Washington,Washington Wizards,NBA,Eastern,Southeast,,,,false,,,
2022,Washington,Washington Wizards,NBA,Eastern,Southeast,,,,false,,,
2023,Washington,Washington Wizards,NBA,Eastern,Southeast,,,LAST,false,,,
