franchise_id,season_id,metro_id,team_name,league_id,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
192,39,35,New York Giants,2,East,,,FIRST,,true,0,true,false
170,39,35,Brooklyn Dodgers,2,East,,,,,false,,,
201,39,5,Boston Redskins,2,East,,,,,false,,,
194,39,39,Philadelphia Eagles,2,East,,,,,false,,,
195,39,41,Pittsburgh Pirates,2,East,,,LAST,,false,,,
173,39,9,Chicago Bears,2,West,,FIRST,FIRST,,true,1,true,true
179,39,43,Portsmouth Spartans,2,West,,,,,false,,,
180,39,20,Green Bay Packers,2,West,,,,,false,,,
175,39,10,Cincinnati Reds,2,West,,,,,false,,,
165,39,9,Chicago Cardinals,2,West,,LAST,LAST,,false,,,
192,42,35,New York Giants,2,East,,,FIRST,,true,1,true,true
201,42,5,Boston Redskins,2,East,,,,,false,,,
170,42,35,Brooklyn Dodgers,2,East,,,,,false,,,
194,42,39,Philadelphia Eagles,2,East,,,,,false,,,
195,42,41,Pittsburgh Pirates,2,East,,,LAST,,false,,,
173,42,9,Chicago Bears,2,West,,FIRST,FIRST,,true,0,true,false
179,42,16,Detroit Lions,2,West,,,,,false,,,
180,42,20,Green Bay Packers,2,West,,,,,false,,,
165,42,9,Chicago Cardinals,2,West,,,,,false,,,
198,42,56,St. Louis Gunners,2,West,,,,,false,,,
175,42,10,Cincinnati Reds,2,West,,LAST,LAST,,false,,,
192,45,35,New York Giants,2,East,,FIRST,FIRST,,true,0,true,false
170,45,35,Brooklyn Dodgers,2,East,,,,,false,,,
195,45,41,Pittsburgh Pirates,2,East,,,,,false,,,
201,45,5,Boston Redskins,2,East,,,,,false,,,
194,45,39,Philadelphia Eagles,2,East,,LAST,LAST,,false,,,
179,45,16,Detroit Lions,2,West,,,FIRST,,true,1,true,true
180,45,20,Green Bay Packers,2,West,,,,,false,,,
173,45,9,Chicago Bears,2,West,,,LAST_TIED,,false,,,
165,45,9,Chicago Cardinals,2,West,,,LAST_TIED,,false,,,
201,48,5,Boston Redskins,2,East,,,FIRST,,true,0,true,false
195,48,41,Pittsburgh Pirates,2,East,,,,,false,,,
192,48,35,New York Giants,2,East,,,,,false,,,
170,48,35,Brooklyn Dodgers,2,East,,,,,false,,,
194,48,39,Philadelphia Eagles,2,East,,LAST,LAST,,false,,,
180,48,20,Green Bay Packers,2,West,,FIRST,FIRST,,true,1,true,true
173,48,9,Chicago Bears,2,West,,,,,false,,,
179,48,16,Detroit Lions,2,West,,,,,false,,,
165,48,9,Chicago Cardinals,2,West,,,LAST,,false,,,
201,51,63,Washington Redskins,2,East,,,FIRST,,true,1,true,true
192,51,35,New York Giants,2,East,,,,,false,,,
195,51,41,Pittsburgh Pirates,2,East,,,,,false,,,
170,51,35,Brooklyn Dodgers,2,East,,,,,false,,,
194,51,39,Philadelphia Eagles,2,East,,,LAST,,false,,,
