id,name,start_year,end_year,league_id,total_major_divisions,total_minor_divisions,postseason_rounds
39,1933 NFL Season,1933,1933,2,2,0,1
42,1934 NFL Season,1934,1934,2,2,0,1
45,1935 NFL Season,1935,1935,2,2,0,1
48,1936 NFL Season,1936,1936,2,2,0,1
51,1937 NFL Season,1937,1937,2,2,0,1
54,1938 NFL Season,1938,1938,2,2,0,1
57,1939 NFL Season,1939,1939,2,2,0,1
60,1940 NFL Season,1940,1940,2,2,0,1
63,1941 NFL Season,1941,1941,2,2,0,1
66,1942 NFL Season,1942,1942,2,2,0,1
69,1943 NFL Season,1943,1943,2,2,0,1
72,1944 NFL Season,1944,1944,2,2,0,1
75,1945 NFL Season,1945,1945,2,2,0,1
78,1946 NFL Season,1946,1946,2,2,0,1
82,1947 NFL Season,1947,1947,2,2,0,1
86,1948 NFL Season,1948,1948,2,2,0,1
90,1949 NFL Season,1949,1949,2,2,0,1
94,1950 NFL Season,1950,1950,2,2,0,1
98,1951 NFL Season,1951,1951,2,2,0,1
102,1952 NFL Season,1952,1952,2,2,0,1
106,1953 NFL Season,1953,1953,2,2,0,1
110,1954 NFL Season,1954,1954,2,2,0,1
114,1955 NFL Season,1955,1955,2,2,0,1
118,1956 NFL Season,1956,1956,2,2,0,1
122,1957 NFL Season,1957,1957,2,2,0,1
126,1958 NFL Season,1958,1958,2,2,0,1
130,1959 NFL Season,1959,1959,2,2,0,1
134,1960 NFL Season,1960,1960,2,2,0,1
138,1961 NFL Season,1961,1961,2,2,0,1
142,1962 NFL Season,1962,1962,2,2,0,1
146,1963 NFL Season,1963,1963,2,2,0,1
150,1964 NFL Season,1964,1964,2,2,0,1
154,1965 NFL Season,1965,1965,2,2,0,1
158,1966 NFL Season,1966,1966,2,4,0,2
162,1967 NFL Season,1967,1967,2,4,4,3
166,1968 NFL Season,1968,1968,2,4,4,3
170,1969 NFL Season,1969,1969,2,4,4,3
174,1970 NFL Season,1970,1970,2,2,6,3
178,1971 NFL Season,1971,1971,2,2,6,3
182,1972 NFL Season,1972,1972,2,2,6,3
186,1973 NFL Season,1973,1973,2,2,6,3
190,1974 NFL Season,1974,1974,2,2,6,3
194,1975 NFL Season,1975,1975,2,2,6,3
198,1976 NFL Season,1976,1976,2,2,6,3
202,1977 NFL Season,1977,1977,2,2,6,3
206,1978 NFL Season,1978,1978,2,2,6,4
210,1979 NFL Season,1979,1979,2,2,6,4
214,1980 NFL Season,1980,1980,2,2,6,4
218,1981 NFL Season,1981,1981,2,2,6,4
222,1982 NFL Season,1982,1982,2,2,0,4
226,1983 NFL Season,1983,1983,2,2,6,4
230,1984 NFL Season,1984,1984,2,2,6,4
234,1985 NFL Season,1985,1985,2,2,6,4
238,1986 NFL Season,1986,1986,2,2,6,4
242,1987 NFL Season,1987,1987,2,2,6,4
246,1988 NFL Season,1988,1988,2,2,6,4
250,1989 NFL Season,1989,1989,2,2,6,4
254,1990 NFL Season,1990,1990,2,2,6,4
258,1991 NFL Season,1991,1991,2,2,6,4
262,1992 NFL Season,1992,1992,2,2,6,4
266,1993 NFL Season,1993,1993,2,2,6,4
270,1994 NFL Season,1994,1994,2,2,6,4
274,1995 NFL Season,1995,1995,2,2,6,4
279,1996 NFL Season,1996,1996,2,2,6,4
285,1997 NFL Season,1997,1997,2,2,6,4
291,1998 NFL Season,1998,1998,2,2,6,4
297,1999 NFL Season,1999,1999,2,2,6,4
303,2000 NFL Season,2000,2000,2,2,6,4
309,2001 NFL Season,2001,2001,2,2,6,4
315,2002 NFL Season,2002,2002,2,2,8,4
321,2003 NFL Season,2003,2003,2,2,8,4
327,2004 NFL Season,2004,2004,2,2,8,4
332,2005 NFL Season,2005,2005,2,2,8,4
338,2006 NFL Season,2006,2006,2,2,8,4
344,2007 NFL Season,2007,2007,2,2,8,4
350,2008 NFL Season,2008,2008,2,2,8,4
356,2009 NFL Season,2009,2009,2,2,8,4
362,2010 NFL Season,2010,2010,2,2,8,4
368,2011 NFL Season,2011,2011,2,2,8,4
374,2012 NFL Season,2012,2012,2,2,8,4
380,2013 NFL Season,2013,2013,2,2,8,4
386,2014 NFL Season,2014,2014,2,2,8,4
392,2015 NFL Season,2015,2015,2,2,8,4
398,2016 NFL Season,2016,2016,2,2,8,4
404,2017 NFL Season,2017,2017,2,2,8,4
410,2018 NFL Season,2018,2018,2,2,8,4
416,2019 NFL Season,2019,2019,2,2,8,4
422,2020 NFL Season,2020,2020,2,2,8,4
428,2021 NFL Season,2021,2021,2,2,8,4
434,2022 NFL Season,2022,2022,2,2,8,4
440,2023 NFL Season,2023,2023,2,2,8,4
446,2024 NFL Season,2024,2024,2,2,8,4
452,2025 NFL Season,2025,2025,2,2,8,4
