season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1933,New York,Brooklyn Dodgers,NFL,East,,,,,false,,,
1934,New York,Brooklyn Dodgers,NFL,East,,,,,false,,,
1935,New York,Brooklyn Dodgers,NFL,East,,,,,false,,,
1936,New York,Brooklyn Dodgers,NFL,East,,,,,false,,,
1937,New York,Brooklyn Dodgers,NFL,East,,,,,false,,,
1938,New York,Brooklyn Dodgers,NFL,East,,,,,false,,,
1939,New York,Brooklyn Dodgers,NFL,East,,,,,false,,,
1940,New York,Brooklyn Dodgers,NFL,East,,,,,false,,,
1941,New York,Brooklyn Dodgers,NFL,East,,,,,false,,,
1942,New York,Brooklyn Dodgers,NFL,East,,,,,false,,,
1943,New York,Brooklyn Dodgers,NFL,East,,,LAST,,false,,,
1944,New York,Brooklyn Tigers,NFL,East,,LAST_TIED,LAST,,false,,,
1945,New York,Yanks,NFL,East,,,,,false,,,
