season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1966,Buffalo,Buffalo Bills,NFL,AFL East,,,FIRST,,true,0,false,false
1967,Buffalo,Buffalo Bills,NFL,AFL East,,,,,false,,,
1968,Buffalo,Buffalo Bills,NFL,AFL East,,LAST,LAST,LAST,false,,,
1969,Buffalo,Buffalo Bills,NFL,AFL East,,,,,false,,,
1970,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,,false,,,
1971,Buffalo,Buffalo Bills,NFL,AFC,AFC East,LAST,LAST,LAST,false,,,
1972,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,,false,,,
1973,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,,false,,,
1974,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,,true,0,false,false
1975,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,,false,,,
1976,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,LAST,false,,,
1977,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,LAST_TIED,false,,,
1978,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,LAST_TIED,false,,,
1979,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,,false,,,
1980,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,FIRST_TIED,FIRST,true,0,false,false
1981,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,,true,1,false,false
1982,Buffalo,Buffalo Bills,NFL,AFC,,,,,false,,,
1983,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,,false,,,
1984,Buffalo,Buffalo Bills,NFL,AFC,AFC East,LAST,LAST,LAST,false,,,
1985,Buffalo,Buffalo Bills,NFL,AFC,AFC East,LAST_TIED,LAST,LAST,false,,,
1986,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,,false,,,
1987,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,,false,,,
1988,Buffalo,Buffalo Bills,NFL,AFC,AFC East,FIRST_TIED,FIRST_TIED,FIRST,true,1,false,false
1989,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,FIRST,true,0,false,false
1990,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,FIRST,FIRST,true,2,true,false
1991,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,FIRST,FIRST,true,2,true,false
1992,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,FIRST_TIED,FIRST_TIED,true,3,true,false
1993,Buffalo,Buffalo Bills,NFL,AFC,AFC East,FIRST_TIED,FIRST_TIED,FIRST,true,2,true,false
1994,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,,false,,,
1995,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,FIRST,true,1,false,false
1996,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,,true,0,false,false
1997,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,,false,,,
1998,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,,true,0,false,false
1999,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,,true,0,false,false
2000,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,,false,,,
2001,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,LAST,LAST,false,,,
2002,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,LAST,false,,,
2003,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,LAST_TIED,false,,,
2004,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,,false,,,
2005,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,,false,,,
2006,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,,false,,,
2007,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,,false,,,
2008,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,LAST,false,,,
2009,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,LAST,false,,,
2010,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,LAST_TIED,LAST,false,,,
2011,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,LAST_TIED,false,,,
2012,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,LAST_TIED,false,,,
2013,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,LAST,false,,,
2014,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,,false,,,
2015,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,,false,,,
2016,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,,false,,,
2017,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,,true,0,false,false
2018,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,,false,,,
2019,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,,true,0,false,false
2020,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,FIRST,true,2,false,false
2021,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,FIRST,true,1,false,false
2022,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,FIRST,true,1,false,false
2023,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,FIRST_TIED,true,1,false,false
2024,Buffalo,Buffalo Bills,NFL,AFC,AFC East,,,FIRST,true,2,,
