season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1995,Charlotte,Carolina Panthers,NFL,NFC,NFC West,,,LAST_TIED,false,,,
1996,Charlotte,Carolina Panthers,NFL,NFC,NFC West,,,FIRST_TIED,true,1,false,false
1997,Charlotte,Carolina Panthers,NFL,NFC,NFC West,,,,false,,,
1998,Charlotte,Carolina Panthers,NFL,NFC,NFC West,,,LAST_TIED,false,,,
1999,Charlotte,Carolina Panthers,NFL,NFC,NFC West,,,,false,,,
2000,Charlotte,Carolina Panthers,NFL,NFC,NFC West,,,,false,,,
2001,Charlotte,Carolina Panthers,NFL,NFC,NFC West,LAST,LAST,LAST,false,,,
2002,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,LAST,false,,,
2003,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,FIRST,true,3,true,false
2004,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,,false,,,
2005,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,FIRST_TIED,true,2,false,false
2006,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,,false,,,
2007,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,,false,,,
2008,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,FIRST_TIED,FIRST,true,0,false,false
2009,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,,false,,,
2010,Charlotte,Carolina Panthers,NFL,NFC,NFC South,LAST,LAST,LAST,false,,,
2011,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,,false,,,
2012,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,LAST_TIED,false,,,
2013,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,FIRST,true,0,false,false
2014,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,FIRST,true,1,false,false
2015,Charlotte,Carolina Panthers,NFL,NFC,NFC South,FIRST,FIRST,FIRST,true,2,true,false
2016,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,LAST,false,,,
2017,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,FIRST_TIED,true,0,false,false
2018,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,,false,,,
2019,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,LAST,false,,,
2020,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,,false,,,
2021,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,LAST,false,,,
2022,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,LAST_TIED,false,,,
2023,Charlotte,Carolina Panthers,NFL,NFC,NFC South,LAST,LAST,LAST,false,,,
2024,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,LAST_TIED,false,,,
