season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1933,Chicago,Chicago Bears,NFL,West,,FIRST,FIRST,,true,1,true,true
1934,Chicago,Chicago Bears,NFL,West,,FIRST,FIRST,,true,0,true,false
1935,Chicago,Chicago Bears,NFL,West,,,LAST_TIED,,false,,,
1936,Chicago,Chicago Bears,NFL,West,,,,,false,,,
1937,Chicago,Chicago Bears,NFL,West,,FIRST,FIRST,,true,0,true,false
1938,Chicago,Chicago Bears,NFL,West,,,,,false,,,
1939,Chicago,Chicago Bears,NFL,West,,,,,false,,,
1940,Chicago,Chicago Bears,NFL,West,,,FIRST,,true,1,true,true
1941,Chicago,Chicago Bears,NFL,West,,FIRST_TIED,FIRST_TIED,,true,1,true,true
1942,Chicago,Chicago Bears,NFL,West,,FIRST,FIRST,,true,0,true,false
1943,Chicago,Chicago Bears,NFL,West,,FIRST,FIRST,,true,1,true,true
1944,Chicago,Chicago Bears,NFL,West,,,,,false,,,
1945,Chicago,Chicago Bears,NFL,West,,,,,false,,,
1946,Chicago,Chicago Bears,NFL,West,,FIRST,FIRST,,true,1,true,true
1947,Chicago,Chicago Bears,NFL,West,,,,,false,,,
1948,Chicago,Chicago Bears,NFL,West,,,,,false,,,
1949,Chicago,Chicago Bears,NFL,West,,,,,false,,,
1950,Chicago,Chicago Bears,NFL,National,,,FIRST_TIED,,true,0,false,false
1951,Chicago,Chicago Bears,NFL,National,,,,,false,,,
1952,Chicago,Chicago Bears,NFL,National,,,,,false,,,
1953,Chicago,Chicago Bears,NFL,West,,,,,false,,,
1954,Chicago,Chicago Bears,NFL,West,,,,,false,,,
1955,Chicago,Chicago Bears,NFL,West,,,,,false,,,
1956,Chicago,Chicago Bears,NFL,West,,FIRST,FIRST,,true,0,true,false
1957,Chicago,Chicago Bears,NFL,West,,,,,false,,,
1958,Chicago,Chicago Bears,NFL,West,,,,,false,,,
1959,Chicago,Chicago Bears,NFL,West,,,,,false,,,
1960,Chicago,Chicago Bears,NFL,West,,,,,false,,,
1961,Chicago,Chicago Bears,NFL,West,,,,,false,,,
1962,Chicago,Chicago Bears,NFL,West,,,,,false,,,
1963,Chicago,Chicago Bears,NFL,West,,FIRST,FIRST,,true,1,true,true
1964,Chicago,Chicago Bears,NFL,West,,,,,false,,,
1965,Chicago,Chicago Bears,NFL,West,,,,,false,,,
1966,Chicago,Chicago Bears,NFL,NFL West,,,,,false,,,
1967,Chicago,Chicago Bears,NFL,NFL West,Central,,,,false,,,
1968,Chicago,Chicago Bears,NFL,NFL West,Central,,,,false,,,
1969,Chicago,Chicago Bears,NFL,NFL West,Central,LAST_TIED,LAST,LAST,false,,,
1970,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,LAST_TIED,false,,,
1971,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,,false,,,
1972,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,LAST,false,,,
1973,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,LAST,false,,,
1974,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,LAST,false,,,
1975,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,LAST_TIED,false,,,
