season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1950,Cleveland,Cleveland Browns,NFL,American,,FIRST_TIED,FIRST_TIED,,true,2,true,true
1951,Cleveland,Cleveland Browns,NFL,American,,FIRST,FIRST,,true,0,true,false
1952,Cleveland,Cleveland Browns,NFL,American,,,FIRST,,true,0,true,false
1953,Cleveland,Cleveland Browns,NFL,East,,FIRST,FIRST,,true,0,true,false
1954,Cleveland,Cleveland Browns,NFL,East,,,FIRST,,true,1,true,true
1955,Cleveland,Cleveland Browns,NFL,East,,FIRST,FIRST,,true,1,true,true
1956,Cleveland,Cleveland Browns,NFL,East,,,,,false,,,
1957,Cleveland,Cleveland Browns,NFL,East,,FIRST,FIRST,,true,0,true,false
1958,Cleveland,Cleveland Browns,NFL,East,,FIRST_TIED,FIRST_TIED,,true,0,false,false
1959,Cleveland,Cleveland Browns,NFL,East,,,,,false,,,
1960,Cleveland,Cleveland Browns,NFL,East,,,,,false,,,
1961,Cleveland,Cleveland Browns,NFL,East,,,,,false,,,
1962,Cleveland,Cleveland Browns,NFL,East,,,,,false,,,
1963,Cleveland,Cleveland Browns,NFL,East,,,,,false,,,
1964,Cleveland,Cleveland Browns,NFL,East,,,FIRST,,true,1,true,true
1965,Cleveland,Cleveland Browns,NFL,East,,FIRST,FIRST,,true,0,true,false
1966,Cleveland,Cleveland Browns,NFL,NFL East,,,,,false,,,
1967,Cleveland,Cleveland Browns,NFL,NFL East,Century,,FIRST_TIED,FIRST,true,0,false,false
1968,Cleveland,Cleveland Browns,NFL,NFL East,Century,,,FIRST,true,1,false,false
1969,Cleveland,Cleveland Browns,NFL,NFL East,Century,,,FIRST,true,1,false,false
1970,Cleveland,Cleveland Browns,NFL,AFC,AFC Central,,,,false,,,
1971,Cleveland,Cleveland Browns,NFL,AFC,AFC Central,,,FIRST,true,0,false,false
1972,Cleveland,Cleveland Browns,NFL,AFC,AFC Central,,,,true,0,false,false
1973,Cleveland,Cleveland Browns,NFL,AFC,AFC Central,,,,false,,,
1974,Cleveland,Cleveland Browns,NFL,AFC,AFC Central,,,LAST,false,,,
1975,Cleveland,Cleveland Browns,NFL,AFC,AFC Central,,,LAST,false,,,
1976,Cleveland,Cleveland Browns,NFL,AFC,AFC Central,,,,false,,,
1977,Cleveland,Cleveland Browns,NFL,AFC,AFC Central,,,LAST,false,,,
1978,Cleveland,Cleveland Browns,NFL,AFC,AFC Central,,,,false,,,
1979,Cleveland,Cleveland Browns,NFL,AFC,AFC Central,,,,false,,,
1980,Cleveland,Cleveland Browns,NFL,AFC,AFC Central,,FIRST_TIED,FIRST_TIED,true,0,false,false
1981,Cleveland,Cleveland Browns,NFL,AFC,AFC Central,,,LAST,false,,,
1982,Cleveland,Cleveland Browns,NFL,AFC,,,,,true,0,false,false
1983,Cleveland,Cleveland Browns,NFL,AFC,AFC Central,,,,false,,,
1984,Cleveland,Cleveland Browns,NFL,AFC,AFC Central,,,,false,,,
1985,Cleveland,Cleveland Browns,NFL,AFC,AFC Central,,,FIRST,true,0,false,false
1986,Cleveland,Cleveland Browns,NFL,AFC,AFC Central,,FIRST,FIRST,true,1,false,false
1987,Cleveland,Cleveland Browns,NFL,AFC,AFC Central,,,FIRST,true,1,false,false
1988,Cleveland,Cleveland Browns,NFL,AFC,AFC Central,,,,true,0,false,false
1989,Cleveland,Cleveland Browns,NFL,AFC,AFC Central,,,FIRST,true,1,false,false
1990,Cleveland,Cleveland Browns,NFL,AFC,AFC Central,,,LAST,false,,,
1991,Cleveland,Cleveland Browns,NFL,AFC,AFC Central,,,,false,,,
1992,Cleveland,Cleveland Browns,NFL,AFC,AFC Central,,,,false,,,
1993,Cleveland,Cleveland Browns,NFL,AFC,AFC Central,,,,false,,,
1994,Cleveland,Cleveland Browns,NFL,AFC,AFC Central,,,,true,1,false,false
1995,Cleveland,Cleveland Browns,NFL,AFC,AFC Central,,,,false,,,
1999,Cleveland,Cleveland Browns,NFL,AFC,AFC Central,LAST,LAST,LAST,false,,,
2000,Cleveland,Cleveland Browns,NFL,AFC,AFC Central,,,LAST,false,,,
2001,Cleveland,Cleveland Browns,NFL,AFC,AFC Central,,,,false,,,
2002,Cleveland,Cleveland Browns,NFL,AFC,AFC North,,,,true,0,false,false
2003,Cleveland,Cleveland Browns,NFL,AFC,AFC North,,,LAST,false,,,
2004,Cleveland,Cleveland Browns,NFL,AFC,AFC North,,LAST_TIED,LAST,false,,,
2005,Cleveland,Cleveland Browns,NFL,AFC,AFC North,,,LAST_TIED,false,,,
2006,Cleveland,Cleveland Browns,NFL,AFC,AFC North,,,LAST,false,,,
2007,Cleveland,Cleveland Browns,NFL,AFC,AFC North,,,FIRST_TIED,false,,,
2008,Cleveland,Cleveland Browns,NFL,AFC,AFC North,,,LAST,false,,,
2009,Cleveland,Cleveland Browns,NFL,AFC,AFC North,,,LAST,false,,,
2010,Cleveland,Cleveland Browns,NFL,AFC,AFC North,,,,false,,,
2011,Cleveland,Cleveland Browns,NFL,AFC,AFC North,,,LAST,false,,,
2012,Cleveland,Cleveland Browns,NFL,AFC,AFC North,,,LAST,false,,,
2013,Cleveland,Cleveland Browns,NFL,AFC,AFC North,,,LAST,false,,,
2014,Cleveland,Cleveland Browns,NFL,AFC,AFC North,,,LAST,false,,,
2015,Cleveland,Cleveland Browns,NFL,AFC,AFC North,LAST_TIED,LAST_TIED,LAST,false,,,
2016,Cleveland,Cleveland Browns,NFL,AFC,AFC North,LAST,LAST,LAST,false,,,
2017,Cleveland,Cleveland Browns,NFL,AFC,AFC North,LAST,LAST,LAST,false,,,
2018,Cleveland,Cleveland Browns,NFL,AFC,AFC North,,,,false,,,
2019,Cleveland,Cleveland Browns,NFL,AFC,AFC North,,,,false,,,
2020,Cleveland,Cleveland Browns,NFL,AFC,AFC North,,,,true,1,false,false
2021,Cleveland,Cleveland Browns,NFL,AFC,AFC North,,,LAST_TIED,false,,,
2022,Cleveland,Cleveland Browns,NFL,AFC,AFC North,,,LAST,false,,,
2023,Cleveland,Cleveland Browns,NFL,AFC,AFC North,,,,true,0,false,false
2024,Cleveland,Cleveland Browns,NFL,AFC,AFC North,LAST_TIED,LAST_TIED,LAST,false,,,
