season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1933,Portsmouth,Portsmouth Spartans,NFL,West,,,,,false,,,
1934,Detroit,Detroit Lions,NFL,West,,,,,false,,,
1935,Detroit,Detroit Lions,NFL,West,,,FIRST,,true,1,true,true
1936,Detroit,Detroit Lions,NFL,West,,,,,false,,,
1937,Detroit,Detroit Lions,NFL,West,,,,,false,,,
1938,Detroit,Detroit Lions,NFL,West,,,,,false,,,
1939,Detroit,Detroit Lions,NFL,West,,,,,false,,,
1940,Detroit,Detroit Lions,NFL,West,,,,,false,,,
1941,Detroit,Detroit Lions,NFL,West,,,,,false,,,
1942,Detroit,Detroit Lions,NFL,West,,LAST,LAST,,false,,,
1943,Detroit,Detroit Lions,NFL,West,,,,,false,,,
1944,Detroit,Detroit Lions,NFL,West,,,,,false,,,
1945,Detroit,Detroit Lions,NFL,West,,,,,false,,,
1946,Detroit,Detroit Lions,NFL,West,,LAST,LAST,,false,,,
1947,Detroit,Detroit Lions,NFL,West,,,LAST,,false,,,
1948,Detroit,Detroit Lions,NFL,West,,LAST,LAST,,false,,,
1949,Detroit,Detroit Lions,NFL,West,,,,,false,,,
1950,Detroit,Detroit Lions,NFL,National,,,,,false,,,
1951,Detroit,Detroit Lions,NFL,National,,,,,false,,,
1952,Detroit,Detroit Lions,NFL,National,,FIRST_TIED,FIRST_TIED,,true,2,true,true
1953,Detroit,Detroit Lions,NFL,West,,,FIRST,,true,1,true,true
1954,Detroit,Detroit Lions,NFL,West,,FIRST,FIRST,,true,0,true,
1955,Detroit,Detroit Lions,NFL,West,,LAST,LAST,,false,,,
1956,Detroit,Detroit Lions,NFL,West,,,,,false,,,
1957,Detroit,Detroit Lions,NFL,West,,,FIRST_TIED,,true,2,true,true
1958,Detroit,Detroit Lions,NFL,West,,,,,false,,,
1959,Detroit,Detroit Lions,NFL,West,,,,,false,,,
1960,Detroit,Detroit Lions,NFL,West,,,,,false,,,
1961,Detroit,Detroit Lions,NFL,West,,,,,false,,,
1962,Detroit,Detroit Lions,NFL,West,,,,,false,,,
1963,Detroit,Detroit Lions,NFL,West,,,,,false,,,
1964,Detroit,Detroit Lions,NFL,West,,,,,false,,,
1965,Detroit,Detroit Lions,NFL,West,,,,,false,,,
1966,Detroit,Detroit Lions,NFL,NFL West,,,LAST_TIED,,false,,,
1967,Detroit,Detroit Lions,NFL,NFL West,Central,,,,false,,,
1968,Detroit,Detroit Lions,NFL,NFL West,Central,,,LAST,false,,,
1969,Detroit,Detroit Lions,NFL,NFL West,Central,,,,false,,,
1970,Detroit,Detroit Lions,NFL,NFC,NFC Central,,,,true,0,false,false
1971,Detroit,Detroit Lions,NFL,NFC,NFC Central,,,,false,,,
1972,Detroit,Detroit Lions,NFL,NFC,NFC Central,,,,false,,,
1973,Detroit,Detroit Lions,NFL,NFC,NFC Central,,,,false,,,
1974,Detroit,Detroit Lions,NFL,NFC,NFC Central,,,,false,,,
1975,Detroit,Detroit Lions,NFL,NFC,NFC Central,,,,false,,,
1976,Detroit,Detroit Lions,NFL,NFC,NFC Central,,,,false,,,
1977,Detroit,Detroit Lions,NFL,NFC,NFC Central,,,,false,,,
1978,Detroit,Detroit Lions,NFL,NFC,NFC Central,,,,false,,,
1979,Detroit,Detroit Lions,NFL,NFC,NFC Central,LAST_TIED,LAST_TIED,LAST,false,,,
1980,Detroit,Detroit Lions,NFL,NFC,NFC Central,,,FIRST_TIED,false,,,
1981,Detroit,Detroit Lions,NFL,NFC,NFC Central,,,,false,,,
1982,Detroit,Detroit Lions,NFL,NFC,,,,,true,0,false,false
1983,Detroit,Detroit Lions,NFL,NFC,NFC Central,,,FIRST,true,0,false,false
1984,Detroit,Detroit Lions,NFL,NFC,NFC Central,,,,false,,,
1985,Detroit,Detroit Lions,NFL,NFC,NFC Central,,,,false,,,
1986,Detroit,Detroit Lions,NFL,NFC,NFC Central,,,,false,,,
1987,Detroit,Detroit Lions,NFL,NFC,NFC Central,,,LAST,false,,,
1988,Detroit,Detroit Lions,NFL,NFC,NFC Central,,,LAST_TIED,false,,,
1989,Detroit,Detroit Lions,NFL,NFC,NFC Central,,,,false,,,
1990,Detroit,Detroit Lions,NFL,NFC,NFC Central,,,LAST_TIED,false,,,
1991,Detroit,Detroit Lions,NFL,NFC,NFC Central,,,FIRST,true,1,false,false
1992,Detroit,Detroit Lions,NFL,NFC,NFC Central,,,LAST_TIED,false,,,
1993,Detroit,Detroit Lions,NFL,NFC,NFC Central,,,FIRST,true,0,false,false
1994,Detroit,Detroit Lions,NFL,NFC,NFC Central,,,,true,0,false,false
1995,Detroit,Detroit Lions,NFL,NFC,NFC Central,,,,true,0,false,false
1996,Detroit,Detroit Lions,NFL,NFC,NFC Central,,,LAST,false,,,
1997,Detroit,Detroit Lions,NFL,NFC,NFC Central,,,,true,0,false,false
1998,Detroit,Detroit Lions,NFL,NFC,NFC Central,,,,false,,,
1999,Detroit,Detroit Lions,NFL,NFC,NFC Central,,,,true,0,false,false
2000,Detroit,Detroit Lions,NFL,NFC,NFC Central,,,,false,,,
2001,Detroit,Detroit Lions,NFL,NFC,NFC Central,,,LAST,false,,,
2002,Detroit,Detroit Lions,NFL,NFC,NFC North,,LAST,LAST,false,,,
2003,Detroit,Detroit Lions,NFL,NFC,NFC North,,,LAST,false,,,
2004,Detroit,Detroit Lions,NFL,NFC,NFC North,,,,false,,,
2005,Detroit,Detroit Lions,NFL,NFC,NFC North,,,,false,,,
2006,Detroit,Detroit Lions,NFL,NFC,NFC North,,LAST,LAST,false,,,
2007,Detroit,Detroit Lions,NFL,NFC,NFC North,,,LAST_TIED,false,,,
2008,Detroit,Detroit Lions,NFL,NFC,NFC North,LAST,LAST,LAST,false,,,
2009,Detroit,Detroit Lions,NFL,NFC,NFC North,,,LAST,false,,,
2010,Detroit,Detroit Lions,NFL,NFC,NFC North,,,LAST_TIED,false,,,
2011,Detroit,Detroit Lions,NFL,NFC,NFC North,,,,true,0,false,false
2012,Detroit,Detroit Lions,NFL,NFC,NFC North,,LAST_TIED,LAST,false,,,
2013,Detroit,Detroit Lions,NFL,NFC,NFC North,,,,false,,,
2014,Detroit,Detroit Lions,NFL,NFC,NFC North,,,,true,0,false,false
2015,Detroit,Detroit Lions,NFL,NFC,NFC North,,,,false,,,
2016,Detroit,Detroit Lions,NFL,NFC,NFC North,,,,true,0,false,false
2017,Detroit,Detroit Lions,NFL,NFC,NFC North,,,,false,,,
2018,Detroit,Detroit Lions,NFL,NFC,NFC North,,,LAST,false,,,
2019,Detroit,Detroit Lions,NFL,NFC,NFC North,,,LAST,false,,,
2020,Detroit,Detroit Lions,NFL,NFC,NFC North,,,LAST,false,,,
2021,Detroit,Detroit Lions,NFL,NFC,NFC North,,LAST,LAST,false,,,
2022,Detroit,Detroit Lions,NFL,NFC,NFC North,,,,false,,,
2023,Detroit,Detroit Lions,NFL,NFC,NFC North,,FIRST_TIED,FIRST,true,2,false,false
2024,Detroit,Detroit Lions,NFL,NFC,NFC North,FIRST_TIED,FIRST,FIRST,true,0,,
