season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
2002,Houston,Houston Texans,NFL,AFC,AFC South,,,LAST,false,,,
2003,Houston,Houston Texans,NFL,AFC,AFC South,,,LAST_TIED,false,,,
2004,Houston,Houston Texans,NFL,AFC,AFC South,,,,false,,,
2005,Houston,Houston Texans,NFL,AFC,AFC South,LAST,LAST,LAST,false,,,
2006,Houston,Houston Texans,NFL,AFC,AFC South,,,LAST,false,,,
2007,Houston,Houston Texans,NFL,AFC,AFC South,,,LAST,false,,,
2008,Houston,Houston Texans,NFL,AFC,AFC South,,,,false,,,
2009,Houston,Houston Texans,NFL,AFC,AFC South,,,,false,,,
2010,Houston,Houston Texans,NFL,AFC,AFC South,,,LAST_TIED,false,,,
2011,Houston,Houston Texans,NFL,AFC,AFC South,,,FIRST,true,1,false,false
2012,Houston,Houston Texans,NFL,AFC,AFC South,,,FIRST,true,1,false,false
2013,Houston,Houston Texans,NFL,AFC,AFC South,LAST,LAST,LAST,false,,,
2014,Houston,Houston Texans,NFL,AFC,AFC South,,,,false,,,
2015,Houston,Houston Texans,NFL,AFC,AFC South,,,FIRST,true,0,false,false
2016,Houston,Houston Texans,NFL,AFC,AFC South,,,FIRST_TIED,true,1,false,false
2017,Houston,Houston Texans,NFL,AFC,AFC South,,,LAST_TIED,false,,,
2018,Houston,Houston Texans,NFL,AFC,AFC South,,,FIRST,true,0,false,false
2019,Houston,Houston Texans,NFL,AFC,AFC South,,,FIRST,true,1,false,false
2020,Houston,Houston Texans,NFL,AFC,AFC South,,,,false,,,
2021,Houston,Houston Texans,NFL,AFC,AFC South,,,,false,,,
2022,Houston,Houston Texans,NFL,AFC,AFC South,,LAST,LAST,false,,,
2023,Houston,Houston Texans,NFL,AFC,AFC South,,,FIRST,true,1,false,false
2024,Houston,Houston Texans,NFL,AFC,AFC South,,,FIRST,true,1,false,false
