season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1966,Boston,Boston Patriots,NFL,AFL East,,,,,false,,,
1967,Boston,Boston Patriots,NFL,AFL East,,,LAST,,false,,,
1968,Boston,Boston Patriots,NFL,AFL East,,,,,false,,,
1969,Boston,Boston Patriots,NFL,AFL East,,,,,false,,,
1970,Boston,Boston Patriots,NFL,AFC,AFC East,LAST,LAST,LAST,false,,,
1971,Boston,New England Patriots,NFL,AFC,AFC East,,,,false,,,
1972,Boston,New England Patriots,NFL,AFC,AFC East,,,LAST,false,,,
1973,Boston,New England Patriots,NFL,AFC,AFC East,,,,false,,,
1974,Boston,New England Patriots,NFL,AFC,AFC East,,,,false,,,
1975,Boston,New England Patriots,NFL,AFC,AFC East,,,LAST_TIED,false,,,
1976,Boston,New England Patriots,NFL,AFC,AFC East,,,FIRST_TIED,true,0,false,false
1977,Boston,New England Patriots,NFL,AFC,AFC East,,,,false,,,
1978,Boston,New England Patriots,NFL,AFC,AFC East,,,FIRST_TIED,true,0,false,false
1979,Boston,New England Patriots,NFL,AFC,AFC East,,,,false,,,
1980,Boston,New England Patriots,NFL,AFC,AFC East,,,,false,,,
1981,Boston,New England Patriots,NFL,AFC,AFC East,LAST_TIED,LAST_TIED,LAST_TIED,false,,,
1982,Boston,New England Patriots,NFL,AFC,,,,,true,0,false,false
1983,Boston,New England Patriots,NFL,AFC,AFC East,,,,false,,,
1984,Boston,New England Patriots,NFL,AFC,AFC East,,,,false,,,
1985,Boston,New England Patriots,NFL,AFC,AFC East,,,,true,3,true,false
1986,Boston,New England Patriots,NFL,AFC,AFC East,,,FIRST,true,0,false,false
1987,Boston,New England Patriots,NFL,AFC,AFC East,,,,false,,,
1988,Boston,New England Patriots,NFL,AFC,AFC East,,,,false,,,
1989,Boston,New England Patriots,NFL,AFC,AFC East,,,,false,,,
1990,Boston,New England Patriots,NFL,AFC,AFC East,LAST,LAST,LAST,false,,,
1991,Boston,New England Patriots,NFL,AFC,AFC East,,,,false,,,
1992,Boston,New England Patriots,NFL,AFC,AFC East,LAST_TIED,LAST_TIED,LAST,false,,,
1993,Boston,New England Patriots,NFL,AFC,AFC East,,,,false,,,
1994,Boston,New England Patriots,NFL,AFC,AFC East,,,FIRST_TIED,true,0,false,false
1995,Boston,New England Patriots,NFL,AFC,AFC East,,,,false,,,
1996,Boston,New England Patriots,NFL,AFC,AFC East,,,FIRST,true,2,true,false
1997,Boston,New England Patriots,NFL,AFC,AFC East,,,FIRST,true,1,false,false
1998,Boston,New England Patriots,NFL,AFC,AFC East,,,,true,0,false,false
1999,Boston,New England Patriots,NFL,AFC,AFC East,,,LAST_TIED,false,,,
2000,Boston,New England Patriots,NFL,AFC,AFC East,,,LAST,false,,,
2001,Boston,New England Patriots,NFL,AFC,AFC East,,,FIRST_TIED,true,3,true,true
2002,Boston,New England Patriots,NFL,AFC,AFC East,,,FIRST_TIED,false,,,
2003,Boston,New England Patriots,NFL,AFC,AFC East,FIRST,FIRST,FIRST,true,3,true,true
2004,Boston,New England Patriots,NFL,AFC,AFC East,,,FIRST,true,3,true,true
2005,Boston,New England Patriots,NFL,AFC,AFC East,,,FIRST,true,1,false,false
2006,Boston,New England Patriots,NFL,AFC,AFC East,,,FIRST,true,2,false,false
2007,Boston,New England Patriots,NFL,AFC,AFC East,FIRST,FIRST,FIRST,true,2,true,false
2008,Boston,New England Patriots,NFL,AFC,AFC East,,,FIRST_TIED,false,,,
2009,Boston,New England Patriots,NFL,AFC,AFC East,,,FIRST,true,0,false,false
2010,Boston,New England Patriots,NFL,AFC,AFC East,FIRST,FIRST,FIRST,true,0,false,false
2011,Boston,New England Patriots,NFL,AFC,AFC East,,FIRST,FIRST,true,2,true,false
2012,Boston,New England Patriots,NFL,AFC,AFC East,,,FIRST,true,1,false,false
2013,Boston,New England Patriots,NFL,AFC,AFC East,,,FIRST,true,1,false,false
2014,Boston,New England Patriots,NFL,AFC,AFC East,FIRST_TIED,FIRST_TIED,FIRST,true,3,true,true
2015,Boston,New England Patriots,NFL,AFC,AFC East,,FIRST_TIED,FIRST,true,1,false,false
2016,Boston,New England Patriots,NFL,AFC,AFC East,FIRST,FIRST,FIRST,true,3,true,true
2017,Boston,New England Patriots,NFL,AFC,AFC East,FIRST_TIED,FIRST_TIED,FIRST,true,2,true,false
2018,Boston,New England Patriots,NFL,AFC,AFC East,,,FIRST,true,3,true,true
2019,Boston,New England Patriots,NFL,AFC,AFC East,,,FIRST,true,0,false,false
2020,Boston,New England Patriots,NFL,AFC,AFC East,,,,false,,,
2021,Boston,New England Patriots,NFL,AFC,AFC East,,,,true,0,false,false
2022,Boston,New England Patriots,NFL,AFC,AFC East,,,,false,,,
2023,Boston,New England Patriots,NFL,AFC,AFC East,,LAST,LAST,false,,,
2024,Boston,New England Patriots,NFL,AFC,AFC East,,,LAST,false,,,
