season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1966,New York,New York Jets,NFL,AFL East,,,,,false,,,
1967,New York,New York Jets,NFL,AFL East,,,,,false,,,
1968,New York,New York Jets,NFL,AFL East,,,FIRST,,true,2,true,true
1969,New York,New York Jets,NFL,AFL East,,,FIRST,,true,0,false,false
1970,New York,New York Jets,NFL,AFC,AFC East,,,,false,,,
1971,New York,New York Jets,NFL,AFC,AFC East,,,,false,,,
1972,New York,New York Jets,NFL,AFC,AFC East,,,,false,,,
1973,New York,New York Jets,NFL,AFC,AFC East,,,LAST_TIED,false,,,
1974,New York,New York Jets,NFL,AFC,AFC East,,,,false,,,
1975,New York,New York Jets,NFL,AFC,AFC East,,,LAST_TIED,false,,,
1976,New York,New York Jets,NFL,AFC,AFC East,,,,false,,,
1977,New York,New York Jets,NFL,AFC,AFC East,,,LAST_TIED,false,,,
1978,New York,New York Jets,NFL,AFC,AFC East,,,,false,,,
1979,New York,New York Jets,NFL,AFC,AFC East,,,,false,,,
1980,New York,New York Jets,NFL,AFC,AFC East,,LAST_TIED,LAST,false,,,
1981,New York,New York Jets,NFL,AFC,AFC East,,,,true,0,false,false
1982,New York,New York Jets,NFL,AFC,,,,,true,2,false,false
1983,New York,New York Jets,NFL,AFC,AFC East,,,LAST_TIED,false,,,
1984,New York,New York Jets,NFL,AFC,AFC East,,,,false,,,
1985,New York,New York Jets,NFL,AFC,AFC East,,,,true,0,false,false
1986,New York,New York Jets,NFL,AFC,AFC East,,,,true,1,false,false
1987,New York,New York Jets,NFL,AFC,AFC East,,,LAST,false,,,
1988,New York,New York Jets,NFL,AFC,AFC East,,,,false,,,
1989,New York,New York Jets,NFL,AFC,AFC East,,LAST,LAST,false,,,
1990,New York,New York Jets,NFL,AFC,AFC East,,,,false,,,
1991,New York,New York Jets,NFL,AFC,AFC East,,,,true,0,false,false
1992,New York,New York Jets,NFL,AFC,AFC East,,,,false,,,
1993,New York,New York Jets,NFL,AFC,AFC East,,,,false,,,
1994,New York,New York Jets,NFL,AFC,AFC East,,,LAST,false,,,
1995,New York,New York Jets,NFL,AFC,AFC East,LAST,LAST,LAST,false,,,
1996,New York,New York Jets,NFL,AFC,AFC East,LAST,LAST,LAST,false,,,
1997,New York,New York Jets,NFL,AFC,AFC East,,,,false,,,
1998,New York,New York Jets,NFL,AFC,AFC East,,,FIRST,true,1,false,false
1999,New York,New York Jets,NFL,AFC,AFC East,,,LAST_TIED,false,,,
2000,New York,New York Jets,NFL,AFC,AFC East,,,,false,,,
2001,New York,New York Jets,NFL,AFC,AFC East,,,,true,0,false,false
2002,New York,New York Jets,NFL,AFC,AFC East,,,FIRST_TIED,true,1,false,false
2003,New York,New York Jets,NFL,AFC,AFC East,,,LAST_TIED,false,,,
2004,New York,New York Jets,NFL,AFC,AFC East,,,,true,1,false,false
2005,New York,New York Jets,NFL,AFC,AFC East,,,LAST,false,,,
2006,New York,New York Jets,NFL,AFC,AFC East,,,,true,0,false,false
2007,New York,New York Jets,NFL,AFC,AFC East,,,,false,,,
2008,New York,New York Jets,NFL,AFC,AFC East,,,,false,,,
2009,New York,New York Jets,NFL,AFC,AFC East,,,,true,2,false,false
2010,New York,New York Jets,NFL,AFC,AFC East,,,,true,2,false,false
2011,New York,New York Jets,NFL,AFC,AFC East,,,,false,,,
2012,New York,New York Jets,NFL,AFC,AFC East,,,LAST_TIED,false,,,
2013,New York,New York Jets,NFL,AFC,AFC East,,,,false,,,
2014,New York,New York Jets,NFL,AFC,AFC East,,,LAST,false,,,
2015,New York,New York Jets,NFL,AFC,AFC East,,,,false,,,
2016,New York,New York Jets,NFL,AFC,AFC East,,,LAST,false,,,
2017,New York,New York Jets,NFL,AFC,AFC East,,,LAST,false,,,
2018,New York,New York Jets,NFL,AFC,AFC East,,LAST_TIED,LAST,false,,,
2019,New York,New York Jets,NFL,AFC,AFC East,,,,false,,,
2020,New York,New York Jets,NFL,AFC,AFC East,,,LAST,false,,,
2021,New York,New York Jets,NFL,AFC,AFC East,,,LAST,false,,,
2022,New York,New York Jets,NFL,AFC,AFC East,,,LAST,false,,,
2023,New York,New York Jets,NFL,AFC,AFC East,,,,false,,,
2024,New York,New York Jets,NFL,AFC,AFC East,,,,false,,,
