season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1933,Philadelphia,Philadelphia Eagles,NFL,East,,,,,false,,,
1934,Philadelphia,Philadelphia Eagles,NFL,East,,,,,false,,,
1935,Philadelphia,Philadelphia Eagles,NFL,East,,LAST,LAST,,false,,,
1936,Philadelphia,Philadelphia Eagles,NFL,East,,LAST,LAST,,false,,,
1937,Philadelphia,Philadelphia Eagles,NFL,East,,,LAST,,false,,,
1938,Philadelphia,Philadelphia Eagles,NFL,East,,,,,false,,,
1939,Philadelphia,Philadelphia Eagles,NFL,East,,,LAST_TIED,,false,,,
1940,Philadelphia,Philadelphia Eagles,NFL,East,,LAST,LAST,,false,,,
1941,Philadelphia,Philadelphia Eagles,NFL,East,,,,,false,,,
1942,Philadelphia,Philadelphia Eagles,NFL,East,,,LAST,,false,,,
1943,Philadelphia,Steagles,NFL,East,,,,,false,,,
1944,Philadelphia,Philadelphia Eagles,NFL,East,,,,,false,,,
1945,Philadelphia,Philadelphia Eagles,NFL,East,,,,,false,,,
1946,Philadelphia,Philadelphia Eagles,NFL,East,,,,,false,,,
1947,Philadelphia,Philadelphia Eagles,NFL,East,,,FIRST_TIED,,true,1,true,
1948,Philadelphia,Philadelphia Eagles,NFL,East,,,FIRST,,true,1,true,true
1949,Philadelphia,Philadelphia Eagles,NFL,East,,FIRST,FIRST,,true,1,true,true
1950,Philadelphia,Philadelphia Eagles,NFL,American,,,,,false,,,
1951,Philadelphia,Philadelphia Eagles,NFL,American,,,,,false,,,
1952,Philadelphia,Philadelphia Eagles,NFL,American,,,,,false,,,
1953,Philadelphia,Philadelphia Eagles,NFL,East,,,,,false,,,
1954,Philadelphia,Philadelphia Eagles,NFL,East,,,,,false,,,
1955,Philadelphia,Philadelphia Eagles,NFL,East,,,,,false,,,
1956,Philadelphia,Philadelphia Eagles,NFL,East,,LAST,LAST,,false,,,
1957,Philadelphia,Philadelphia Eagles,NFL,East,,,,,false,,,
1958,Philadelphia,Philadelphia Eagles,NFL,East,,,LAST,,false,,,
1959,Philadelphia,Philadelphia Eagles,NFL,East,,,,,false,,,
1960,Philadelphia,Philadelphia Eagles,NFL,East,,FIRST,FIRST,,true,1,true,true
1961,Philadelphia,Philadelphia Eagles,NFL,East,,,,,false,,,
1962,Philadelphia,Philadelphia Eagles,NFL,East,,,LAST,,false,,,
1963,Philadelphia,Philadelphia Eagles,NFL,East,,,LAST,,false,,,
1964,Philadelphia,Philadelphia Eagles,NFL,East,,,,,false,,,
1965,Philadelphia,Philadelphia Eagles,NFL,East,,,,,false,,,
1966,Philadelphia,Philadelphia Eagles,NFL,NFL East,,,,,false,,,
1967,Philadelphia,Philadelphia Eagles,NFL,NFL East,Capitol,,,,false,,,
1968,Philadelphia,Philadelphia Eagles,NFL,NFL East,Capitol,,LAST,LAST,false,,,
1969,Philadelphia,Philadelphia Eagles,NFL,NFL East,Capitol,,,LAST,false,,,
1970,Philadelphia,Philadelphia Eagles,NFL,NFC,NFC East,,,LAST,false,,,
1971,Philadelphia,Philadelphia Eagles,NFL,NFC,NFC East,,,,false,,,
1972,Philadelphia,Philadelphia Eagles,NFL,NFC,NFC East,,LAST_TIED,LAST,false,,,
