season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1950,San Francisco Bay,San Francisco 49ers,NFL,National,,,,,false,,,
1951,San Francisco Bay,San Francisco 49ers,NFL,National,,,,,false,,,
1952,San Francisco Bay,San Francisco 49ers,NFL,National,,,,,false,,,
1953,San Francisco Bay,San Francisco 49ers,NFL,West,,,,,false,,,
1954,San Francisco Bay,San Francisco 49ers,NFL,West,,,,,false,,,
1955,San Francisco Bay,San Francisco 49ers,NFL,West,,,,,false,,,
1956,San Francisco Bay,San Francisco 49ers,NFL,West,,,,,false,,,
1957,San Francisco Bay,San Francisco 49ers,NFL,West,,,FIRST_TIED,,true,0,false,false
1958,San Francisco Bay,San Francisco 49ers,NFL,West,,,,,false,,,
1959,San Francisco Bay,San Francisco 49ers,NFL,West,,,,,false,,,
1960,San Francisco Bay,San Francisco 49ers,NFL,West,,,,,false,,,
1961,San Francisco Bay,San Francisco 49ers,NFL,West,,,,,false,,,
1962,San Francisco Bay,San Francisco 49ers,NFL,West,,,,,false,,,
1963,San Francisco Bay,San Francisco 49ers,NFL,West,,LAST,LAST,,false,,,
1964,San Francisco Bay,San Francisco 49ers,NFL,West,,,LAST,,false,,,
1965,San Francisco Bay,San Francisco 49ers,NFL,West,,,,,false,,,
1966,San Francisco Bay,San Francisco 49ers,NFL,NFL West,,,,,false,,,
1967,San Francisco Bay,San Francisco 49ers,NFL,NFL West,Coastal,,,,false,,,
1968,San Francisco Bay,San Francisco 49ers,NFL,NFL West,Coastal,,,,false,,,
1969,San Francisco Bay,San Francisco 49ers,NFL,NFL West,Coastal,,,LAST,false,,,
1970,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,FIRST,true,1,false,false
1971,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,FIRST,true,1,false,false
1972,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,FIRST,true,0,false,false
1973,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,LAST_TIED,false,,,
1974,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,,false,,,
1975,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,,false,,,
1976,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,,false,,,
1977,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,,false,,,
1978,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,LAST,LAST,LAST,false,,,
1979,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,LAST_TIED,LAST_TIED,LAST,false,,,
1980,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,,false,,,
1981,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,FIRST,FIRST,FIRST,true,3,true,true
1982,San Francisco Bay,San Francisco 49ers,NFL,NFC,,,,,false,,,
1983,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,FIRST,true,1,false,false
1984,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,FIRST,FIRST,FIRST,true,3,true,true
1985,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,,true,0,false,false
1986,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,FIRST,true,0,false,false
1987,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,FIRST,FIRST,FIRST,true,0,false,false
1988,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,FIRST_TIED,true,3,true,true
1989,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,FIRST,FIRST,FIRST,true,3,true,true
1990,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,FIRST,FIRST,FIRST,true,1,false,false
1991,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,,false,,,
1992,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,FIRST,FIRST,FIRST,true,1,false,false
1993,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,FIRST,true,1,false,false
1994,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,FIRST,FIRST,FIRST,true,3,true,true
1995,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,FIRST,true,0,false,false
1996,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,FIRST_TIED,true,1,false,false
1997,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,FIRST_TIED,FIRST_TIED,FIRST,true,1,false,false
1998,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,,true,1,false,false
1999,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,,false,,,
2000,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,,false,,,
2001,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,,true,0,false,false
2002,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,FIRST,true,1,false,false
2003,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,,false,,,
2004,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,LAST,LAST,LAST,false,,,
2005,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,LAST,false,,,
2006,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,,false,,,
2007,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,,false,,,
2008,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,,false,,,
2009,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,,false,,,
2010,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,,false,,,
2011,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,FIRST,true,1,false,false
2012,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,FIRST,true,2,true,false
2013,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,,true,2,false,false
2014,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,,false,,,
2015,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,LAST,false,,,
2016,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,LAST,LAST,false,,,
2017,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,LAST,false,,,
2018,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,,false,,,
2019,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,FIRST_TIED,FIRST,true,2,true,false
2020,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,LAST,false,,,
2021,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,,true,2,false,false
2022,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,FIRST,true,2,false,false
2023,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,FIRST_TIED,FIRST,true,2,true,false
2024,San Francisco Bay,San Francisco 49ers,NFL,NFC,NFC West,,,LAST,false,,,
