season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1976,Tampa Bay,Tampa Bay Buccaneers,NFL,AFC,AFC West,LAST,LAST,LAST,false,,,
1977,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,LAST_TIED,LAST,LAST,false,,,
1978,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,LAST,false,,,
1979,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,FIRST_TIED,true,1,false,false
1980,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,LAST_TIED,false,,,
1981,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,FIRST,true,0,false,false
1982,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,,,,,true,0,false,false
1983,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,LAST_TIED,LAST,LAST,false,,,
1984,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,,false,,,
1985,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,LAST_TIED,LAST,LAST,false,,,
1986,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,LAST,LAST,LAST,false,,,
1987,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,LAST_TIED,false,,,
1988,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,,false,,,
1989,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,LAST,false,,,
1990,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,LAST_TIED,false,,,
1991,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,LAST_TIED,LAST,false,,,
1992,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,LAST_TIED,false,,,
1993,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,LAST,false,,,
1994,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,LAST,false,,,
1995,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,LAST,false,,,
1996,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,,false,,,
1997,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,,true,1,false,false
1998,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,,false,,,
1999,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,FIRST,true,1,false,false
2000,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,,true,0,false,false
2001,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,,true,0,false,false
2002,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,FIRST_TIED,FIRST_TIED,FIRST,true,3,true,true
2003,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,,false,,,
2004,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,LAST,false,,,
2005,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,FIRST_TIED,true,0,false,false
2006,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,LAST,false,,,
2007,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,FIRST,true,0,false,false
2008,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,,false,,,
2009,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,LAST,false,,,
2010,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,,false,,,
2011,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,LAST,false,,,
2012,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,LAST_TIED,false,,,
2013,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,LAST_TIED,false,,,
2014,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,LAST_TIED,LAST,LAST,false,,,
2015,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,LAST,false,,,
2016,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,,false,,,
2017,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,LAST,false,,,
2018,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,LAST,false,,,
2019,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,,false,,,
2020,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,,true,4,true,true
2021,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,FIRST_TIED,FIRST_TIED,FIRST,true,1,false,false
2022,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,FIRST,true,0,false,false
2023,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,FIRST_TIED,true,1,false,false
2024,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,FIRST,true,0,false,false
