season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1933,Boston,Boston Redskins,NFL,East,,,,,false,,,
1934,Boston,Boston Redskins,NFL,East,,,,,false,,,
1935,Boston,Boston Redskins,NFL,East,,,,,false,,,
1936,Boston,Boston Redskins,NFL,East,,,FIRST,,true,0,true,false
1937,Washington,Washington Redskins,NFL,East,,,FIRST,,true,1,true,true
1938,Washington,Washington Redskins,NFL,East,,,,,false,,,
1939,Washington,Washington Redskins,NFL,East,,,,,false,,,
1940,Washington,Washington Redskins,NFL,East,,FIRST,FIRST,,true,0,true,false
1941,Washington,Washington Redskins,NFL,East,,,,,false,,,
1942,Washington,Washington Redskins,NFL,East,,,FIRST,,true,1,true,true
1943,Washington,Washington Redskins,NFL,East,,,FIRST_TIED,,true,1,true,false
1944,Washington,Washington Redskins,NFL,East,,,,,false,,,
1945,Washington,Washington Redskins,NFL,East,,,FIRST,,true,0,true,false
1946,Washington,Washington Redskins,NFL,East,,,,,false,,,
1947,Washington,Washington Redskins,NFL,East,,,,,false,,,
1948,Washington,Washington Redskins,NFL,East,,,,,false,,,
1949,Washington,Washington Redskins,NFL,East,,,,,false,,,
1950,Washington,Washington Redskins,NFL,American,,,LAST,,false,,,
1951,Washington,Washington Redskins,NFL,American,,,,,false,,,
1952,Washington,Washington Redskins,NFL,American,,,LAST,,false,,,
1953,Washington,Washington Redskins,NFL,East,,,,,false,,,
1954,Washington,Washington Redskins,NFL,East,,,,,false,,,
1955,Washington,Washington Redskins,NFL,East,,,,,false,,,
1956,Washington,Washington Redskins,NFL,East,,,,,false,,,
1957,Washington,Washington Redskins,NFL,East,,,,,false,,,
1958,Washington,Washington Redskins,NFL,East,,,,,false,,,
1959,Washington,Washington Redskins,NFL,East,,,,,false,,,
1960,Washington,Washington Redskins,NFL,East,,,LAST,,false,,,
1961,Washington,Washington Redskins,NFL,East,,LAST,LAST,,false,,,
1962,Washington,Washington Redskins,NFL,East,,,,,false,,,
1963,Washington,Washington Redskins,NFL,East,,,,,false,,,
1964,Washington,Washington Redskins,NFL,East,,,,,false,,,
1965,Washington,Washington Redskins,NFL,East,,,,,false,,,
1966,Washington,Washington Redskins,NFL,NFL East,,,,,false,,,
1967,Washington,Washington Redskins,NFL,NFL East,Capitol,,,,false,,,
1968,Washington,Washington Redskins,NFL,NFL East,Capitol,,,,false,,,
1969,Washington,Washington Redskins,NFL,NFL East,Capitol,,,,false,,,
1970,Washington,Washington Redskins,NFL,NFC,NFC East,,,,false,,,
1971,Washington,Washington Redskins,NFL,NFC,NFC East,,,,true,0,false,false
1972,Washington,Washington Redskins,NFL,NFC,NFC East,,FIRST,FIRST,true,2,true,false
1973,Washington,Washington Redskins,NFL,NFC,NFC East,,,FIRST_TIED,true,0,false,false
1974,Washington,Washington Redskins,NFL,NFC,NFC East,,FIRST_TIED,FIRST_TIED,true,0,false,false
1975,Washington,Washington Redskins,NFL,NFC,NFC East,,,,false,,,
1976,Washington,Washington Redskins,NFL,NFC,NFC East,,,,true,0,false,false
1977,Washington,Washington Redskins,NFL,NFC,NFC East,,,,false,,,
1978,Washington,Washington Redskins,NFL,NFC,NFC East,,,,false,,,
1979,Washington,Washington Redskins,NFL,NFC,NFC East,,,,false,,,
1980,Washington,Washington Redskins,NFL,NFC,NFC East,,,,false,,,
1981,Washington,Washington Redskins,NFL,NFC,NFC East,,,,false,,,
1982,Washington,Washington Redskins,NFL,NFC,,FIRST_TIED,FIRST,,true,3,true,true
