franchise_id,season_id,metro_id,team_name,league_id,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
99,25,38,Ottawa Senators,4,Canadian,,FIRST,FIRST,,true,2,true,true
92,25,32,Montreal Canadiens,4,Canadian,,,,,true,1,false,false
93,25,32,Montreal Maroons,4,Canadian,,,,,true,0,false,false
96,25,35,New York Americans,4,Canadian,,,,,false,,,
108,25,59,Toronto St. Patricks,4,Canadian,,,LAST,,false,,,
98,25,35,New York Rangers,4,American,,,FIRST,,true,0,false,false
78,25,5,Boston Bruins,4,American,,,,,true,2,true,false
83,25,9,Chicago Black Hawks,4,American,,,,,true,0,false,false
103,25,41,Pittsburgh Pirates,4,American,,,,,false,,,
87,25,16,Detroit Cougars,4,American,,LAST,LAST,,false,,,
78,27,5,Boston Bruins,4,American,,,FIRST,,true,0,false,false
98,27,35,New York Rangers,4,American,,,,,true,3,true,true
103,27,41,Pittsburgh Pirates,4,American,,,,,true,0,false,false
87,27,16,Detroit Cougars,4,American,,,,,false,,,
83,27,9,Chicago Black Hawks,4,American,,LAST,LAST,,false,,,
92,27,32,Montreal Canadiens,4,Canadian,,FIRST,FIRST,,true,0,false,false
93,27,32,Montreal Maroons,4,Canadian,,,,,true,2,true,false
99,27,38,Ottawa Senators,4,Canadian,,,,,true,0,false,false
108,27,59,Toronto Maple Leafs,4,Canadian,,,,,false,,,
96,27,35,New York Americans,4,Canadian,,,LAST,,false,,,
78,29,5,Boston Bruins,4,American,,,FIRST,,true,2,true,true
98,29,35,New York Rangers,4,American,,,,,true,2,true,false
87,29,16,Detroit Cougars,4,American,,,,,true,0,false,false
103,29,41,Pittsburgh Pirates,4,American,,,,,false,,,
83,29,9,Chicago Black Hawks,4,American,,LAST,LAST,,false,,,
92,29,32,Montreal Canadiens,4,Canadian,,FIRST,FIRST,,true,0,false,false
96,29,35,New York Americans,4,Canadian,,,,,true,0,false,false
108,29,59,Toronto Maple Leafs,4,Canadian,,,,,true,1,false,false
99,29,38,Ottawa Senators,4,Canadian,,,,,false,,,
93,29,32,Montreal Maroons,4,Canadian,,,LAST,,false,,,
78,31,5,Boston Bruins,4,American,,FIRST,FIRST,,true,1,true,false
83,31,9,Chicago Black Hawks,4,American,,,,,true,0,false,false
98,31,35,New York Rangers,4,American,,,,,true,1,false,false
87,31,16,Detroit Cougars,4,American,,,,,false,,,
103,31,41,Pittsburgh Pirates,4,American,,LAST,LAST,,false,,,
93,31,32,Montreal Maroons,4,Canadian,,,FIRST_TIED,,true,0,false,false
92,31,32,Montreal Canadiens,4,Canadian,,,FIRST_TIED,,true,3,true,true
99,31,38,Ottawa Senators,4,Canadian,,,,,true,0,false,false
108,31,59,Toronto Maple Leafs,4,Canadian,,,,,false,,,
96,31,35,New York Americans,4,Canadian,,,LAST,,false,,,
78,33,5,Boston Bruins,4,American,,FIRST,FIRST,,true,0,false,false
83,33,9,Chicago Black Hawks,4,American,,,,,true,2,true,false
98,33,35,New York Rangers,4,American,,,,,true,1,false,false
87,33,16,Detroit Falcons,4,American,,,,,false,,,
103,33,39,Philadelphia Quakers,4,American,,LAST,LAST,,false,,,
92,33,32,Montreal Canadiens,4,Canadian,,,FIRST,,true,2,true,true
108,33,59,Toronto Maple Leafs,4,Canadian,,,,,true,0,false,false
93,33,32,Montreal Maroons,4,Canadian,,,,,true,0,false,false
96,33,35,New York Americans,4,Canadian,,,,,false,,,
99,33,38,Ottawa Senators,4,Canadian,,,LAST,,false,,,
98,35,35,New York Rangers,4,American,,,FIRST,,true,1,true,false
83,35,9,Chicago Black Hawks,4,American,,,,,true,0,false,false
87,35,16,Detroit Falcons,4,American,,,,,true,0,false,false
78,35,5,Boston Bruins,4,American,,,LAST,,false,,,
92,35,32,Montreal Canadiens,4,Canadian,,FIRST,FIRST,,true,0,false,false
108,35,59,Toronto Maple Leafs,4,Canadian,,,,,true,3,true,true
93,35,32,Montreal Maroons,4,Canadian,,,,,true,1,false,false
96,35,35,New York Americans,4,Canadian,,LAST,LAST,,false,,,
