id,name,start_year,end_year,league_id,total_major_divisions,total_minor_divisions,postseason_rounds
25,1926-27 NHL Season,1926,1927,4,2,0,3
27,1927-28 NHL Season,1927,1928,4,2,0,3
29,1928-29 NHL Season,1928,1929,4,2,0,3
31,1929-30 NHL Season,1929,1930,4,2,0,3
33,1930-31 NHL Season,1930,1931,4,2,0,3
35,1931-32 NHL Season,1931,1932,4,2,0,3
37,1932-33 NHL Season,1932,1933,4,2,0,3
40,1933-34 NHL Season,1933,1934,4,2,0,3
43,1934-35 NHL Season,1934,1935,4,2,0,3
46,1935-36 NHL Season,1935,1936,4,2,0,3
49,1936-37 NHL Season,1936,1937,4,2,0,3
52,1937-38 NHL Season,1937,1938,4,2,0,3
55,1938-39 NHL Season,1938,1939,4,0,0,3
58,1939-40 NHL Season,1939,1940,4,0,0,3
61,1940-41 NHL Season,1940,1941,4,0,0,3
64,1941-42 NHL Season,1941,1942,4,0,0,3
67,1942-43 NHL Season,1942,1943,4,0,0,2
70,1943-44 NHL Season,1943,1944,4,0,0,2
73,1944-45 NHL Season,1944,1945,4,0,0,2
76,1945-46 NHL Season,1945,1946,4,0,0,2
79,1946-47 NHL Season,1946,1947,4,0,0,2
83,1947-48 NHL Season,1947,1948,4,0,0,2
87,1948-49 NHL Season,1948,1949,4,0,0,2
91,1949-50 NHL Season,1949,1950,4,0,0,2
95,1950-51 NHL Season,1950,1951,4,0,0,2
99,1951-52 NHL Season,1951,1952,4,0,0,2
103,1952-53 NHL Season,1952,1953,4,0,0,2
107,1953-54 NHL Season,1953,1954,4,0,0,2
111,1954-55 NHL Season,1954,1955,4,0,0,2
115,1955-56 NHL Season,1955,1956,4,0,0,2
119,1956-57 NHL Season,1956,1957,4,0,0,2
123,1957-58 NHL Season,1957,1958,4,0,0,2
127,1958-59 NHL Season,1958,1959,4,0,0,2
131,1959-60 NHL Season,1959,1960,4,0,0,2
135,1960-61 NHL Season,1960,1961,4,0,0,2
139,1961-62 NHL Season,1961,1962,4,0,0,2
143,1962-63 NHL Season,1962,1963,4,0,0,2
147,1963-64 NHL Season,1963,1964,4,0,0,2
151,1964-65 NHL Season,1964,1965,4,0,0,2
155,1965-66 NHL Season,1965,1966,4,0,0,2
159,1966-67 NHL Season,1966,1967,4,0,0,2
163,1967-68 NHL Season,1967,1968,4,2,0,3
167,1968-69 NHL Season,1968,1969,4,2,0,3
171,1969-70 NHL Season,1969,1970,4,2,0,3
175,1970-71 NHL Season,1970,1971,4,2,0,3
179,1971-72 NHL Season,1971,1972,4,2,0,3
183,1972-73 NHL Season,1972,1973,4,2,0,3
187,1973-74 NHL Season,1973,1974,4,2,0,3
191,1974-75 NHL Season,1974,1975,4,2,4,4
195,1975-76 NHL Season,1975,1976,4,2,4,4
199,1976-77 NHL Season,1976,1977,4,2,4,4
203,1977-78 NHL Season,1977,1978,4,2,4,4
207,1978-79 NHL Season,1978,1979,4,2,4,4
211,1979-80 NHL Season,1979,1980,4,2,4,4
215,1980-81 NHL Season,1980,1981,4,2,4,4
219,1981-82 NHL Season,1981,1982,4,2,4,4
223,1982-83 NHL Season,1982,1983,4,2,4,4
227,1983-84 NHL Season,1983,1984,4,2,4,4
231,1984-85 NHL Season,1984,1985,4,2,4,4
235,1985-86 NHL Season,1985,1986,4,2,4,4
239,1986-87 NHL Season,1986,1987,4,2,4,4
243,1987-88 NHL Season,1987,1988,4,2,4,4
247,1988-89 NHL Season,1988,1989,4,2,4,4
251,1989-90 NHL Season,1989,1990,4,2,4,4
255,1990-91 NHL Season,1990,1991,4,2,4,4
259,1991-92 NHL Season,1991,1992,4,2,4,4
263,1992-93 NHL Season,1992,1993,4,2,4,4
267,1993-94 NHL Season,1993,1994,4,2,4,4
271,1994-95 NHL Season,1994,1995,4,2,4,4
275,1995-96 NHL Season,1995,1996,4,2,4,4
280,1996-97 NHL Season,1996,1997,4,2,4,4
286,1997-98 NHL Season,1997,1998,4,2,4,4
292,1998-99 NHL Season,1998,1999,4,2,6,4
298,1999-00 NHL Season,1999,2000,4,2,6,4
304,2000-01 NHL Season,2000,2001,4,2,6,4
310,2001-02 NHL Season,2001,2002,4,2,6,4
316,2002-03 NHL Season,2002,2003,4,2,6,4
322,2003-04 NHL Season,2003,2004,4,2,6,4
333,2005-06 NHL Season,2005,2006,4,2,6,4
339,2006-07 NHL Season,2006,2007,4,2,6,4
345,2007-08 NHL Season,2007,2008,4,2,6,4
351,2008-09 NHL Season,2008,2009,4,2,6,4
357,2009-10 NHL Season,2009,2010,4,2,6,4
363,2010-11 NHL Season,2010,2011,4,2,6,4
369,2011-12 NHL Season,2011,2012,4,2,6,4
375,2012-13 NHL Season,2012,2013,4,2,6,4
381,2013-14 NHL Season,2013,2014,4,2,4,4
387,2014-15 NHL Season,2014,2015,4,2,4,4
393,2015-16 NHL Season,2015,2016,4,2,4,4
399,2016-17 NHL Season,2016,2017,4,2,4,4
405,2017-18 NHL Season,2017,2018,4,2,4,4
411,2018-19 NHL Season,2018,2019,4,2,4,4
417,2019-20 NHL Season,2019,2020,4,2,4,5
423,2020-21 NHL Season,2020,2021,4,4,0,4
429,2021-22 NHL Season,2021,2022,4,2,4,4
435,2022-23 NHL Season,2022,2023,4,2,4,4
441,2023-24 NHL Season,2023,2024,4,2,4,4
447,2024-25 NHL Season,2024,2025,4,2,4,4
