season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1979,Winnipeg,Winnipeg Jets,NHL,Campbell,Smythe,LAST_TIED,LAST_TIED,LAST_TIED,false,,,
1980,Winnipeg,Winnipeg Jets,NHL,Campbell,Smythe,LAST,LAST,LAST,false,,,
1981,Winnipeg,Winnipeg Jets,NHL,Campbell,Norris,,,,true,0,false,false
1982,Winnipeg,Winnipeg Jets,NHL,Campbell,Smythe,,,,true,0,false,false
1983,Winnipeg,Winnipeg Jets,NHL,Campbell,Smythe,,,,true,0,false,false
1984,Winnipeg,Winnipeg Jets,NHL,Campbell,Smythe,,,,true,1,false,false
1985,Winnipeg,Winnipeg Jets,NHL,Campbell,Smythe,,,,true,0,false,false
1986,Winnipeg,Winnipeg Jets,NHL,Campbell,Smythe,,,,true,1,false,false
1987,Winnipeg,Winnipeg Jets,NHL,Campbell,Smythe,,,,true,0,false,false
1988,Winnipeg,Winnipeg Jets,NHL,Campbell,Smythe,,,LAST,false,,,
1989,Winnipeg,Winnipeg Jets,NHL,Campbell,Smythe,,,,true,0,false,false
1990,Winnipeg,Winnipeg Jets,NHL,Campbell,Smythe,,,LAST,false,,,
1991,Winnipeg,Winnipeg Jets,NHL,Campbell,Smythe,,,,true,0,false,false
1992,Winnipeg,Winnipeg Jets,NHL,Campbell,Smythe,,,,true,0,false,false
1993,Winnipeg,Winnipeg Jets,NHL,Western,Central,,LAST,LAST,false,,,
1994,Winnipeg,Winnipeg Jets,NHL,Western,Central,,,LAST,false,,,
1995,Winnipeg,Winnipeg Jets,NHL,Western,Central,,,,true,0,false,false
1996,Phoenix,Phoenix Coyotes,NHL,Western,Central,,,,true,0,false,false
1997,Phoenix,Phoenix Coyotes,NHL,Western,Central,,,,true,0,false,false
1998,Phoenix,Phoenix Coyotes,NHL,Western,Pacific,,,,true,0,false,false
1999,Phoenix,Phoenix Coyotes,NHL,Western,Pacific,,,,true,0,false,false
2000,Phoenix,Phoenix Coyotes,NHL,Western,Pacific,,,,false,,,
2001,Phoenix,Phoenix Coyotes,NHL,Western,Pacific,,,,true,0,false,false
2002,Phoenix,Phoenix Coyotes,NHL,Western,Pacific,,,,false,,,
2003,Phoenix,Phoenix Coyotes,NHL,Western,Pacific,,,LAST,false,,,
2005,Phoenix,Phoenix Coyotes,NHL,Western,Pacific,,,LAST,false,,,
2006,Phoenix,Phoenix Coyotes,NHL,Western,Pacific,,LAST,LAST,false,,,
2007,Phoenix,Phoenix Coyotes,NHL,Western,Pacific,,,,false,,,
2008,Phoenix,Phoenix Coyotes,NHL,Western,Pacific,,,LAST_TIED,false,,,
2009,Phoenix,Phoenix Coyotes,NHL,Western,Pacific,,,,true,0,false,false
2010,Phoenix,Phoenix Coyotes,NHL,Western,Pacific,,,,true,0,false,false
2011,Phoenix,Phoenix Coyotes,NHL,Western,Pacific,,,FIRST,true,2,false,false
2012,Phoenix,Phoenix Coyotes,NHL,Western,Pacific,,,,false,,,
2013,Phoenix,Phoenix Coyotes,NHL,Western,Pacific,,,,false,,,
2014,Phoenix,Arizona Coyotes,NHL,Western,Pacific,,LAST,LAST,false,,,
2015,Phoenix,Arizona Coyotes,NHL,Western,Pacific,,,,false,,,
2016,Phoenix,Arizona Coyotes,NHL,Western,Pacific,,,,false,,,
2017,Phoenix,Arizona Coyotes,NHL,Western,Pacific,,LAST,LAST,false,,,
2018,Phoenix,Arizona Coyotes,NHL,Western,Pacific,,,,false,,,
2019,Phoenix,Arizona Coyotes,NHL,Western,Pacific,,,,true,1,false,false
2020,Phoenix,Arizona Coyotes,NHL,West,,,,,false,,,
2021,Phoenix,Arizona Coyotes,NHL,Western,Central,,LAST,LAST,false,,,
2022,Phoenix,Arizona Coyotes,NHL,Western,Central,,,,false,,,
2023,Phoenix,Arizona Coyotes,NHL,Western,Central,,,,false,,,
