season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1926,Boston,Boston Bruins,NHL,American,,,,,true,2,true,false
1927,Boston,Boston Bruins,NHL,American,,,FIRST,,true,0,false,false
1928,Boston,Boston Bruins,NHL,American,,,FIRST,,true,2,true,true
1929,Boston,Boston Bruins,NHL,American,,FIRST,FIRST,,true,1,true,false
1930,Boston,Boston Bruins,NHL,American,,FIRST,FIRST,,true,0,false,false
1931,Boston,Boston Bruins,NHL,American,,,LAST,,false,,,
1932,Boston,Boston Bruins,NHL,American,,FIRST_TIED,FIRST_TIED,,true,0,false,false
1933,Boston,Boston Bruins,NHL,American,,,LAST,,false,,,
1934,Boston,Boston Bruins,NHL,American,,,FIRST,,true,0,false,false
1935,Boston,Boston Bruins,NHL,American,,,LAST_TIED,,true,0,false,false
1936,Boston,Boston Bruins,NHL,American,,,,,true,0,false,false
1937,Boston,Boston Bruins,NHL,American,,FIRST,FIRST,,true,0,false,false
1938,Boston,Boston Bruins,NHL,,,FIRST,,,true,2,true,true
1939,Boston,Boston Bruins,NHL,,,FIRST,,,true,0,false,false
1940,Boston,Boston Bruins,NHL,,,FIRST,,,true,2,true,true
1941,Boston,Boston Bruins,NHL,,,,,,true,1,false,false
1942,Boston,Boston Bruins,NHL,,,,,,true,1,true,false
1943,Boston,Boston Bruins,NHL,,,,,,false,,,
1944,Boston,Boston Bruins,NHL,,,,,,true,0,false,false
1945,Boston,Boston Bruins,NHL,,,,,,true,1,true,false
1946,Boston,Boston Bruins,NHL,,,,,,true,0,false,false
1947,Boston,Boston Bruins,NHL,,,,,,true,0,false,false
1948,Boston,Boston Bruins,NHL,,,,,,true,0,false,false
1949,Boston,Boston Bruins,NHL,,,,,,false,,,
1950,Boston,Boston Bruins,NHL,,,,,,true,0,false,false
1951,Boston,Boston Bruins,NHL,,,,,,true,0,false,false
1952,Boston,Boston Bruins,NHL,,,,,,true,1,true,false
1953,Boston,Boston Bruins,NHL,,,,,,true,0,false,false
1954,Boston,Boston Bruins,NHL,,,,,,true,0,false,false
1955,Boston,Boston Bruins,NHL,,,,,,false,,,
