season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1972,Atlanta,Atlanta Flames,NHL,West,,,,,false,,,
1973,Atlanta,Atlanta Flames,NHL,West,,,,,true,0,false,false
1974,Atlanta,Atlanta Flames,NHL,Campbell,Patrick,,,LAST,false,,,
1975,Atlanta,Atlanta Flames,NHL,Campbell,Patrick,,,,true,0,false,false
1976,Atlanta,Atlanta Flames,NHL,Campbell,Patrick,,,,true,0,false,false
1977,Atlanta,Atlanta Flames,NHL,Campbell,Patrick,,,,true,0,false,false
1978,Atlanta,Atlanta Flames,NHL,Campbell,Patrick,,,LAST,true,0,false,false
1979,Atlanta,Atlanta Flames,NHL,Campbell,Patrick,,,,true,0,false,false
1980,Calgary,Calgary Flames,NHL,Campbell,Patrick,,,,true,2,false,false
1981,Calgary,Calgary Flames,NHL,Campbell,Smythe,,,,true,0,false,false
1982,Calgary,Calgary Flames,NHL,Campbell,Smythe,,,,true,1,false,false
1983,Calgary,Calgary Flames,NHL,Campbell,Smythe,,,,true,1,false,false
1984,Calgary,Calgary Flames,NHL,Campbell,Smythe,,,,true,0,false,false
1985,Calgary,Calgary Flames,NHL,Campbell,Smythe,,,,true,3,true,false
1986,Calgary,Calgary Flames,NHL,Campbell,Smythe,,,,true,0,false,false
1987,Calgary,Calgary Flames,NHL,Campbell,Smythe,FIRST,FIRST,FIRST,true,1,false,false
1988,Calgary,Calgary Flames,NHL,Campbell,Smythe,FIRST,FIRST,FIRST,true,4,true,true
1989,Calgary,Calgary Flames,NHL,Campbell,Smythe,,FIRST,FIRST,true,0,false,false
1990,Calgary,Calgary Flames,NHL,Campbell,Smythe,,,,true,0,false,false
1991,Calgary,Calgary Flames,NHL,Campbell,Smythe,,,,false,,,
1992,Calgary,Calgary Flames,NHL,Campbell,Smythe,,,,true,0,false,false
1993,Calgary,Calgary Flames,NHL,Western,Pacific,,,FIRST,true,0,false,false
1994,Calgary,Calgary Flames,NHL,Western,Pacific,,,FIRST,true,0,false,false
1995,Calgary,Calgary Flames,NHL,Western,Pacific,,,,true,0,false,false
1996,Calgary,Calgary Flames,NHL,Western,Pacific,,,,false,,,
1997,Calgary,Calgary Flames,NHL,Western,Pacific,,,,false,,,
1998,Calgary,Calgary Flames,NHL,Western,Northwest,,,,false,,,
1999,Calgary,Calgary Flames,NHL,Western,Northwest,,,LAST,false,,,
2000,Calgary,Calgary Flames,NHL,Western,Northwest,,,,false,,,
2001,Calgary,Calgary Flames,NHL,Western,Northwest,,,,false,,,
2002,Calgary,Calgary Flames,NHL,Western,Northwest,,,LAST,false,,,
2003,Calgary,Calgary Flames,NHL,Western,Northwest,,,,true,3,true,false
2005,Calgary,Calgary Flames,NHL,Western,Northwest,,,FIRST,true,0,false,false
2006,Calgary,Calgary Flames,NHL,Western,Northwest,,,,true,0,false,false
2007,Calgary,Calgary Flames,NHL,Western,Northwest,,,,true,0,false,false
2008,Calgary,Calgary Flames,NHL,Western,Northwest,,,,true,0,false,false
2009,Calgary,Calgary Flames,NHL,Western,Northwest,,,,false,,,
2010,Calgary,Calgary Flames,NHL,Western,Northwest,,,,false,,,
2011,Calgary,Calgary Flames,NHL,Western,Northwest,,,,false,,,
2012,Calgary,Calgary Flames,NHL,Western,Northwest,,,,false,,,
2013,Calgary,Calgary Flames,NHL,Western,Pacific,,,,false,,,
2014,Calgary,Calgary Flames,NHL,Western,Pacific,,,,true,1,false,false
2015,Calgary,Calgary Flames,NHL,Western,Pacific,,,,false,,,
2016,Calgary,Calgary Flames,NHL,Western,Pacific,,,,true,0,false,false
2017,Calgary,Calgary Flames,NHL,Western,Pacific,,,,false,,,
2018,Calgary,Calgary Flames,NHL,Western,Pacific,,FIRST,FIRST,true,0,false,false
2019,Calgary,Calgary Flames,NHL,Western,Pacific,,,,true,1,false,false
2020,Calgary,Calgary Flames,NHL,North,,,,,false,,,
2021,Calgary,Calgary Flames,NHL,Western,Pacific,,,FIRST,true,1,false,false
2022,Calgary,Calgary Flames,NHL,Western,Pacific,,,,false,,,
2023,Calgary,Calgary Flames,NHL,Western,Pacific,,,,false,,,
